fan;Savol;JavobTuri;Javob1;Javob2;Javob3;Javob4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: Luis  siempre ____________ la verdad. ;0;dice;trae;trabaja ;come;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: Estudiantes _________ un libro.;0;leen;escribes;corres;juegas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: Aziz y yo ____________ muy bien al f?tbol.;0;jugamos;hablamos;podemos;damos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a primera conjugaci?n (-ar);0; -o, -as, -a, -amos, -?is, -an.; -o, -es, -e, -emos, -?is, -en.; -o, -es. -e -imos, -?s, -en; -?, -?ste, -i?, -imos, -isteis, -ieron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a segunda conjugaci?n (-er);0; -o, -es, -e, -emos, -?is, -en.; -o, -as, -a, -amos, -?is, -an.; -o, -es. -e -imos, -?s, -en; -?, -?ste, -i?, -imos, -isteis, -ieron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Selecciona las terminaci?nes del presente de indicativo a tercera conjugaci?n (-ir);0; -o, -es. -e -imos, -?s, -en; -o, -es, -e, -emos, -?is, -en.; -?, -?ste, -i?, -imos, -isteis, -ieron; -o, -as, -a, -amos, -?is, -an.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la forma del verbo SER en segunda persona plural.;0;sois;soy;es;somos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la forma del verbo PONER en segunda persona plural.;0;pon?is;ponen;pongo;pone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR. Galicia ________ en el norte de Espa?a. ;0;est?;estamos;estan;estoy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. El gazpacho _________ una comida muy t?pica de Andaluc?a. ;0;es;soy;eres;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. Mi amigo Luis ______ de Madrid.;0;es;soy;eres;somos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER.   ?________ tu madre en casa? ;0;es;eres;somos;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. ________ espa?ol y vivo en M?laga;0;soy;somos;sois;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR.  Hoy no voy al trabajo, __________ enfermo. ;0;estoy;est?s;estamos;estan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de TRAER. ?_________ el dinero que te he prestado? ;0;traes;traigo;traemos;traen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Los m?dicos _________ a casa de los pacientes cada d?a.;0;van;vamos;vais;voy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR.   ?T?________ en casa? ;0;est?s;estamos;est?is;estoy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de JUGAR. El padre ________ con los ni?os. ;0;juega;jugamos;juegan;juego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VIVIR.  ?Ustedes ___________ por aqu?? ;0;viven;vives;vivimos;viven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de IR. Mi hija _______ a la escuela todas las ma?anas.;0;va;vamos;vas;van;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTUDIAR. Luisa ____________ la historia del arte en la Universidad.;0;estudia;estudiamos;estudian;estudio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SALIR. Por las noches con mis amigos ____________ a dar una vuelta.;0;salimos;salgo;sales;sale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de HACER. Cada tarde yo _____________ los deberes con mi amiga Carmen.;0;hago;haces;hacemos;hacen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VISITAR. Nosotros ______________ a mi abuela cada domingo. ;0;visitamos;visitan;visit?is;visito;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VOLVER. Cada d?a, yo ___________ del trabajo sobre las ocho y media.;0;vuelvo;vuelvas;volvamos;vuelvan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con el art?culo correcto. Tengo ______ televisi?n nueva en mi habitaci?n. ;0;una ;un;el;la ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Va al colegio _______ autob?s.;0;en;con;hasta;por;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones.  Este regalo es ________ t?.;0;para;por;a ;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Juana me ha llamado ________ invitarme a su boda;0;para;por;o;al;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de VIAJAR. Ma?ana nosotros __________ a Par?s.;0;viajamos;viajan;viajo;viaja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: La persona que vende medicinas es _______;0;farmac?utico;panadero;marinero;cartero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Encuentra la opci?n correcta de  ""4:30"".";0;son las cuatro y media;son las siete y media;son las nueve menos diez;es la una de la tarde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Encuentra la opci?n correcta de ""38""";0;treinta y ocho;cuarenta y dos;setenta y siete;cincuenta y dos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Soy ________ Madrid.;0;de;con ;a;por;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la opci?n correcta: Son las dos y cuarto.;0;2:15;2:45;2:35;2:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTUDIAR. Mi hermana ___________ en la facultad de interpetaci?n.;0;estudia;estudiamos;estudian;estudi?is;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Completa con las preposiciones. Ma?ana _______ la tarde no tengo clase.;0;por;desde;cada;con;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESCRIBIR. Nosotros _____________ un art?culo sobre la matem?tica.;0;escribimos;escribes;escrib?s;escribo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de HABLAR. ?T? ____________ espa?ol?;0;hablas;hablamos;habl?is ;hablo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Encuentra la opci?n correcta: ""ciento cuarenta y dos""";0;142;135;157;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada del verbo ESTAR.  -Te veo mal. ?Quieres ayuda? - No, gracias. ________ bien.;0;estoy;est?s;estamos;estan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa el dialogo. - ?Cu?ntos a?os tienes? - ;0;Tengo 16.;Soy 17;Estoy 22;Veo 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la opci?n correcta: Son las dos menos cuarto.;0;1:45;3:40;2:15;5:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Persona que tiene por oficio apagar incendios es __________ .;0;bombero;panadero;cocinero;abogado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correcta. ?Te gusta la comida italiana?;0;S?, me gusta mucho.;Me la gusta;Te gusto;S?, gusta a m?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra los mariscos.;0;pescado, gambas;tomate, ma?z;pan, leche;postre, chocolate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa el dialogo. - Soy de Andaluc?a, pero no me gusta el flamenco. - A m? ____.;0;tampoco;tambi?n;no;S?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de ESTAR. Luc?a y Mario no _____ nunca de acuerdo en nada.;0;estan;estamos;est?is;estoy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa el dialogo. - ?Qu? hora es?;0;Es la una de la tarde;Somos estudiantes;Tengo hambre.;Tengo 17 a?os;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. - ?T? _______ hermano de Laura? - S?, soy su hermano.;0;eres;somos;son ;soy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de NADAR. Mar?o __________ muy bien, es el mejor nadador.;0;nada;nadamos;nadas;nadan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo es una persona que no le gusta hablar en p?blico?;0;t?mida;seria;habladora;enfadada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa el dialogo con la forma adecuada de COMPRAR. - ?Vas a comprar tu el pan - No, Ana __________ .";0;compra;compramos;compro;compran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En qu? parte de la casa nos duchamos?;0;En el ba?o;en la cocina;en la sala;en el comedor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En qu? parte de la casa nosotros dormimos?;0;en el dormitorio;en el despacho;en el ba?o;en la cocina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la respuesta correcta. ?De d?nde eres?;0;Soy venezolano;estoy venezolano;como venezolano;hacemos venezolano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?En qu? parte de la casa nosotros comemos?;0;en el comedor;en el dormitorio;en el ba?o;en el pasillo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Cu?l de estas palabras puede ser un color y una fruta?;0;naranja;manzana;platano;amarillo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de QUERER. Juan _______ tomar un caf? esta tarde.;0;quiere;quiero;queremos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n. Sus abuelos son ____ Brasil. Son brasile?os.;0;de;con;sin;a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la palabra adecuada. En la ___________ puedes nadar.;0;piscina;escalera;ascensor;cama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada de SER. Mis padres _______ profesores.;0;son;somos;so?s;es;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
