Savol;Javob1;Javob2;Javob3;Javob4;
23. Виды кабелей: ;оптоволоконный, витая пара, коаксиальный;оптоволоконный, витая пара, антенный;оптоволоконный, проводной, антенный;оптоволоконный, витая пара, проводной;
24. Компьютер предоставляющий свои ресурсы в пользование другим компьютерам при совместной работе, называется:;сервером;адаптером;коммутатором;клиентом;
25. В основе информационной системы лежит:;среда хранения и доступа к данным;компьютерная сеть для передачи данных;методы обработки информации;вычислительная мощность компьютера;
26. Для каких информационных систем не требуется присутствие человека?;Автоматизированная;Ручные;Механизированные;Простые;
27. Автоматизированная банковская система-….;комплекс программного и технического обеспечения, направленный на автоматизацию банковской деятельности;совокупность программно-аппаратных средств, предназначенных для автоматизации деятельности, связанной с хранением, передачей и обработкой информации.;это взаимосвязанная совокупность информационных, математических, организационных, правовых, эргономических, лингвистических, технологических и других средств, а также персонала, предназначенная для сбора, обработки, хранения и выдачи экономической информации и принятия управленческих решений.;все ответы верны;
28. Интернет-банкингом является;предоставление банковских услуг через Интернет, когда клиент получает возможность электронного управления своими счетами;услуги по оперированию на валютном и фондовом рынках;формирование инвестиционного портфеля и управление активами;оперативное получение необходимой информации (котировки, анализ, прогнозы) в любой точке земного шара.;
29. Пластиковая карточка – это;Персонифицированный платежный инструмент , предоставляющий возможность безналичной оплаты товаров или услуг, получения наличных средств и банковских автоматах;Электронный аналог наличных денег , эмитированный какой- либо организацией;Деньги , законные платежные средства , номинальная стоимость которых устанавливается, обеспечивается и гарантируется государством посредством его авторитета и власти;Нет правильного ответа;
30. Мобильный банкинг-;управление банковским счетом с помощью планшетного компьютера (iPad, HTC Flyer, Samsung Galaxy Tab и пр.), смартфона или обычного телефона;это общее название технологий дистанционного банковского обслуживания, а также доступ к счетам и операциям (по ним), предоставляющийся в любое время и с любого устройства, имеющего доступ в Интернет.;формирование инвестиционного портфеля и управление активами;все ответы верны;
31. Интегрированная автоматизированная банковская система - это;ИАБС;SAP NCI;Internet banking;mobil banking;
32. Автоматизация бухгалтерского учета;это комплекс программных средств, который позволяет вести непрерывное фиксирование и анализ данных для получения количественной экономической информации о деятельности предпринимательских и иных организаций.;программирование;материальные ресурсы;Данные;
33. Одна из задач бухгалтерских информационных систем заключается в…;получении достоверной оперативной информации о текущем состоянии дел на предприятии для принятия на ее основе необходимых управленческих решений;совокупности количественных данных для выполнения функций планирования, контроля, анализа, являющихся основой для принятия управленческих решений;систематической идентификации и управлении применяемыми в организации процессами;проведении, обработке результатов совещаний с сотрудниками Заказчика, рекомендациях по внедрению бизнес-процессов «как должно быть»;
34. Концепция MRP-это…?;Планирование необходимых материалов;Управление ресурсами предприятия;Планирование производственных ресурсов;Управление эффективностью бизнеса;
35. Концепция CRM –это…?;Управление взаимоотношениями с клиентами;Планирование производственных ресурсов;Планирование необходимых материалов;Управление цепочками поставок;
36. Для чего предназначена система ERP?;Она формирует стандартизованное единое информационное пространство предприятия;Она повышает эффективность бизнес процессов, направленных на привлечение и удержание клиентов;Она предполагает планирование всех ресурсов предприятия;Она формирует план-график снабжения материальными ресурсами производства;
37. Концепция ERP-это …?;Управление ресурсами предприятия;Управление эффективностью бизнеса;Планирование необходимых материалов;Планирование производственных ресурсов;
38. Для чего предназначена MRP?;Она формирует план-график снабжения материальными ресурсами;Она предполагает планирование всех ресурсов предприятия;Она повышает эффективность бизнес процессов, направленных на привлечение и удержание клиентов;Она формирует стандартизированное единое информационное пространство предприятия;
39. Для чего предназначена система MRP II ?;Она предполагает планирование всех ресурсов предприятия;Она формирует стандартизированное единое информационное пространство предприятия;Она формирует план-график снабжения материальными ресурсами производства;Она повышает эффективность бизнес процессов, направленных на привлечение и удержание клиентов;
40. Концепция MRP II – это …?;планирование производственных ресурсов;планирование необходимых материалов;управление эффективностью бизнеса;управление ресурсами предприятия;
41. Что такой gov.uz?;Портал государственной власти Республики Узбекистан;Веб-сайт Пресс-службы Президента Республики Узбекистан;Общественная образовательная информационная сеть;Веб-сайт Координационного Совета по развитию компьютеризации и информационно-коммуникационных технологий;
42. Как называется способ предоставления информации и оказания уже сформировавшегося набора государственных услуг гражданам, бизнесу и другим ветвям государственной власти с использованием информационн?х технологий?;Электронное правительство;Электронная коммерция;Электронный документооборот;Электронный бизнес;
43. Укажите интернет адрес национального базы данных законодательства Республики Узбекистан.;www.lex.uz;www.qonun.uz;www.milliybaza.uz;www.milliyqonun.uz;
44. Электронный бизнес это:;Любая деловая активность, использующая возможности глобальных информационных сетей для преобразования внутренних и внешних связей с целью создания прибыли.;это продажа и покупка товаров и услуг через интернет.;осуществление торгово-закупочной деятельности через Интернет. ;комплекс мероприятий  компании, связанный с применением электронных средств.;
45. Информационные технологии в проф/деятельности предназначены для:;для сбора, хранения, выдачи и передачи информации;постоянного хранения информации;производить расчеты и вычисления;производить расчеты и вычисления с сохранением и обработкой информации;
46. Носители информации используемые в проф/деятельности:;карта памяти, жесткий магнитный диск, лазерный диск;карта памяти, дискета, лазерный диск;карта памяти, винчестер, лазерный диск;карта памяти, винчестер, оперативная память;
47. Прикладные программные средства информационных технологий:;офисный пакет прикладных программ;мастер публикаций;база данных;все ответы верны;
48. Средства компьютерной техники предназначены-;для реализации комплексных технологий обработки и хранения информации;занимаются оформлением документаций;выполнять различные вспомогательные операции;для реализации технологий передачи информации.;
49. Технические средства сбора информации в ИТ это :;клавиатура, сканер, микрофон, видеокамера;монитор, планшет, диктофон, джойстик;принтер, световое перо, клавиатура;клавиатура, сканер, джойстик, видеокамера;
50. Устройство управления периферийным оборудованием?;Драйвер;Контролер;Интерфейс;Ничто из перечисленного;
51. «Открытая интегрированная автоматизированная система реального времени по автоматизации бизнес процессов компании всех уровней, в том числе, и бизнес процессов принятия управленческих решений» - это …?;корпоративная информационная система;система управления бизнесом;логическая информационная система;распределенная информационная система;
52.     Как называется организационно упорядоченная совокупность информационных ресурсов, информационных технологий и средств связи, позволяющая осуществлять сбор, хранение, поиск, обработку и пользование информацией?;Информационная система;Информационный ресурс;Информационная технология;Телекоммуникационная система;
53.Продолжите предложение: Техническое обеспечение ...;включает комплекс технических и аппаратных средств, предназначенных для работы информационной системы.;содержит совокупность документов, регулирующих отношения внутри трудового коллектива.;определяет всю совокупность данных, которые хранятся в разных источниках.;подразумевает совокупность математических методов, моделей, алгоритмов и программ для реализации задач информационной системы.;
54. Продолжите предложение: Программное обеспечение ...;вкючает совокупность программ которые обеспечивают использования технического устройства и моделей, алгоритмов, программ для реализации задач информационной системы.;включает комплекс технических средств, предназначенных для работы информационной системы.;определяет всю совокупность данных, которые хранятся в разных источниках.;содержит совокупность документов, регулирующих отношения внутри трудового коллектива.;
55. Информационный процесс-это..;Действия, выполняемые с информацией;хранение информации;Передача информации;передача информации источником;
56. B2G - это модель взаимодействия?;Бизнес-государство;Потребитель-бизнес;Бизнес-бизнес;Бизнес-потребитель;
57. Средства компьютерной техники предназначены-;для реализации комплексных технологий обработки и хранения информации;выполнять различные вспомогательные операции;занимаются оформлением документаций;для реализации технологий передачи информации.;
58. Автоматизированное рабочее место (АРМ)в ИТ это:;рабочее место специалиста оснощенное современными техническими и программными обеспечениями ;способ дезорганизации рабочего места;для преобразования информации;интерактивная связь пользователя с сетью.;
59. Где можно использовать компьютерные сети:;во всех перечисленных случаях;дома;на работе ;в учебных заведениях;
60. Что из перечисленного не является информационными технологиями….;Разборка компьютера;Установка MS Office;Установка операционной системы;Установка драйвера принтера;
61. Внутренняя частная сеть организации – это:;Интранет;Интернет;Экстранет;Арпанет;
62. Информационно-поисковая система выполняет следующие функции:;Все ответы верны;хранение большого объема информации;добавление, удаление и изменение хранимой информации;быстрый поиск информации;
63. Компьютер, подключенный к сети Internet, обязательно имеет:;IP-адрес;WEB-страницу;URL-адрес;доменное имя;
64. Глобальная компьютерная сеть - это:;совокупность локальных сетей и компьютеров, расположенных на больших расстояниях и соединенных с помощью каналов связи в единую систему;множество компьютеров, связанных каналами передачи информации и находящихся в пределах одного помещения, здания;совокупность хост-компьютеров и файл-серверов;система обмена информацией на определенную тему;
65. Какой сетевой протокол используется в Internet:;TCP/IP;IPX/SPX;NetBEUI;Любой протокол, поддерживаемый вашей операционной системой.;
66. Основным назначением корпоративных информационных систем является;Оперативное предоставление непротиворечивой, достоверной и структурированной информации для принятия управленческих решений;Передача данных в интернет;Обеспечение передачи сообщений между пользователями;Передача данных в интранет;
67. Что такое LAN?;Локальная сеть;Глобальная сеть;Региональная сеть;Корпоративная сеть;
68. Что такое MAN?;Региональная сеть;Глобальная сеть;Локальная сеть;Корпоративная сеть;
69. Что такое WAN?;Глобальная сеть;Региональная сеть;Локальная сеть;Корпоративная сеть;
70. Что такое URL?;Уникальный адрес страницы в сети Интернет;Информация, размещенная на веб-страницах;Название языка, на котором создаются Web-страницы;Прикладной протокол;
71. Браузер – программа-клиент для работы с;World Wide Web;Internet Explorer;Outlook Express;Электронной почтой;
72. Выберите где правильно указаны браузеры;Mozilla Firefox, Opera, Google Chrome, Netscape Navigator;Mozilla Firefox, Opera, Adobe Photoshop, Netscape Navigator;Mozilla Firefox, Corel Draw, Google Chrome, Netscape Navigator;Mozilla Firefox, Opera, Google Chrome, NOD;
73. Что такое современная информационно-коммуникационная система предприятия?;Современная информационно-коммуникационная система предприятия является интегрированной средой функционирования современных ИТ, реализующих деловые цели.;Современная информационно-коммуникационная система предприятия является различные управленческие функции и активно применяемых на этапе подготовки в процессе принятия решений на различных уровнях управления.;Современная информационно-коммуникационная система предприятия является системы автоматизации лишь на отдельных участках своей деятельности.;Все ответы верны;
74. Что должна включать в себя автоматизированная система?;Информационную систему, подсистему выработки решений, подсистему контроля.;Информационную систему, подсистему принятия решений, подсистему управления.;Информационную систему, подсистему информационных решений, подсистему контроля.;Информационную систему, подсистему для управления решений, подсистему информационных систем.;
75. Укажите принцип, согласно которому может создается функционально-позадачная информационная система.;позадачный ;блочный;интегрированный;оперативности;
76. Что такое интеграция на уровне корпоративных программных приложений? ;Интеграция на уровне приложений (Enterprise Application Integration — EAI) подразумевает совместное использование исполняемого кода, а не только внутренних данных интегрируемых приложен. Программы разбиваются на компоненты, которые интегрируются с помощью стандартизованных программных интерфейсов и специального связующего ПО.;Интеграция на уровне приложений (Enterprise Application Integration — EAI) этот вид интеграции начинался как один из видов «лоскутной интеграции», когда предпринимались попытки объединить разрозненные программные приложения, написанные в разное время разными разработчиками, в подобие единого целого.;Интеграция на уровне приложений (Enterprise Application Integration — EAI) предполагает объединение ряда однотипных или схожих функций в макрофункции с перераспределением потоков данных и управления, а также ресурсов и механизмов для исполнения.;Нет правильного ответа;
77. SOAP (Simple Object Access Protocol) протокол это ……;стандартный протокол доступа к объектам ;стандартный протокол доступа к ресурсам;стандартный протокол доступа к информации;стандартный протокол доступа к технологиям;
78. Как назыываются глобальные сети на английском языке?;Wide Area Networks — WAN) ;Local Area Networks — LAN);World Wide Web — WWW);Metropolitan Area Networks — MAN);
79. Выберите поисковые системы?;AltaVista, Excite, Google, Yandex, HotBot, Infoseek (Go) Light, Lycos, Magellan, Norbern, Yahoo!, Open Text, Web Crawler.;AltaVista, Mozilla Firefox, Google, Pyton, Infoseek (Go) Light, C, Magellan, Norbern, Yahoo!, Open Text, HTML.;AltaVista, Mozilla Firefox, Google, HotBot, Infoseek (Go) Light, Lycos, Magellan, Norbern, Yahoo!, Open Text, HTML.;AltaVista, Mozilla Firefox, Google, HotBot, Infoseek (Go) Light, Lycos, Magellan, Norbern, Opera, Open Text, HTML.;
80. Что такое ГИС-Технологии? ;это прежде всего компьютерные технологии и системы, позволяющие эффективно работать с динамическими данными о пространственно-распределенных объектах, дополняя их наглядностью представления и возможностью строить модели и решать задачи пространственно - временного анализа.;это прежде всего компьютерные технологии и системы, позволяющие эффективно работать с физическими данными о пространственно-распределенных объектах, дополняя их наглядностью представления и возможностью строить модели и решать задачи пространственно - временного анализа.;это прежде всего компьютерные технологии и системы, позволяющие эффективно работать с логическими данными о пространственно-распределенных объектах, дополняя их наглядностью представления и возможностью строить модели и решать задачи пространственно - временного анализа.;Все ответы верны;
81. Что такое Биллинг?;все ответы верны;это бухгалтерская система, программное обеспечение, иными словами — «софт», разработанный специально для операторов.;автоматизированная система учета предоставленных услуг, их тарификации и выставления счетов для оплаты.;автоматизированная система управления их тарификации и выставления счетов.;
82. Что такое Система SAP ;первая программная система, созданная по технологии клиент/сервер, разработанная с целью интеграции всех бизнес-функций предприятия. Будучи программной системой типа клиент/сервер, R/3 позволяет компаниям пользоваться преимуществами новых технологий, таких как реляционные базы данных, графический интерфейс и возможность работы на компьютерах от различных производителей с различными ОС.;первая программная система, созданная по технологии файл/сервер, разработанная с целью интеграции всех бизнес-функций предприятия. Будучи программной системой типа файл/сервер, R/3 позволяет компаниям пользоваться преимуществами новых технологий, таких как реляционные базы данных, графический интерфейс и возможность работы на компьютерах от различных производителей с различными ОС.;программа автоматического учета и автоматической обработки транзакций, которая отличалась тем, что представляла собой стандартное программное обеспечение и осуществляла обработку данных в реальном времени.;нет правильного ответа ;
83. Что такое http?;Протокол;Web-страница;Сетевой адрес ресурса;Контент;
84. Как называются локальные сети на английском языке?;Local Area Networks — LAN) ;Wide Area Networks — WAN) ;World Wide Web — WWW);Metropolitan Area Networks — MAN);
85. Как называются региональные сети на английском языке?;Metropolitan Area Networks — MAN);Local Area Networks — LAN) ;Wide Area Networks — WAN) ;World Wide Web — WWW);
86. Основные функции СУБД;управление базами данных, разработка, отладка и выполнение прикладных программ , выполнение вспомогательных операций;управление базами данных, управление файлами , управление полями записей;управление файлами , управление записями , выполнение вспомогательных операций;управление файлами, управление записями, управление полями записей;
87. Банкомат может работать в режиме: ;off-line, on-line, kvazi-on-line;Пакетном;разделения времени;off-line;
88. Какие из следующих программ являются основными в бухгалтерии?;1C:Бухгалтерия, УзАСБО, БЭМ Бухгалтерия, Парус;MS Excel, MS Word,1C:Бухгалтерия;PowerPoint, Word, 1C:Бухгалтерия;все ответы верны;
89. В каких двух вариантах выпускается «1C:Бухгалтерия»?;«базовый» и «профессиональный»;«независимый» и «зависимый»;«сложный» и «простой»;«основной» и «второстепенный»;
90. Укажите все верные высказывания в отношении понятия "экстранет";Экстранет - это сеть, построенная на технологии интернет для предоставления части информации и приложений партнерам компании ;Экстранет - это сеть, построенная на технологии интернет для использования внутренними сотрудниками ;Экстранет - это основной источник информации о конкурентах ;Экстранет - это основной источник информации о доходах конкурента;
91. Что такое Интранет;Это коорпоративная сеть, построенная на технологии интернет для использования внутренними сотрудниками;Это сеть, построенная на технологии интернет для предоставления части информации и приложений партнерам компании;Это основной источник информации о конкурентах;Это сеть, предоставляющая доступ к правительственным архивам;
92. Какие программы входят в состав пакета офисных программ?;Microsoft Word, Microsoft Excel, Microsoft Power Point, Microsoft Access;Microsoft Word, Fine Reader, Microsoft Power Point, Microsoft Access;Microsoft Word, Microsoft Excel, Adobe Photoshop, Microsoft Access;Microsoft Word, Microsoft Excel, Microsoft Power Point, Corel Draw;
93. На сколько видов делится программное обеспечение?;3;2;4;1;
94. На какие основные виды делятся информатика?;Техническое и программное;Программное и инструментальное;Системное и техническое;Прикладные и программные;
95. Что такое Software?;Программное обеспечение;Техническое обеспечение;Прикладное обеспечение;Системное обеспечение;
96. Что такое Hardware?;Техническое обеспечение;Программное обеспечение;Прикладное обеспечение;Системное обеспечение;
97. На какие виды делится программное обеспечение?;Системное, прикладное, инструментарий;Системное, программное, инструментарий;Системное, прикладное, техническое;Системное, примерное, инструментарий;
98. Что входит в состав инструментарного ПО?;Языки программирования;Пакет офисных программ;Операционная система;Графические редакторы;
99. Что входит в состав и прикладного ПО?;Пакет офисных программ;Языки программирования;Операционная система;Драйвера;
100. Драйвер относится к какому ПО?;Системному;Операционному;Прикладному ;Инструментарию;
101. Как можно задать округление числа в ячейке в Excel?;используя формат ячейки;используя функцию ОКРУГЛ();используя функцию РАВНО;нет правильного ответа;
102. В качестве диапазона в Excel не может выступать…;группа ячеек: А1,В2, С3;фрагмент строки или столбца;прямоугольная облас;формула;
103. Что не является типовой диаграммой в Excel? ;сетка;гистограмма;круговая;график;
104. К какой категории относится функция ЕСЛИ в Excel ?;логической;математической;статистической;календарной;
105. Какие основные типы данных в Excel? ;текст, числа, формулы;числа, формулы;цифры, даты, числа;последовательность действий;
106. Как записывается логическая команда в Excel?;если (условие, действие1, действие 2);если (условие, действие1, действие 2);если условие, действие1, действие 2);если условие, действие1, действие 2;
107. Как понимать сообщение # знач! при вычислении формулы в Excel? ;ошибка при вычислении функции;формула использует несуществующее имя;формула ссылается на несуществующую ячейку;ошибка в числе;
108. Что означает появление ####### при выполнении расчетов в Excel?;ширина ячейки меньше длины полученного результата ;ошибка в формуле вычислений;отсутствие результата;нет правильного ответа;
109. В электронных таблицах нельзя удалить:;Имена ячеек;Текстовые данные ячеек;Столбцы;Формулы;
110. Минимальной составляющей таблицы в Excel является:;Ячейка;Строка;Книга;Лист;
111. Табличные процессоры относятся к какому программному обеспечению?;Прикладному;Функциональному;Специализированному;Системному;
112. В виде чего нельзя отобразить данные в электронной таблице?;Оператора;Чисел и букв;Графиков;Формул;
113. Дан фрагмент электронной таблицы с числами и формулами.Чему равно значение в ячейке Е3, скопированное после проведения вычислений в ячейке Е1?;135;180;110;150;
114. Расширение файлов, созданных в Microsoft Excel – это:;xls;doc;bmp;ppt;
115. Координата в электронной таблице – это адрес:;Клетки в электронной таблице;Данных в столбце;Клетки в строке;Ячейки в листе;
116. Какие типы фильтров существуют в табличном процессоре Excel?;Автофильтр, расширенный фильтр;Тематический фильтр, автофильтр;Текстовый фильтр, числовой фильтр;Тематический фильтр, числовой фильтр;
117. Наиболее наглядно будет выглядеть представление средних зарплат представителей разных профессий в виде: ;Столбчатой диаграммы;Ярусной диаграммы;Круговой диаграммы;Гистограммы;
118. 30 ячеек электронной таблицы содержится в диапазоне:;E2:G11;A15:D20;C4:F9;A15:F20;
119. Выберите абсолютный адрес ячейки из табличного процессора Excel:;$D$3;D3;D$3$;D3;
120. Активная ячейка в Excel – это ячейка:;В которую в настоящий момент вводят данные;С формулой, в которой содержится абсолютная ссылка;С формулой, в которой содержится относительная ссылка;В которую в настоящий момент вводят формулу;
121. Символ «=» в табличных процессорах означает: ;Начало ввода формулы;Фиксацию абсолютной ссылки;Фиксацию относительной ссылки;Начало абсолютной ссылки;
122. Какого элемента структуры электронной таблицы не существует?;Командной строки;Строки формул;Полосы прокрутки;Строка ячеек;
123. Числовое выражение 15,7Е+4 из электронной таблицы означает число:;157000;157,4;0,00157;157;
124. Для чего используется функция Excel СЧЕТ3?;Для подсчета заполненных ячеек в диапазоне ячеек;Для подсчета пустых ячеек в диапазоне ячеек;Для подсчета ячеек, содержащих числа;Для подсчета пустых ячеек содержащих числа;
126. Функция ОБЩПЛАТ относится к:;Финансовым;Математическим;Статистическим;Логическим;
127. Укажите верную запись формулы: ;D3*D4-D5;B9C9+64;A1=A3+2*B1;B9=A3+64;
128. Если при выполнении расчетов в Excel ячейке появилась группа символов #########, то это означает, что:;Ширина ячейки меньше, чем длина полученного результата;Допущена синтаксическая ошибка в формуле;Полученное значение является иррациональным числом;Не знаю правильного ответа;
129. Можно ли убрать сетку в электронной таблицу Excel?;Да;Нет;Да, если снята защита от редактирования таблицы;Нет, как excel без сетки;
130. В электронной таблице выделен диапазон ячеек A1:B3. Сколько ячеек выделено?;6;2;4;8;
131. Какое расширение имеет файл СУБД Access?;accdb.;xls.;doc.;dbf.;
132. Когда приложение MS Access создает файл для работы с приложением?;В начале работы с документом.;При закрытии документа.;В заданное пользователем время.;Только после сохранения документа.;
133. Основными объектами СУБД MS Access являются:;таблицы, формы, запросы, отчеты.;формы, таблицы, строки, отчеты.;отчеты, таблицы, формы;Формы, таблицы, запросы, выборки.;
134. Основным объектом базы данных СУБД Access является:;таблица.;форма.;выборка.;отчет.;
135. Запросы в СУБД Access предназначены для:;поиска, сортировки, добавления и удаления, обновления записей.;поиска и сортировки данных.;добавления и просмотра данных.;для редактирования данных в таблице.;
136. Отчет в СУБД Access предназначен для:;вывода данных на печать.;хранения данных.;ввода и редактирования данных.;создания команд для автоматизации работы.;
137. Сколько знаков может быть в текстовом поле?;255;65635;1024;512;
138. Мастер подстановок в СУБД MS Access используется:;для добавления значений полей из других таблиц или фиксированного списка данных.;для создания нового поля в таблице.;для создания новых таблиц.;для ввода или вывода выражений.;
139. Какие типы данных используются в СУБД MS Access для хранения больших объемов текста?;МЕМО.;Текстовый.;OLE.;Гиперссылка.;
140. Какие типы данных используются в СУБД MS Access для хранения графических объектов?;OLE.;Текстовый.;MEMO.;Гиперссылка.;
141. Какой тип данных необходимо выбрать для ввода суммы 4784 рублей, 67 $?;Денежный.;Числовой.;Финансовый;Текстовый.;
142. В поле OLE СУБД Access можно разместить:;изображение или лист MS Excel.;большие фрагменты текста.;ссылки.;логические значения.;
143. В режиме конструктора таблицы СУБД Access можно:;создавать таблицу, добавляя поля и устанавливая для них значений и свойства;создавать подстановки значений.;создавать запросы.;формировать отчеты.;
144. Объектом субд MS access не является:;ничего из вышеперечисленного.;запрос.;макрос.;модуль.;
145. Назовите основные виды запросов в СУБД MS Access.;На выборку, с параметрами, на изменение, перекресные и SQL.;На выборку, с параметрами, SQL.;На выборку, с параметром, перекрестные.;На выборку, перекрестные, на изменение.;
146. Форма в СУБД Access предназначена для:;удобства ввода и просмотра данных таблицы.;удобства ввода данных в БД.;создания документов для печати.;изменения готовой базы данных.;
147. Условие, по которому происходит поиск и отбор записей, размещенных в таблице, называется:;фильтром.;запросом.;формой.;Условием поиска.;
148. Структура таблицы определяется с помощью трех колонок. Укажите лишнюю колонку.;Размера поля.;Имя поля.;Типа данных.;Описания.;
149. Столбец в СУДБ называется:;полем.;записью.;значением.;столбцом.;
150. Типом полей СУБД Access не является:;финансовый.;счетчик.;логический.;вычисляемый.;
151.В СУБД Access допустимы типы полей записей:;счетчик, денежная единица, мастер подстановок.;вложение, подстановка, текст.;число, изображение, гиперссылка;гиперссылка, телефонный, логический.;
152. Основные типы форм в СУБД Access:;обычная, ленточная, табличная.;табличная, простая, ленточная.;табличная, линейная, обычная.;ленточная и табличная.;
153. Для какого поля необходимо заполнить следующую форму:;вычисляемый.;логический.;вложение.;мастер подстановок.;
154. К основным свойства полей таблицы БД относят:;имя, тип, размер, формат, подпись, значение по умолчанию, условие на значение.;имя, тип, длинна, формат, заголовок.;имя, тип, заголовок, условие на значение и значение по умолчанию.;формат, размер, тип, имя, подпись.;
155. Заголовок столбца таблицы для поля определяет:;имя поля или подпись.;подпись.;название поля.;заголовок поля.;
156.Какой тип данных необходимо выбрать для ввода номеров телефонов NNN-NN-NN?;Текстовый.;Числовой.;Дата/время.;MEMO.;
157. Для чего предназначено окно «Схема данных»?;Для создания связей между таблицами.;Для редактирования записей.;Для создания связей между запросами и формами.;Для просмотра таблиц.;
158. Какой тип связи необходимо установить, если одной записи в таблице А может соответствовать несколько записей в таблице В, а одной записи в таблице В — несколько записей в таблице А?;«Много-ко-многим».;«Один-к-одному».;«Один-ко-многим».;«Много-к-одному».;
159. Какому требованию должны соответствовать ключевые поля?;Не должны повторяться.;Должны содержать вложение.;Должны быть типа «Счетчик».;Должны быть типа MEМО.;
160. Между какими объектами устанавливаются связи?;Между таблицами.;Между запросами.;Между формами.;Между отчетами.;
161. Каково назначение ключевого поля?;Создание связей между таблицами. ;Фильтрация данных.;Создание новых таблиц.;Сортировка данных.;
162. Для хранения данных в СУБД Аccess используется:;таблица. ;форма.;отчет.;запрос.;
163. Для чего предназначено диалоговое окно «Добавить таблицу» в окне «Схема данных»?;Для выбора таблиц, с которыми устанавливаются связи.;Для создания формы.;Для создания запроса.;Для удаления записей из таблицы.;
