Savol;Javob1;Javob2;Javob3;Javob4
Третий период становления мировой аудиторской практики аудита:; третий период — с 1905 по 1933 г. — характеризуется усилением процесса концентрации капитала, разделением интересов собственников, наемных управляющих и наемного персонала; в этих условиях меняется идеология аудита, основной акцент переносится на применении статистических выборок, оценку эффективности внутреннего контроля и систем управления;третий период связан с принятием сначала в Англии в 1844 г., а затем во Франции в 1867 г. ряда законов, предусматривающих необходимость проверки независимыми бухгалтерами бухгалтерских счетов и отчетов;третий период — длится до 1940 г., для него характерно усиление требований к качеству аудиторской проверки, включение в практику аудита метода тестирования, целью которого было обнаружение преднамеренных учетных ошибок, развитие методологии аудита; в этот же период усиливается влияние Нью-Йоркской биржи, одним из требований которой к ее участникам было соблюдение обязательности аудита;третий период — с 1940 г. и по настоящее время — характеризуется динамичным развитием фондовых рынков и транснациональных корпораций, а также углублением мирохозяйственных связей, что приводит к необходимости выработки унифицированных требований к качеству аудита, порядку его осуществления и профессиональной этике.;
Пятый период становления мировой аудиторской практики аудита:; пятый период — с 1940 г. и по настоящее время — характеризуется динамичным развитием фондовых рынков и транснациональных корпораций, а также углублением мирохозяйственных связей, что приводит к необходимости выработки унифицированных требований к качеству аудита, порядку его осуществления и профессиональной этике;пятый период связан с принятием сначала в Англии в 1844 г., а затем во Франции в 1867 г. ряда законов, предусматривающих необходимость проверки независимыми бухгалтерами бухгалтерских счетов и отчетов;пятый период охватывает 1805—1905 годы, когда аудит по на- чалу был приближен к ревизионной деятельности и направлен на оценку эффективности работы организаций, обнаружение ошибок, а с развитием фондового рынка выделяется в самостоятельную отрасль; на этом этапе США выступили центром формирования трансатлантических аудиторских фирм;пятый период — с 1905 по 1933 г. — характеризуется усилением процесса концентрации капитала, разделением интересов собственников, наемных управляющих и наемного персонала; в этих условиях меняется идеология аудита, основной акцент переносится на применении статистических выборок, оценку эффективности внутреннего контроля и систем управления;
Развитием с целью реализации этих требований мировым сообществом выработаны:; выработаны определенные правила и положения — международные стандарты, позволяющие с одинаковых позиций подходить к аудиту в разных странах и в различных отраслях;применение  только статистических выборок;оценку  только эффективности внутреннего контроля и систем управления;усиление и оценку  эффективности процесса концентрации капитала, разделение интересов собственников, наемных управляющих и наемного персонала;;
Какой датой руководство аудируемого лица должно датироваться письмо-представление?;Ранее даты предоставления аудиторского заключения.;Той же датой, что и аудиторское заключение.;Позднее даты предоставления аудиторского заключения.;Все ответы верны;
В обязанности аудитора непременно входит выдача клиенту положительного аудиторского заключения по результатам проверки;Нет, это определяется результатом проверки;Да, это записано в Законе РУз «Об аудиторской деятельности»;В зависимости от текста Договора на аудиторскую проверку;Нет правильного ответа;
В ходе достижения договоренности с руководством аудируемого лица аудитор может использовать:;письмо о проведении аудита;письмо руководства аудируемого лица;письмо-заявление аудитора;все ответы верны;
При проведении аудиторской проверки аудиторы …;являются абсолютно независимыми;должны согласовывать свои действия с проверяемым экономическим субъектом;должны согласовывать свои действия с руководителем аудиторской фирмы;должны согласовывать свои действия с государственными органами;
Этический принцип деятельности, которым аудитор должен непременно руководствоваться;профессиональное поведение ;публичность отчетности ;Доброжелательность;Нет правильного варианта;
 Принцип объективности при проведении аудита означает … ;сочетание беспристрастности, интеллектуальной честности и отсутствие конфликта интересов ;должная тщательность в оказании профессиональных услуг;не заинтересованность, непредвзятость и беспристрастность аудитора;нет правильного варианта;
При проведении аудиторской проверки и составления заключения аудиторы независимы от …;независимы во всех выше указанных случаях ;государственных органов, поручивших им проведение проверки;проверяемого экономического субъекта ;участников (акционеров проверяемого экономического субъекта ;
Этическими принципами аудита являются:;порядочность, объективность, профессиональная компетентность, конфиденциальность;соблюдение технических стандартов аудита;профессиональное поведение;все выше изложенное ;
Аудитор обязан сохранять в тайне конфиденциальную информацию о делах клиентов, если непосредственные отношения с ними прекращены.;да, обязан;по усмотрению аудитора ;нет, так как требования конфиденциальности действует лишь при наличии при наличии продолжающихся отношений с клиентом ;нет правильного варианта;
Наиболее традиционной является следующая методика выполнения аудита:; бухгалтерская;юридическая;отраслевая;внешние  источники информации;
Основные положения методики проведения аудита не включают:; методику проверки основных разделов учета;нормативное обеспечение аудита;предметную область проверки;проведение собеседование работниками предприятии;
На количество и состав рабочих документов аудитора не влияет:; квалификация руководства проверяемого предприятия;квалификация аудитора;условия договора на проведение аудита;искажение и ошибок;
Общий план проведения аудита составляется для:; все ответы правильные;согласования порядка проведения аудиторских процедур;определения уровня существенности и аудиторского риска;для достижения эффективности и результативности аудита;
Организация «А» пригласила для проведения аудита аудиторскую организацию «Б», руководитель которой владеет долей в уставном капитале организации «А». Оцените эту ситуацию …;аудиторская организация не в праве проводить аудит данной организации это лучший вариант, так как обе стороны заинтересованы в аудите;самое главное – это высокое качество и приемлемая стоимость аудиторских услуг ;это лучший вариант, так как обе стороны заинтересованы в аудите;все ответы верны;
Определите цель составления Письма-обязательства аудиторской организации:;исключительно для того, чтобы выразить согласие на приглашение провести аудит;для того чтобы выразить согласие на приглашение провести аудит, а также определить условия аудиторской проверки, обязательства аудиторской организации и обязательства проверяемого экономического субъекта;для того чтобы выразить согласие на приглашение провести аудит и признательность за то, что предприятие предпочло данную аудиторскую организацию другим;нет верного ответа;
Письмо-обязательство аудитора перед клиентом при первоначальномаудите:;является обязательным для составления аудиторской организацией (аудитором) и направляется исполнительному органу до заключения договора на проведение аудита;является обязательным для составления аудиторской организацией (аудитором) и направляется исполнительному органу после заключения договора на проведение аудита;не является обязательным для составления аудиторской организацией (аудитором) и направляется исполнительному органу после заключения договора на проведение аудита.;нет верного ответа;
План аудита включает:;описание характера, сроков и объема аудиторских процедур;предполагаемый объем и порядок проведения аудиторской проверки;выводы, служащие основой для подготовки аудиторского заключения, и их аргументацию;нет верного ответа;
Аудиторские доказательства, включающие в себя информацию, полученную от проверяемого субъекта в письменном или устном виде, – это:; внутренние аудиторские доказательства;внешние аудиторские доказательства;смешанные аудиторские доказательства;нет правильного ответа.;
Проверка арифметической точности первичных документов называется:; подсчетом;взаимным контролем;хронологической проверкой; подтверждением;
Сбор информации у работников предприятия или за его пределами называется:; опросом;наблюдением;встречной проверкой;аналитическими процедурами.;
Какое из нижеследующих утверждений неверно?; формальный подход к выборочному исследованию более предпочтителен, чем неформальный;выборка при осуществлении аудита проводится с целью сокращения объема работ;результаты анализа выборочной совокупности экстраполируются на генеральную совокупность;нет правильного ответа.;
Какое из нижеследующих утверждений верно?; объем выборки зависит от уровня риска выявления;объем выборки не зависит от уровня существенности;объем выборки зависит от уровня собственного риска;нет правильного ответа;;
К этапам организации аудиторской выборки не относится:; определение размера совокупности факторов, влияющих на выборку;проверка репрезентативности выборки;определение методов отбора;определение цели выборочной проверки;
К функциям внутреннего аудита нельзя отнести:; нет правильного ответа;проверку внутреннего контроля;проверку всех звеньев управления;работу над специальными проектами;
К итоговым документам аудиторской проверки не относятся:; все ответы правильные;документы по оценке аудиторского риска;результаты экспертизы привлеченного специалиста;общий план проведения аудита;
К видам выборочной проверки нельзя отнести:;нормальную;атрибутивную;количественную;нет правильного ответа;
Аудиторские доказательства, включающие в себя информацию, полученную от третьих лиц в письменно виде:; внешние аудиторские доказательства;внутренние аудиторские доказательства;смешанные аудиторские доказательства;нет правильного ответа;
К целям составления рабочих документов не относится:;помощь в привлечении клиентов;обеспечение юридической обоснованности проведения аудита;контроль рабочего времени аудита;обоснование выбора методики и приемов проведения проверки;
Аудиторское заключение о бухгалтерской отчетности клиента представляет собой:; мнение аудитора о достоверности финансовой отчетности заказчика;подтверждение аудиторской фирмой правильности и точности исчисления всех показателей финансовой и статистической отчетности;акт проверки финансово-хозяйственной деятельности;рекомендации по устранению выявленных недостатков в ведении учета;
Аудиторские доказательства – это:; информация для формирования мнения о достоверности отчетности;аудиторские версии по фактам проверки;записи, составленные в ходе проведения аудита;нет правильного ответа;
Основные требования, предъявляемые к рабочей документации не включают:;нет правильного ответа;отражение информации, относящейся к предыдущему и будущему периоду;оценка финансовой отчетности с установленными признаками и критериями;содержать используемые сокращения или условные обозначения;
Основной целью аудиторской проверки является:; придание бухгалтерской отчетности достоверности;выявление скрытых от налогообложения доходов;проверка правильности оформления первичных документов по кассе;восстановление бухгалтерского учета;
Аудитор это:; независимый эксперт, проверяющий финансовую и налоговую отчетность организации;внештатный бухгалтер, курирующий работу рядовых сотрудников бухгалтерии;сотрудник налоговой службы, проверяющий правильность начисления налогов организацией;сотрудник бухгалтерской службы, проверяющий правильность начисления налогов организацией;
Основной целью аудита не является:; оказание услуги и получение прибыли за выполнение аудиторской проверки;проверка правильности и достоверности обязательной отчётности организации;анализ соблюдения предприятием норм действующего законодательства; проверка правильности соблюдения предприятием норм действующего законодательства;
Аудит, базирующийся на риске, означает:; выборочную проверку работы предприятия, а именно, проверку критических точек;внеочередную проверку со стороны государственных надзорных органов;проверку наиболее экономически неустойчивых видов деятельности предприятия;анализ обязательной отчётности организации;
Система внутреннего контроля включает следующие элементы:;оба утверждения верны;мониторинг средств контроля;процесс оценки рисков в организации.;нет верного ответа;
Общая стратегия аудита включает:;предполагаемый объем и направление аудита;набор инструкций для аудитора, выполняющего проверку;выводы, служащие основой для подготовки аудиторского заключения, и их аргументацию.;Нет верного ответа;
Система контроля качества аудиторской фирмы должна включать следующие элементы:;мониторинг, трудовые ресурсы, этические требования;надзор, инспектирование;проверку, эффективность функционирования системы внутреннего контроля.;Все ответы верны;
В каких ситуациях аудитору следует принимать во внимание существенность:; при оценке последствий искажений;при проведении инвентаризации;при подписании договора;при написании аудиторского заключения;
С какой целью на заключительном этапе проверки аудитор анализирует показатели финансового состояния предприятия-клиента?; оценить при помощи финансовых показателей возможность дальнейшей деятельности предприятия;выявить существенное отклонение показателей в течение отчетного года;оценить соблюдение соотношения между отдельными показателями отчетности;найти неувязки между отдельными формами отчетности;
Финансово-учетные события рассматриваются в практике аудита как такие, которые должны совершиться …; на дату баланса;на дату аудиторского заключения;после баланса и до заключения;после баланса до даты собрания акционеров;
С какой целью используется в международной практике письмо-подтверждение руководства заказчика?; подтверждение ответственности руководства заказчика за представленную в финансовой отчетности информацию и ответы, полученные на конкретные вопросы, возникшие в процессе аудита;исключительно для выполнения плана аудита;как основание для проведения тестов подтверждения;для обобщения сведений об учетной политике предприятия;
Какие из перечисленных обстоятельств не могут быть отнесены к возможным причинам прекращения деятельности предприятия?; судебные иски против предприятия, которые находятся в процессе рассмотрения и могут завершиться решением суда, которое предприятие не может выполнить;утрата основных заказчиков;неконкурентоспособность основной продукции;временное незначительное снижение цен акций предприятия на фондовой бирже;высокая степень зависимости от внешних источников финансирования.;
Какой из признаков служит индикатором того, что предприятие может прекратить свою деятельность, и относится к группе производственных?; лишение предприятия лицензии на занятие основной деятельностью;высокая степень зависимости от внешних источников финансирования;нестабильность получения прибыли, значительные убытки от основной деятельности;грубое нарушение законодательства;
Какой из признаков служит индикатором того, что предприятие может прекратить свою деятельность, и относится к группе прочих?;лишение предприятия лицензии на занятие основной деятельностью;высокая степень зависимости от внешних источников финансирования;значительное снижение эффективности управления;грубое нарушение законодательства;
Какой из признаков служит индикатором того, что предприятие может прекратить свою деятельность, и относится к группе финансовых?; лишение предприятия лицензии на занятие основной деятельностью;высокая степень зависимости от внешних источников финансирования;значительное снижение эффективности управления;грубое нарушение законодательства;
Что должен оценить аудитор на этапе завершения аудита?;существенность всех ошибок и отклонений, выявленных во время аудита;существенность ошибок и отклонений, которые исправлены заказчиком в процессе аудита;существенность ошибок и отклонений, не исправленных заказчиком в процессе аудита;существенность собственных ошибок, существенность аудиторского риска;
При каких обстоятельствах аудитор имеет право выдать безусловный положительный вывод:; аудитор полностью удовлетворен состоянием учета и отчетности;существует незначительная неуверенность в достоверности учета некоторых операций;существует незначительное несогласие относительно способа отображения в учете некоторых операций;существует значительное несогласие в способе отображения в учете некоторых операций или существует значительное ограничение в получении аудиторских доказательств.;
К какому виду аудита относится аудиторская проверка  показателей эффективности и производительности?;операционный аудит;аудит соответствия	обязательный аудит;	такого вида аудита не существует;Все ответы верны;
На основе Постановление Президента Республики Узбекистан от 19 сентября 2018 года № ПП-3946 «О мерах по дальнейшему развитию аудиторской деятельности в Республике Узбекистан»: коммерческая организация, информация о которой не внесена в реестр аудиторских организаций, имеющих лицензию на осуществление аудиторской деятельности, в течение .............месяцев  с даты внесения сведений о ней в Единый государственный реестр субъектов предпринимательства, не вправе использовать в своем наименовании слова «аудиторская организация»;Трех месяцев;Двух месяцев	;Шести месяцев;	Одного месяца;
Обязана ли аудиторская организация уведомлять налоговые органы о любых нарушениях налогового законодательства, выявленных в ходе аудиторской проверки?;Не обязана;Обязана предоставить одну копию аудиторского отчета;	Обязана на основе требований налоговых органов;Обязана исходя из результатов аудиторской проверки;
Какие вопросы при аудиторской проверке включает в себя анализ результатов инвентаризации?;Инвентаризация товарно-материальных ценностей; проверка полноты их оприходования; анализ правильности списания;Не проведенные инвентаризация товарно-материальных ценностей; проверка полноты их оприходования;Проверка полноты их оприходования товарно-материальных ценностей; анализ правильности использования;Аннализ правильности оприходования, использования, хранения, выбытия и списания;
При подготовке общего плана аудита необходимо учитывать:;надежность системы внутреннего контроля;объём годовой выручки проверяемого экономического субъекта;	численность учетного персонала проверяемого экономического субъекта;образование руководства проверяемого экономического субъекта;
Участие аудитора в инвентаризации:;в обязанности аудитора не входит проведение инвентаризации, так как в Законе о бухгалтерском учете и отчетности эта обязанность возложена на руководителя пред-приятия, он не должен входить в состав инвентаризационной комиссии, но наблюдая за ее работой, он следит за правильностью выполнения процедур, которые позволят правильно идентифицировать запа-сы, определить их коли-чество,  проводит конт-рольные проверки,  сверяя свои записи с записями инвентаризациионной комиссии;в обязанности аудитора входит проведение инвентаризации, он должен входить в состав инвентаризационной комиссии, и наблюдая за ее работой он фиксирует правильность выполнения процедур, которые позволят правильно идентифицировать запа-сы, определить их количество, проводит контрольные проверки;в обязанности аудитора не входит проведение инвентаризации, как руководителя, он должен следит за правильностью выполнения процедур, которые позволят правильно идентифицировать запасы, определить их количество, проводит контрольные проверки, сверяя записи с записями предыдущей инвентаризационный комиссии;в обязанности аудитора не входит проведение инвентаризации, так как в договоре о проведении аудиторской проверки с предприятием, он не должен входить в состав инвен-таризационной комиссии, и не наблюдать за ее работой, он только проводит контрольные проверки, сверяя свои записи с записями инвентаризационный комиссии;
Как аудитор проверяет правильность данных, включенных в инвентаризационную ведомость?;Проводит сверку фактического наличия основываясь на своих записях результатов инвентаризации и учетных данных;Проводит контрольную проверку фактического наличия и основываясь на свои записи, сверяер результаты инвентаризации и учетных данных;Проводит сличение фактического наличия основываясь на свои записи результатов инвентаризации и учетных данных;Проводит повторную инвентаризацию фактического наличия основываясь на ее результаты сверяет их с записями учетных данных;
Что необходимо выяснить аудитору согласно МСА№240 «Мошенничество и ошибки» по результатам проведенной инвентаризации, если выявлены расхождения фактического и учетного количества?;Насколько часто встречаются расхождения и какова их значимость и влияние этих расхождений на план выборочной аудиторской проверки;Количество и сущность расхождений и какова их значимость и их влияние на выполнения плана аудиторской проверки;Какова значимость и влияние расхождений на составление финансовой отчетности и отчет аудиторской проверки;Влияние этих расхождений на результаты аудиторской проверки;
Если по результатам проведенной инвентаризации выявлены расхождения фактического наличия и учетных данных, то необходимо:;должен быть выпущен приказ руководителя предприятия и в соответствии с его предписаниями расхождение должно быть исправлено; учетные данные следует за-менить фактическими или же, если материально-ответственное лицо не согласно в недостаче, его доводы должны быть проанализированы и про-ведена повторная инвентаризация;учетные данные следует заменить фактическими или же, если материально-ответственное лицо согласен в недостаче, его доводы должны быть проанализированы и проведена повторная инвентаризация;должен быть выпущен приказ аудитора и в соответствии с его предписаниями расхождение должно быть исправлено; учетные данные следует заменить фактическими или же, если материально-ответственное лицо не согласно в недостаче, его доводы должны быть отклонены;должен быть выпущен приказ руководителя предприятия и в соответствии с предписаниями аудитора расхождение должно быть спиано; или должна быть  проведена повторная инвентаризация;
Как отражаются на счетах излишки, выявленные в ходе инвентаризации?;Они должны быть оприходованы по дебету счетов товарно-материальных ценностей и по кредиту счета «Прибыли и убытки»;они должны быть оприходованы по дебету счетов денежные средства в кассе и по кредиту счета «Прибыли и убытки»;они должны быть оприходованы по дебету счетов «Прибыли и убытки» и по кредиту счета товарно-материальных ценностей  ;они должны о приходоваться по дебету счетов реализация товарно-материальных ценностей и по кредиту счета «Прибыли и убытки»;
Типичные ошибки, выявляемые при проверке материально-производственных запасов по МСА№ 240:;отсутствие документов, подтверждающих их поступление;списание на расходы организации не оприходованных активов;отсутствие документов, подтверждающих реализацию основных средств;списание на расходы организации не оприходованных нематериальных активов;
Какие из перечисленных не относятся к методам получения аудиторских доказательств?;оценка полученной документации;проверка арифметических расчетов организации	проверка ;соблюдения правил принятия на учет хозяйственных операций ;	инвентаризация;
Вероятностью того, что существующие средства внутреннего контроля не позволяют своевременно предотвращать, обнаруживать и исправлять существенные искажения:;риск необнаружения;риск средств контроля;неотъемлемый риск.;все ответы верны;
Ответственность за формулирование и выражение мнения о достоверности финансовой отчетности несет:;Аудитор;руководство клиента;предполагаемый пользователь;эксперт;
Полный набор элементов, из которых аудитор формирует выборочную совокупность, в отношении которой он хочет сделать выводы:;генеральная совокупность; сплошная проверка;аудиторская выборка.;статистическая выборка;
Преднамеренные действия или бездействие одного или нескольких лиц, направленные на извлечение незаконных выгод, считаются:;мошенничеством;ошибками;несоблюдением законодательства.;все ответы верны;
Проверка правильности арифметических расчетов в документах и записях:;Пересчет;анализ;подтверждение;запрос.;
Постоянно осуществляемое руководством наблюдение за тем, чтобы внутренний контроль отвечал установленным параметрам и модифицировался в соответствии с изменяющимися обстоятельствами:;мониторинг контроля;контрольная деятельность;внутренний контроль;контрольная среда.;
Что за документ счет-фактура?;Это документ, в котором приводятся описание и количество проданных товаров, их стоимость (включая фрахт, страховку), условия и прочие данные, при помощи которого информируют клиента об объеме реализации и дате оплаты;Это документ, в котором приводят описание и количество произведенных товаров, их стоимость (включая фрахт, страховку);Это документ, в котором приводятся описание качества товаров, при помощи которого информируют клиента о характеристиках реализуемых товаров;Это документ, в котором приводятся описание стоимости, условия поставки и прочие данные, при помощи которых информируют клиента об объеме реализации и дате оплаты;
Если факторы неопределенности, имеющей место в отношении применимости допущения непрерывности деятельности, и планы руководства адекватно раскрыты в пояснениях к отчетности, аудитору следует:;выразить отрицательное мнение или мнение с оговоркой, в зависимости от своего профессионального суждения;включить в аудиторское заключение абзац, привлекающий внимание;выразить мнение с оговоркой.;выразить аудиторское заключение;
Если влияние разногласий с руководством организации настолько существенно и глубоко, аудитор:;выражает отрицательное мнение;выражает мнение с оговоркой;выражает безоговорочно положительное мнение;отказывается от выражения мнения.;
За подготовку и справедливое представление финансовой отчетности в соответствии с применимыми принципами и правилами ее подготовки несет:;руководство организации аудитор;аудируемое лицо;аудитор;руководство аудиторской фирмы.;
Соблюдение предпосылки «существование» в отношении основных средств можно подтвердить:;проведением инвентаризации;проверкой наличия и оформления первичных документов;сверкой расчетов с поставщиками основных средств.;арифметические процедуры;
Максимальное значение ошибки в генеральной совокупности, которую аудитор считает приемлемой:;допустимая ошибка аномальная ошибка;аномальная ошибка;ошибка.;все ответы верны;
Отслеживание аудитором процесса или процедуры, выполняемой другими лицами:;наблюдение анализ;инспектирование записей и документов;подтверждение;анализ;
В каких формах осуществляется контроль качества Работы аудитора:;Контроль основного аудита за работой своих ассистентов; контроль аудиторской организации за работой аудитора; внешний контроль;Управленческий контроль, внутрихозяйственный контроль и местный контроль;Общехозяйственный контроль и цеховой контроль;Финансовый и экономический;
Кем осуществляется внешний контроль? ;Внешний контроль осуществляется со стороны государственных органов;Палатой аудиторов;Ассоциацией бухгалтеров и аудиторов;Налговыми органами;
Информация является существенной:;если искажение может повлиять на экономические решения квалифицированных специалистов, принимаемые на основе финансовой (бухгалтерской) отчетности;если является следствием неправильного отражения в учете фактов хозяйственной деятельности;если ее пропуск или искажение могут повлиять на экономические решения пользователей, принятые на основе финансовой отчетности.;Все ответы верны;
Отношение руководства и лиц, наделенными руководящими полномочиями, к внутреннему контролю, понимание его значения для организации, их осведомленность в отношении внутреннего контроля и действия, непосредственно связанные с ним:;контрольная среда контрольная деятельность;мониторинг контроля;внутренний контроль;контрольная деятельность.;
Что произошло в 1948 году с Американским институтом присяжных бухгалтеров?; разработаны» обобщенные стандарты аудита";разработаны "обязанности внутренних аудиторов";был разработан закон "Об обязательном аудите"	;были разработаны "общепринятые стандарты аудита информационной системы";
В каком году была создана Ассоциация аудита электронной обработки данных?; в 1976 году;в 1948 году; ;в 1987 году;в 1932 году; ;
Какая организация оказывает большое влияние и проявляет инициативу в разработке единых стандартов в деятельности аудиторов по всему миру?; AICPA (Американский институт сертифицированных государственных бухгалтеров);МСФО (Международные стандарты финансовой отчетности) ;GAAP (общепринятые принципы бухгалтерского учета);IAPC (Комитет по международной аудиторской практике);
Укажите состав общих стандартов компетентности и этики аудита.:; обязательная подготовка и мастерство, независимость, обязательная квалификация;обязательная квалификация;надлежащее планирование и контроль, адекватное понимание системы внутреннего контроля, компетентность;обязательная подготовка и мастерство, обязательная квалификационная квалификация, достаточное количество необходимых доказательств;
Приведите состав рабочих стандартов объектов:;правильное планирование и контроль, достаточное понимание системы внутреннего контроля, достаточное количество необходимых доказательств;обязательная подготовка и мастерство, независимость, обязательная квалификация;обязательная подготовка и мастерство, независимость, обязательная квалификационная политика, надлежащее планирование и контроль;обязательная подготовка и мастерство, обязательная квалификационная элегантность, достаточное количество необходимых доказательств;
