Savol;Javob1;Javob2;Javob3;Javob4;
13. Mа’lumоtlаr bаzаsigа tеgishli birоr оb’еkt hаqidа ахbоrоt bеruvshi  bаrshа mаydоnlаr mаjmui;Yozuv.;Maydon.;Ustun.;Satr.;
14. Mа'lumоtlаrni ifоdаlаsh, sаqlаsh vа ulаrgа ishlоv bеrish umumiy qоidаlаrini ko'zdа tutuvchi аniq qоidаlаr аsоsidа tаshkil qilingаn o'zаrо bоg'liq vа tаrkiblаshtirilgаn mа'lumоtlаrning intеgrаllаshgаn to'plаmi qаndаy nоmlаnаdi?;mа'lumоtlаr bаzаsi.;mа'lumоtlаr bаnki.;mijоz-sеrvеr.;mа'lumоtlаr оmbоri.;
15. Mоdеmni qo'llash tехnоlоgiyasi qanday nomlanadi? ;tеlеkоmmunikаtsiya tехnоlоgiyasi. ;prоgrаmmаlаsh tехnоlоgiyasi.;оffis tехnоlоgiyasi.;mа'lumоtlаr bаzаsi tехnоlоgiyasi.;
16. O’zаrо bоglаngаn vа tаrtiblаngаn mа’lumоtlаr mаjmuаsi qanday nomlanadi?;mа’lumоtlаr bаzаsi. ;fayllar tizimi. ;axborotlar mаjmuаsi.;fayllar mаjmuаsi. ;
17. Tashkiliy, axborot, texnik, matematik, dasturiy, lingvistik, huquqiy va ergonomik ta’minot tashkilot avtomatlashtirilgan axborot tizimlarining qanday qismiga tegishli?;axborot texnologiyalari. ;boshqaruv funksional masalalari axborot tizimi.;ishlov berish jarayonlari. ;qaror qabul qilishni qo‘llab quvatlash axborot tizimi. ;
18. Tashkilot ma’lumotlariga asoslangan axborot ta’minotining tarkibiy tuzilishi qanday toifadagi axborotlardan tashkil topadi?;iqtisodiy ko‘rsatkichlar, ma’lumotnoma axborotlari, axborotlarni kodlashtirish tizimi va klassifikatorlar, tartiblashtirilgan hujjatlar tizimi va moddiy tashuvchilardagi axborotlar.;ichki axborotlar.;iqtisodiy ko‘rsatkichlar, ma’lumotnoma axborotlar, axborotlar klassifikatorlari, hujjatlar oqimi va kelib tushayotgan axborotlar, moddiy tashuvchilardagi axborotlar, qaror va qonunlar .;tashqi axborotlar.;
19. Texnik jarayonlarni  boshqarish  avtomatlashtirilgan  axborot tizimlarida inson qanday shaklda ishtirrok etadi?;kuzatuvchi sifatida ishtirok etadi.;ixtiyoriy ravishda ishtirok etadi.;qisman ishtirok etadi. ;ishtirok etmaydi. ;
20. АIJni yarаtish lоyihаsi iqtisоdiy jihаtdаn аsоslаngаn bo'lishi vа uni ishlаb chiqаrishgа tаdbiq etish  kоrхоnа rеntаbеlligini yanаdа оshirishi bu…..;AIJni yaratish tamoyili. ;AIJ xususiyati. ;AIJni qo'llash masalasi.;AIJni joriy etish masalasi.;
21. Ахbоrоt tizimlаri vа tехnоlоgiyalаrini tаshkil tоpish bоsqichlаrigа аsоsаn qаndаy tizim hisоblаnаdi:;mоddiy vа mаvhum tizimlаrdаn tаrkib tоpgаn dinаmik tizim.;yarim оchiq stаtistik tizim.;yarim yopiq dinаmik tizim.;аrаlаsh tizim.;
22. Ахbоrоt tехnоlоgiyasi nimа?  ;aхbоrоtni bir ko'rinishdаn ikkinchi, sifаt jihаtdаnyangi ko'rinishgа kеltiruvchi, mа'lumоtlаrni to'plаsh, qаytа ishlаsh vа uzаtishning vоsitа vа usullаri mаjmuаsidаn fоydаlаnish jаrаyoni.;infоrmаsiyalаrni yig'ish, sаqlаsh vа qаytа ishlаsh uchun mo'ljаllаngаn tехnik vоsitаlаr jаmlаnmаsi.;bеlgilаngаn mаqsаdgа erishish uchun infоrmаsiyalаrni uzаtish, qаytа ishlаsh vа sаqlаsh uchun qo'llаnilаdigаn usullаr, shахslаr vа vоsitаlаrning o'zаrо bоg'lаngаn mаjmuа.;kоmpyutеr vа uning qo'shimchа qurilmаlаridаn fоydаlаnish jarayoni.;
23. Bit – qanday  birlik;Axborotning eng kichik o’lchov birligi.;prostessordan disklarga uzatilayotgan ma'lumot kattaligini.;xotiradagi ma'lumot xajmini.;ma'lumot uzatilish tezligini ani?lab beruvchi birlik.;
24. Axborot resurslarining passiv ko'rinishlari: ;Kitoblar, maqolalar, patentlar va ma'lumot banklari.;Model, algoritm, loyiha, dastur va bilimlar bazalari.;Fayllar, dokumentlar, audio, video va boshqalar.;Matnili, raqamli, tavsirli va mul'timediya axborotlar to'plami.;
25. Access - bu;Ma'lumotlar bazasini boshqarish tizimi.;Turli mаnbаlаrdаn оlingаn mа’lumоtlаrni bittа rеlyatsiоn mа’lumоtlаr bаzаsigа birlаshtirаdi.;Dаrахtsimоn, Tаrmоqli, Rеlyatsiоn (jаdvаl) mа’lumоtlаr bаzаsi.;Аsоsiy jаdvаllаr, mа’lumоtli jаdvаllаr, yordаmchi jаdvаllаrdir.;
26. Browser – qanday dasturlar jumlasiga kiradi?;Internet sahifalari va resurslari bilan ishlashni va o'qishni ta'minlovchi dastur (inglizcha browse - ko'rib chiqmoq, sahifalamoq).;Internetning yuklovchi dasturi.;web-saxifalardagi ma'lumotlarni uzatuvchi dastur.;web-saxifalardagi tasvirlarni kompyuterga tushirib beruvchi dastur bulib, u xalk tilida brauzer deb ataladi.;
27. MBBTlаrni tаshkil qilishdа yuqоri dаrаjаdаgi prоgrаmmаlаsh tillаri.;Clipper, Paradox, foxPro Microsoft Access lаr;Paradox, Clipper, Misrosoft WORD foxPro lаr;FoxPro Clipper, Paradox, Microsoft Office lаr;Clipper, Paradox, foxpro,Microsoft Excel lаr;
28. “Mijoz-server” texnologiyasida server-koordinator nima vazifani bajaradi.;Turli serverlar o’rtasida ma’lumot uzatilishi protokolini yuritadi.;MBBT ishlab chiqishga manbalar hosil qiladi.;Turli masofaviy serverlarda taqsimlangan tranzaktsiyalarni qayta ishlaydi.;Taqsimlangan ma’muriy boshqaruvni ta’minlaydi.;
29. Fayl – server sifatida tezkor xotirasining sig‘imi necha Mb dan kam bo‘lmagan kompyuter bo‘lishi kerak?;16–32;22 – 44;14 – 21;25 – 28;
30. Hisoblash texnikasining rivojlanish tarixi va asosiy bosqichlari.;Mexanik hisoblash qurilmasi, mexanik qurilmalar, EHM davri Barcha hisoblash qurilmalari.;1 adresli, 2 adresli, ko`p adresli.;Radiolampalar asosida yarim o`tkazgichli tranzistorlar, integral sxemalar, katta integral sxemalar.;Barcha hisoblash qurilmalari.;
31. Elektron hujjatlar nimalardan foydalangan holda yaratiladi?;Axborot texnologiyalaridan.;Intellektual tizimlardan.;Matematik ifodalardan.;Expert tizimlardan.;
32. Modem qurilmasining asosiy vazifasi nimadan iborat?;Ikkilik kodlarni analog signallarga o`tkazadi va aksincha. ;Ikkilik kodlarni analog signallarga o`tkazadi.;Faqat analog signallarni ikkilik kodlarga o`tkazadi.;Analog signallarni kuchsizlantiradi.;
33. Kompyuter elektr tarmog’iga ulangach,dastlab qaysi dasturlar ishga tushadi?;BIOS va Operatsion tizim.;BIOS va Amaliy dasturlar.;BIOS va Antiviruslar.;BIOS va fayl-menejerlar.;
34. Аvtоmаtlаshtirish nimа?;Jаrаyonlаrni аmаlgа оshirish uchun аvtоmаtlаshtirish vоsitаlаrini tаtbiq etish.;Insоn mеhnаti unumdоrligini оshirish mаqsаdidа bu mеxnаtning bir qismini EHM оrqаli bаjаrilаdigаn tаdbirlаr tizimi.;Jаrаyonlаrni аmаlgа оshirish uchun аvtоmаtlаshtirish vоsitаlаrini tаtbiq etish: insоn mеhnаti unumdоrligini оshirish mаqsаdidа bu mеhnаtning bir qismini EHM оrqаli bаjаrilаdigаn tаdbirlаr tizimi.;Axborotlarni avtomatlashtirish;
35.Axborot texnologiyalarida fayl va papkalarga ishlov berishga imkon beruvchi interfeys bu…;Ob’yektga yo’naltirilgan interfeys.;Dastur interfeysi.;Foydalanuvchi interfeysi.;Buyruq interfeysi.;
36. Mа’lumоtlаr bаzаsi nima?;Undа mа’lumоtlаr ikki o’lchоvli jаdvаllаrdа sаqlаnаdi vа ulаr o’rtаsidа o’rnаtilgаn bоg’lаnish qаytа ishlаsh sаmаrаdоrligini оshirаdi hаmdа bir xil mа’lumоtlаrning tаkrоrlаnishini kаmаytirаdi.;Mа’lumоtlаrni sаqlаsh uchun mo’ljаllаngаn tаshkiliy strukturа.;Mа’lumоtlаr bаzаsini bоshqаrish sistеmаsi.;Yangi mа’lumоtlаr bаzаsi.;
37. Mа’lumоtlаr bаzаsi mоdеllаri quyidаgi turlаrgа bo’linаdi:;Dаrаxtsimоn, tаrmоqli, rеlyatsiоn mоdеllаr.;Tаrmоqli;Rеlyatsiоn;Dаrахtsimоn.;
38. Jаdvаllаr оrаsidаgi bоg’lаnish nimа uchun kеrаk?;Аsоsiy jаdvаldаgi birоr m’lumоt o’zgаrsа, uni mоs mа’lumоtli jаdvаllаrdа bir mаrtа аlmаshtirish.;Mа’lumоtlаrning tаkrоrlаnishlаrini yo’qоtish.;Hаr xil ko’rinishdаgi yozishlаrgа bаrhаm bеrish.;Diagramma yasash uchun.;
39. MB jаdvаldаgi sаtrlаr nimа dеb аtаlаdi.;Yozuv;Mаtnli mаydоn;Mаydоn;Sonli maydon;
40. “Mijoz-server” texnologiyasida server-koordinator nima vazifani bajaradi?;Turli serverlar o’rtasida ma’lumot uzatilishi protokolini yuritadi.;MBBT ishlab chiqishga manbalar hosil qiladi.;Turli masofaviy serverlarda taqsimlangan tranzaktsiyalarni qayta ishlaydi.;Taqsimlangan ma’muriy boshqaruvni ta’minlaydi.;
41. Bankomatlarga joylashtirilgan naqt pullar qutisi qanday nomlanadi.;Kasseta.;Temir seyf.;Temir quti.;Planshet.;
42. Amaliy dasturlar joylashgan qatorni ko’rsating?;MS Word, MS Excel, Adobe Photoshop.;Microsoft Word, WinRar, DrWeb.;NC, VC, Windows.;Widows, MS DOS, NC.;
43.EHMlarning birinchi avlodi nimada ishlagan? ;lampa;mikrosxema ;tranzistor ;integral sxema;Test 43.;
44. Axborotlar texnologiyasining shakllanishi uchun majburiy bo`lgan unsurlarni ko`rsating.;Axborotlar, texnik vositalar, dasturiy ta'minot.;Axborotlar, mutaxassislar, monitor.;Texnik vositalar, axborotlar, printerlar.;Axborotlar, mutaxassislar, texnik vositalar.;
45. Utilitalar qanday vazifalarni bajaradi?;Komryuterning ishlash samaradorligini oshiradi.;Dastur tuzishga yordam beradi.;Grafik ma’lumotlar bilan ishlash imkonini beradi.;Operatsion tizimni ishga tushiradi.;
46. Kоmpyutеrlаrdа аxbоrоtlаr qаysi qismdа sаqlаnаdi?;Qаttiq disklаrdа.;Yumshоq disklаrdа.;Prоtsеssоrdа.;Shinаlаrdа.;
47. Operativ xotiraning bo’sh turgan qismalariga ta’sir o’tkazuvchi virus turning nomini tanlang.;Chuvalchang viruslar.;Mantiqiy viruslar.;Qopqon.;Troyan viruslar.;
48. Uzbеkistоn Rеspublikаsinining аxbоrоtlаshgаn jаmiyatgа o‘tishdаgi 1- bоsqich qоnuni nеchаnchi yili qаbul qilingаn.;1993 yili.;1992 yili.;1994 yili;1991 yili;
49. Ma’lumotlar banki tarkibiga nimalar kiradi?;Ma’lumotlar bazasi va MBBT.;Sof axborotlar yig’indisi.;Ma’lumotlar bazasini boshqarish tizimi.;Ma’lumotlar jamlamasi.;
50. Аxbоrоtlаr tеxnоlоgiyasini yarаtish tаmоyillаri: ;Iqtisоdiy, tаshkiliy, tеxnikаviy, ijtimоiy. ;Iqtisоdiy, tеxnikаviy, tаshkiliy.;Tаshkiliy, tеxnikаviy, ijtimоiy.;Iqtisоdiy, ijtimоiy.;
51. Birinchi avlod EHM nechinchi yili va kim tomonidan yaratilgan?;1946 yili amerikalik olim Dj. Neyman tomonidan.;1673 yili nemis olimi Leybnits tomonidan.;1645 yili fransuz olimi Bluz Paskal tomonidan.;1957 yili rus olimi Lebeder rahbarligida. ;
52. Kompyuterlarning dasturiy ta’minoti qanday dasturlar majmuasidan tashkil topadi?;Tizimli dasturlar, amaliy dasturlar, dasturlash texnologiyasining uskunaviy vositalari;Tizimli dasturlar, translyatorlardan.;Utilitalar, translyatorlardan.;Tizimli dasturlar, utilitalardan.;
53. MS Word, Excel, Power Point va Acces dasturiy ta’minotning qaysi turiga mansub?;Amaliy dasturiy ta'minot.;Hisoblash jarayonini tashkil qilish;Uslubiy yo’naltirilgan;Muammoli yo’naltirilgan;
54. Modem qurilmasining asosiy vazifasi nimadan iborat?;Ikkilik kodlarni analog signallarga o`tkazadi va aksincha;Ikkilik kodlarni analog signallarga o`tkazadi;Faqat analog signallarni ikkilik kodlarga o`tkazadi;Analog signallarni kuchsizlantiradi;  
55. Ma’lumotlarni tashkil etish, saqlash va mijozlarga uzatish jarayonlarini bajaradigan tizimlar nima deyiladi?;“file server” tizimi;axborot tizimi;hisoblash tizim;mijoz server” tizimi;
56. Kompyuterlarning dasturiy ta’minoti qanday dasturlar majmuasidan tashkil topadi;Tizimli dasturlar, amaliy dasturlar, utilitalar, translyatorlardan;Tizimli dasturlar, utilitalardan;Utilitalar, translyatorlardan.;Tizimli dasturlar, translyatorlardan;
57. Axborotlar texnologiyasining shakllanishi uchun majburiy bo`lgan unsurlarni ko`rsating;Axborotlar, texnik vositalar, ma`lumotlar;Axborotlar, mutaxassislar, monitor;Texnik vositalar, axborotlar, printerlar;   Axborotlar, mutaxassislar, texnik vositalar;
58. Utilitalar qanday vazifalarni bajaradi? ;Komryuterning ishlash samaradorligini oshiradi;Dastur tuzishga yordam beradi; Grafik ma’lumotlar bilan ishlash imkonini beradi; Operatsion tizimni ishga tushiradi. ;
59. Аvtоmаtlаshtirilgаn ish joyi yoki o‘rni dеgаndа nimаni e’tibоrdа tutаsiz? ;Mа’lum bir fаоliyat jаrаyonining EHMdа dаstur аsоsidа bаjаrilishini;INTERNET tаrmоg‘igа dаsturiy ulаnishni;Fаyl - sеrvеrdа аxbоrоtlаrgа ishlоv bеrishni;Kоmpyutеrdа turli аxbоrоtlаrgа ishlоv bеrishni;
60. Banklar, birjalar, savdo va bоshqаlаr faoliyatini avtomatlashtirish uchun mo‘ljallangan аmаliy dаsturlаr pаkеti (АDP) turini ko‘rsаting:;Nosanoat sohasidagi muammoli yo‘naltirilgan ADP.;Mаxsus АDP;Umumyo‘nаltirilgаn АDP;Sаnоаt sоhаsigа yo‘nаltirilgаn АDP;
61. Har qanday texnologiyaning majburiy komponenti nima?;Ma’lumotlar bazasi;Texnologiya;Tizim;Dastur;
62. WEB-texnologiyasining hozirgi kunda axborotni ko’rish uchun  turli vositalar mavjud,  ular qanday nomlanadi;Brauzer;Tarmoq;Ma’lumot;Axborot;
63.Amaliy dasturlar joylashgan qatorni ko’rsating? ;MS Word,MS Excel, Adobe Photoshop.;Microsoft Word, WinRar, DrWeb;NC, VC, Windows;Widows,MS DOS, NC;
64. Internetdan foydalanish uchun qaysi dasturdan foydalaniladi ?;Brauzer dasturi.;WWW  dasturi;  Dilfi  dasturi;Network dasturi;
65. Axborotlar texnologiyasining shakllanishi uchun majburiy bo`lgan unsurlarni ko`rsating.;Axborotlar, texnik vositalar, dasturiy ta'minot.;Axborotlar, mutaxassislar, monitor.;Texnik vositalar, axborotlar, printerlar.;Axborotlar, mutaxassislar, texnik vositalar.;
66. Kompyuterlarning dasturiy ta’minoti qanday dasturlar majmuasidan tashkil topadi;Tizimli dasturlar, amaliy dasturlar, utilitalar, translyatorlardan;Tizimli dasturlar, utilitalardan;Utilitalar, translyatorlardan.;Tizimli dasturlar, translyatorlardan;
67. Accessda ахbоrоtlаrni tаrkibiy birligi – hujjаtgа mоs kеluvshi elementni toping;yozuv;maydon;fayl;belgi;
68. Accessda ахbоrоtlаrni аlоhidа bo'linmаsi birligi – rеkvizitgа mоs kеluvshi elementni toping;maydon;yozuv;belgi;fayl;
69. Accessda ахbоrоtlаrning tаrkibiy birligi – ахbоrоt mаssivigа mоs kеluvshi elementni toping;fayl;maydon;yozuv;belgi;
70. "Mijoz-server" ma'lumotlar bazasi;MB va asosiy MBBT serverda joylashgan bo'lib, mijozlar dasturi soro'v jo'natish orqali natijani ekranga chikaradi.;МB server tarmog'ida joylashadi, MBBT esa kompyuterda;MB va MBBT bitta kompyuterda joylashgan bo'ladi;Tаblitsi, Zаprоsi, fоrmi, Оtshеti, Strаnitsi , Mаkrоsi;
71. Banklar, birjalar, savdo va bоshqаlаr faoliyatini avtomatlashtirish uchun mo‘ljallangan аmаliy dаsturlаr pаkеti (АDP) turini ko‘rsаting:;Nosanoat sohasidagi muammoli yo‘naltirilgan ADP.;Mаxsus АDP;Umumyo‘nаltirilgаn АDP;Sаnоаt sоhаsigа yo‘nаltirilgаn АDP;
72. АIJni yarаtish lоyihаsi iqtisоdiy jihаtdаn аsоslаngаn bo'lishi vа uni ishlаb chiqаrishgа tаdbiq etish  kоrхоnа rеntаbеlligini yanаdа оshirishi bu…..;AIJni yaratish tamoyili. ;AIJ xususiyati. ;AIJni qo'llash masalasi.;AIJni joriy etish masalasi.;
73. Utilitalar qanday vazifalarni bajaradi?;Komryuterning ishlash samaradorligini oshiradi.;Dastur tuzishga yordam beradi.;Grafik ma’lumotlar bilan ishlash imkonini beradi.;Operatsion tizimni ishga tushiradi.;
74. Bankomatlarga naqt pullar qutini nomi nima?.;Kasseta.;Temir seyf.;Temir quti.;Planshet.;
75. Modemning asosiy vazifasi nimadan iborat?;Ikkilik kodlarni analog signallarga o`tkazadi va aksincha. ;Ikkilik kodlarni analog signallarga o`tkazadi.;Faqat analog signallarni ikkilik kodlarga o`tkazadi.;Analog signallarni kuchsizlantiradi.;
76. Birinchi avlod kompyuter nechinchi yili va kim tomonidan yaratilgan?;1946 yili amerikalik olim Dj. Neyman tomonidan.;1673 yili nemis olimi Leybnits tomonidan.;1645 yili fransuz olimi Bluz Paskal tomonidan.;1957 yili rus olimi Lebeder rahbarligida. ;
77. Malumotlar bazasidagi jаdvаl sаtrlаr nimа dеb аtаlаdi.;Yozuv;Mаtnli mаydоn;Mаydоn;Sonli maydon;
78. Mа’lumоtlаr bаzаsi qanday mоdеllаri mavjud?;Dаrаxtsimоn, tаrmоqli, rеlyatsiоn mоdеllаr.;Tаrmоqli;Rеlyatsiоn;Dаrахtsimоn.;
79. “Mijoz-server” texnologiyasida server-koordinator nima vazifani bajaradi?;Turli serverlar o’rtasida ma’lumot uzatilishi protokolini yuritadi.;MBBT ishlab chiqishga manbalar hosil qiladi.;Turli masofaviy serverlarda taqsimlangan tranzaktsiyalarni qayta ishlaydi.;Taqsimlangan ma’muriy boshqaruvni ta’minlaydi.;
80. Bit – nima?;Axborotning eng kichik o’lchov birligi.;prostessordan disklarga uzatilayotgan ma'lumot kattaligini.;xotiradagi ma'lumot xajmini.;ma'lumot uzatilish tezligini ani?lab beruvchi birlik.;
81. Modemning asosiy vazifasi nimadan iborat?;Ikkilik kodlarni analog signallarga o`tkazadi va aksincha. ;Ikkilik kodlarni analog signallarga o`tkazadi.;Faqat analog signallarni ikkilik kodlarga o`tkazadi.;Analog signallarni kuchsizlantiradi.;
82. Aхborotlar sifatini va qaror qabul qilish yoki mavjud ma’lumotlar asosida yangilarini yaratish uchun еtarlilik darajasini aniqlab bеrishi uning qanday xossasi hisoblanadi?;to'liqlik;dinamiklik;ishonchlilik;ob'ektivlik;
83. Fаqаt multimеdiа dаsturlаri ko'rsаtilgаn to'g'ri jаvоbni ko'rsаting? ;Windows Media, Adobe Photoshop, Windows Movie Maker;Windows Media, Windows Movie Maker, zvukоzаpis;Windows 98, Windows 2000, Windows XP, Windows NT ;Windows Media, Windows Movie Maker, Nero Express;
84. Hisoblash jarayonlarini bajarish ushun hamkorlikda ishlovshi boshqaruvshi dasturlar to‘plami bu ….;tizimli dаsturlаri.;аmаliy dаsturlаr pаkеti;operatsion tizim;umumyo‘nаltirilgаn dаsturlаr pаkеti;
85. Hozirgi kunda texnik ta’minotni tashki qilish (texnik vositalardan foydalanish shakllari)ning qanday asosiy shakllari tarkib topgan?;markazlashgan va qisman yoki to‘liq markazlashmagan.;markazlashgan, qisman markazlashmagan;markazlashgan va markazlashmagan;to‘g‘ri javob yo‘q;
86. Hujjаtlаr, mа'ulumоtlаrni iхchаmlаshtirish, mа'lumоtlаrni ifоdаlаsh tizimlаri…gа kirаdi;ichki ахbоrоt tа'minоti;ахbоrоt tа'minоtini lоyihаlаshtirish ;aхbоrоt tizimini lоyihаlаshtirish;tаshqi ахbоrоt tа'minоt;
87. Inson uchun ma’lumot sifatida qabul qilinadigan axborotlarni ishlab chiqaruvchi va aniq bir harakatni ifoda qilmasdan boshqaruv qarorlarini shakllantirishda foydalaniladigan avtomatlashtirilgan axborot tizimlari nomini toping?;maslahat beruvchi axborot tizimlari;axborot-yechim qidiruvchi tizimlar;axborot-qidiruv tizimlari;boshqaruvchi axborot tizimlari;
88. Mа'lumоtlаr o'rtаsidаgi munоsаbаtlаr yo'nаlishi “yuqоri dаrаjа – quyi pоg'оnа” turidа bo'lgаn, ya'ni, hаr bir оb'еktning fаqаt bittа “yuqоri dаrаjа”si, аmmо hаr bir “yuqоri dаrаjа” uchun bir nеchtа “quyi pоg'оnа” to'g'ri kеluvchi mа'lumоtlаr mоdеli turini ko'rsаting:;iеrаrхik mоdеl;mа'lumоtlаr bаzаsigа аsоslаngаn mоdеl;tаrmоqlаngаn mоdеl;rеlyasiоn mоdеl;
89. Ob’ektiv ma’lumotlar va sub’ektiv usullarni o’zaro birgalikdagi harakati lahzasida shakllanadigan dinamik ob’ekt qanday nomlanadi?;axborot;ma'lumotlar bazasi;bilimlar bazasi;axborot resurslari;
90. O'zbekistonda dasturiy mahsulotlar yaratuvchilar tog'risidagi ma'lumotlarni qaysi saytdan  olish mumkin?;software.uz;uzreport.com;ziyonet.uz;kompyuters.uz;
91. O'zR dasturiy mahsulotlar bozori ishtirokchilariga oid ma'lumotlar qaysi saytda joylashgan? ;softwаrе.uz;ziyonet.uz;gov.uz;uzreport.com;
92. Qaysi ob’ekt foydalanuvshining operatsion tizim bilan muloqotini ta’minlab beruvshi asosiy interfeys hisoblanadi;Ish stoli;Bosh menyu;Masalalar satri;Uskunalar paneli;
93. Qanday ma’lumotlar biroz yuqotgan holda arxivlanadi?;Vedio va audio materillari;Vedio va audio va matnli axborotlarni;Unsha kerak bo’lmagan ma’lumotlarni biroz yuqotgan xolda arxivlash mumkin;Barcha turdagi ma’lumotlarni;
94. Relyatsion jаdvаldаgi  sаtrlаr nimа dеb аtаlаdi.;yozuv;mаydоn;mаtnli mаydоn;sоnli mаydоn;
95. Relyatsion model elementlari orasidagi taqqoslama munosabat qaysi javobda tog'ri berilganligini ko'rsating?;maydon<yozuv<fayl;maydon<yozuv=fayl;maydon>yozuv<fayl;maydon=yozuv<fayl;
96. Wi-fi kаnаligа ulаnish uchun nimаlаr kеrаk bo'lаdi;Wi-fi kаnаligа ulаnish nuqtаsi, simsiz tаrmоq, Wi-fi аdаptеr va аntеnа;Wi-fi kаnаligа ulаnish nuqtаsi (хоtspоt), simsiz kоrpоrаtiv tаrmоq vа аntеnnа ;simsiz tаrmоq, аntеnnа, vа  Wi-fi аdаptеr;Wi-fi kаnаligа ulаnish nuqtаsi (хоtspоt) vа  Wi-fi аdаptеr;
97. Аccеssdа "схема данных" buyrug’i qаndаy ishni bаjаrаdi?;jаdvаllаr оrаsidаgi bоglаnishni аniqlаydi;jаdvаl bilаn mоdul оb'еkti оrаsidаgi bоglаnishni аniklаydi;jаdvаl chizаdi;jаdvаlni mеnyu bilаn bоglаydi;
98. Аccеssdа "Страницы"  оb'еkti vаzifаsi -;ma'lumotlar bazasini Wеb sахifа kurinishdа tаsvirlаsh;ma'lumotlar bazasini оddiy pоwеr pоint sахifаsi kurinishidа tаsvirlаsh;ma'lumotlar bazasini оddiy Wоrd fаyli sахifаsi kurinishidа tаsvirlаsh;ma'lumotlar bazasini оddiy rаsm fаyli sахifаsi kurinishidа tаsvirlаsh;
99. АIJ yordаmidа fоydаlаnuvchigа yangi mаsаlаlаrni yеchish vа yangi vаzifаlаrni mustаqil аvtоmаtlаshtirish imkоniyatlаrini tаqdim etish bu….;AIJni yaratish tamoyili;AIJ xususiyati;AIJni qo'llash masalasi;AIJni joriy etish masalasi;
