N;Savol;Javob1;Javob2;Javob3;Javob4;
11;Какой международный кредит называется заемной средствой, выделяемый банками разных стран одной и той же организации для реализации крупного проекта.;синдицированные кредиты;интегрированный кредит;совокупный кредит;совместное кредитование
12;К какому из перечисленных относится понятие спотового обменного курса?;По цене немедленного обмена валюты;К спросу и предложению валютного курса;Плавающий обменный курс;Курс продавца
13;В какие годы действовала Генуэзская мировая валютная система?;1922-1929 годы;1944-1972 годы;1867-1914 годы;1891-1925 годы
14;В какой период мировой валютной системы закладывается фундамент современного валютного рынка?;Ямайская валютная система;Парижская валютная система ;Бреттон-Вудская валютная система ;Генуэзская валютная система
15;Показать мировую валютную систему, в которой официально завершен процесс демонетизации золота?;1976 год Ямайка;1922 год Генуэя;1944 год Бреттон-Вудс;1867 год Париж
16;Что вы понимаете под демонетизацией золота?;прекращение использования золота в качестве международного платежного средства;установление золотого содержания национальных валют;использование золота в качестве обеспечения в международных кредитных отношениях;установление строго определенной мировой цены на золото
17;"Сколько этапов проходит золотомонетный стандарт""?";3;2;5;4
18;В какой системе золото сохранило свою последнюю денежную функцию?;Бреттон-Вудская валютная система;Ямайская валютная система;Золото еще не сохранило свою последнюю денежную функцию;Генуэзская валютная система
19;Процесс постепенного лишения золота выполнения функций денег называется ...;Демонетизация;Ремопитизация;Премонизация;Дефиляция
20;Что заставило парижскую валютную систему рухнуть?;Начало первой мировой войны и нехватка денежных средств;Повышение статуса денежных отношений в Версальском мирном договоре;Начало мирового финансового кризиса;Накопление большого количества золотых запасов
21;На сколько типов делится валютный риск?;3 типа;2 типа;5 типа;4 типа
22;Что считается очень ограниченной и специфической формой валютного риска?;Операционный валютный риск;Обмен валюты;рационализация;Политический риск
23;Укажите тип операции с самым высоким уровнем валютного риска?;Спот;Форвард;Валютный опцион;Валютный фючерс
24;Транснациональные корпорации – это …;Материнская компания с филиалами, расположенными по всему миру, принадлежащими капиталу одной страны;Компании, предоставляющие транспортные услуги;Компании, работающие только на территории одной страны;Компании, предоставляющие финансовые услуги
25;Многонациональные компании –это…;материнская компания принадлежит капиталам двух и более стран с зарубежными отделениями, расположенными в разных странах;корпорации, которые специализируются только на производстве одного вида продукции и принадлежат одной стране;корпорации, работающие в рамках национальной экономики;Материнская компания с филиалами, расположенными по всему миру, принадлежащими капиталу одной страны
26;В какой строке правильно указаны основные критерии, относящиеся к ТНК;доля зарубежных активов превышает 25%, а годовой объем продаж не должно быть меньше 1 млрд долларов;доля зарубежных активов превышает 10%, а годовой объем продаж не должно быть меньше 5 млрд долларов;отсутствие филиалов за рубежом, годовой доход должно быть больше 2 млрд долларов;иметь не более трех филиалов за рубежом и иметь долю активов за рубежом менее 15%
27;В каком ответе правильно указаны типы интеграции компаний;горизонтальное, вертикальное, параллельное и конгломеративное слияние;горизонтальное, случайное, параллельное и конгломеративное слияние;вертикальное, смешанное, параллельное и конгломеративное слияние;горизонтальное, вертикальное, параллельное и привилегированное слияние
28;Что можно включить в специальные инструменты повышения конкурентоспособности транснациональных корпораций;слияния и поглощения, стратегические альянсы и аутсорсинг;слияния и поглощения, стратегические альянсы, финансовые центры;расширение зарубежных филиалов, увеличение объема активов;развитие слияния конгломерата, увеличивать объемы продаж и уровень капитализации
29;Что представляет собой индекс транснационализации?;представляет собой участие корпораций в процессе производства продукции и услуг за рубежом.;представляет собой участие корпораций в производственном процессе в основной стране;транснациональные корпорации представляют степень увеличения числа филиалов;используется для определения уровня капитализации корпораций
30;Определите правильный ответ,где даётся основные виды международных интеграционных объединений?;Зона свободной торговли, единый таможенный союз, общий рынок, экономические союзы;Зона свободной торговли, единый таможенный союз, инвестиционные институты, экономические союзы;Зона свободной торговли, единый таможенный союз, общий рынок, международные финансовые организации;СНГ, единый Таможенный союз, общий рынок, экономические союзы
31;Основой чего является золото и резервные валюты, обмениваемые на золото?;Золотодевизный стандарт;Золотомонетный стандарт;Стандарт специальных прав заимствования;Многовалютный стандарт
32;Международная экономическая интеграция –;по взаимному согласию двух и более стран, он состоит из группы, созданной путем отмены пошлин и других ограничительных мер при взаимной торговле продуктами, произведенными в этих странах.;процесс наложения ограничений на отношения между странами, связанные с перемещением товаров, услуг и капитала.;процесс регулирования взаимных финансовых отношений национальных хозяйств;является понятием, обозначающим внешние финансовые отношения предприятий, действующих в народном хозяйстве
33;Цель международной экономической интеграции –…;в перспективе предполагается создание благоприятных условий для свободного перемещения товаров, услуг и факторов производства;является защитой национальных экономик от воздействия факторов внешней среды;страны должны избегать дефицита платежного баланса и устранять его;в перспективе предполагается создание барьеров, влияющих на свободное перемещение товаров, услуг и факторов производства
34;Таможенный союз –;взаимная договоренность двух или нескольких государств об отмене взаимных границ по пошлинам и введении единого таможенного тарифа.;является взаимным соглашением двух или нескольких государств относительно введения налогов;это просто соглашение о развитии торговли между двумя странами;Союз, регулирующий широкое привлечение инвестиций в развитие производства на основе взаимного согласия стран
35;Какие факторы влияют на экономическую интеграцию;все более развивающиеся процессы интернационализации и глобализации в мировом хозяйстве, развитие международных торговых отношений, углубление международного разделения труда, повышение уровня открытости национальных экономик;применение протекционистских мер мировыми хозяйствами, углубление экономического кризиса, замедление международного разделения труда, повышение уровня открытости национальных экономик;все более развивающиеся процессы интернационализации и глобализации в мировом хозяйстве, ослабление международных торговых связей, углубление международного разделения труда, повышение уровня защиты внутренних рынков национальными экономиками;процессы глобализации, финансовые кризисы, увеличение капитала банков, повышение уровня международного налогообложения
36;На сколько процентов увеличение внешнего долга по отношению к ВВП страны приведет к ухудшению состояния платежного баланса?;60;40;50;55
37;В каком договоре прописано формирование европейского валютного экономического союза?;Мастрихт;Вена;Генуя;Париж
38;Валюта без ограничений обменивается на любые иностранные валюты;Свободно конвертируемая;Замкнутая;Неконвертируемая;Частично конвертируемая
39;В чем в основном заключается международный банковский кредит;В виде валюты (денег);В виде валюты (денег) и товара;В виде товара;В виде золота
40;Какая ситуация возникает в результате падения курса доллара на валютных рынках;экспорт США становится дешевле для иностранных граждан;Товары, импортируемые в США, становятся дешевле для американских граждан;доллар на зарубежных рынках будет иметь высокую покупательную способность;экспорт США становится дороже для иностранных граждан
41;Определите строку, в которой полностью перечислены инструменты политики девиза;валютные интервенции, девальвация, ревальвация и диверсификация валютных резервов;девальвация, ревальвация, диверсификация процентных ставок и валютных резервов;валютные интервенции, девальвация и процентная ставка;процентная ставка, валютные интервенции, ревальвация и диверсификация валютных резервов
42;СДР - это …;Международный валютный фонд используется в качестве платежных единиц и при осуществлении международных безналичных расчетов путем записи на специальных счетах.;Валютная единица  Европейского союза;Основная форма кредитования Международным валютным фондом;Международный валютный фонд используется в качестве платежных единиц и при осуществлении международных расчетов наличными деньгами путем записи на специальных счетах
43;Какой системный продукт является специальным долговым правом СДР?;Ямайская валютная система;Европейская валютная система;Бреттон-Вудская валютная система;Генуэзская валютная система
44;С каких пор поступило в обращение специальное долговое право СДР?;с 1969 года;с 1968 года;с 1944 года;с1970 года
45;Реформа международной финансовой системы –;устранение структурных проблем сопровождается, в частности, решением вопроса обеспечения устойчивости финансовой системы;осуществляется борьба с финансовым кризисом ;осуществляется через координацию деятельности транснациональных корпораций;это достигается за счет увеличения объема кредитов, предоставляемых международными финансовыми учреждениями
46;Операционная лизинг -;предприятия заключают договор на использование оборудования, не приобретая права собственности на него;фирма, арендующая оборудование, затем покупает его полностью по остаточной стоимости.;предприятия, получив право собственности на оборудование, заключают договор на его использование.;фирма, арендующая оборудование, затем покупает его полностью по первоначальной стоимости.
47;Под финансовой арендой называется;фирма, арендующая оборудование, затем покупает его полностью по остаточной стоимости.;предприятия, получившие право собственности на оборудование, называются в договоре его использования.;фирма, арендующая оборудование, затем покупает его полностью по первоначальной стоимости.;в договоре говорится, что предприятия должны использовать оборудование, не приобретая права собственности на него.
48;На какой счет в первую очередь зачисляется валюта от продажи продукции?;На транзитный счет;На забалансовый счет;На счет;На основной валютный счет
49;Что такое ставка Libor?;Лондонская межбанковская ставка;Процентная ставка, установленная на Лондонской валютной бирже;Процентная ставка Центрального банка Лондона;Фиксированная процентная ставка по вкладам в лондонских банках
50;Система, являющаяся промежуточным элементом национальной и мировой валютных систем и служащая для интеграции территориальной группы стран, называется...;Территориальная валютная система;Переферильная валютная система;Национальная валютная система;Мировая валютная система
51;В каком году был введен евро, валюта Европейского валютного союза?;в 1999 году;в 2000 году;в 2002 году;в 1989 году
52;Какие виды гарантий широко используются в экспортно-импортных операциях;Опосредованная гарантия;Подтвержденная гарантия;Правильные гарантии;Государственные гарантии
53;Обесценивание национальной валюты по отношению к иностранным валютам или международным расчетным единицам…;девальвация;ревальвация;Валютный арбитраж;Валютный диллинг
54;Валюта платежа -;валюта, в которой должны быть урегулированы обязательства импортера (или заемщика).;валюта, в которой выражается цена товара.;валюта развитых стран.;валюта, в которой должны быть урегулированы обязательства экспортера (или заемщика).
55;Операция по обмену валюты в течение двух рабочих дней, исключая день операции, считается…;опирация спот;опирация своп;опирация форвард;Срочные валютные операции
56;Какие бывают валютные позиции?;Октрытый и закрытый;Закрытые, длинные и короткие;Активные и пассивные;Долгосрочные и краткосрочные
57;Найдите ответ, в котором перечислены типы вариантов?;call-опцион, put-опцион;Привелигерованный опцион;Спред опцион;Опцион продаж
58;Что такое спред?;Разница в котировках покупателя — это рассчитанная разница между ценой продавца и ценой продавца.;Конверсия ;Прибыль ;Дивиденд
59;Как называются операции по торговле валютой в коммерческих банках и на биржах?;Валютный диллинг;Конверсия ;Инфляция ;Нулификация 
60;Мировая финансовая архитектура -;институциональная структура международной финансовой системы, определяющая функциональные отношения и образующая ее структурные элементы;это лишь понятие, представляющее финансовые отношения внутри народного хозяйства;это понятие, которое представляет собой внутренние финансовые отношения на предприятиях;понятие, представляющее финансовые отношения между коммерческими банками и населением
61;Что такое дефляционная политика?;Эта политика направлена ​​на сокращение внутреннего спроса, замораживание расходов бюджета, цен и заработной платы, направленных в первую очередь на граждан.;В платежном балансе это означает, что поступления превышают платежи.;Означает сумму мероприятий, направленных на покрытие дефицита платежного баланса.;В платежном балансе это означает, что платежи превышают поступления
62;Что отражается в текущем балансе счета?;Торговый баланс, баланс услуг, односторонние переводы;Торговый баланс, баланс услуг, односторонние трансферты, чистые иностранные инвестиции;Баланс услуг, односторонние переводы, чистые кредиты, полученные из-за границы;Баланс услуг, неодносторонние переводы, чистые кредиты, полученные из-за границы
63;Определить полный спектр инструментов валютной политики?;валютные интервенции, девальвация, переоценка и диверсификация валютных резервов;девальвация, переоценка, процентная ставка и диверсификация валютных резервов;валютная интервенция, девальвация и процентная ставка;процентная ставка, валютная интервенция, переоценка и диверсификация валютных резервов
64;Как сохранение реального обменного курса на высоком уровне влияет на экономический рост?;Замедлица ;Не повлияет;Ускорит ;Остановится 
65;Стимулирующая денежно-кредитная политика в условиях открытой экономики с плавающим обменным курсом:;приводит к уменьшению дохода;не приводит к уменьшению дохода;в зависимости от уровня мобильности капитала может привести к увеличению или снижению уровня доходов;может привести к снижению доходов независимо от уровня мобильности капитала
66;Что из следующего относится к конвертации валюты государством по любому рыночному курсу?;Система плавающего курса;Система ползучего курса;Система не плавающего курса;Система фиксированного курса
67;Кто разрабатывает платёжный баланс в Узбекистане?;Центральный Банк Рузб;Правительство Рузб;Министерство экономики и финансов;МВФ
68;Найдите ответ, соответствующий определению: Какова цена валютного курса, выраженная в единицах национальной валюты?;Валютный курс;Крузейро;Реал;Евродоллар
69;Валютная система – это форма организации валютных отношений, регулируемая:;Национальным законодательством ;Банковскими традициями и обычаями;Только Международным валютным фондом;нет верного ответа
70;Маркетмейкеры –;это финансовые организации, которые регулярно котируют курсы покупки и продажи различных валют и заключают по ним контракты.;финансовые организации, занимающиеся торговлей валютой;финансовые организации, устанавливающие процентные ставки по валютам;валютная инфляция
71;Что такое форвардный курс?;Быстрый обменный курс;Не быстрый обменный курс;Инфляционный курс;Кредитный курс
72;Известно, что снижение обменного курса приводит к увеличению цены импорта. Как это повлияет на национальную экономику?;увеличивает спрос на товары и услуги, производимые в национальной экономике;снижает спрос на товары и услуги, производимые в национальной экономике;будет стимулировать увеличение импорта;не оказывает существенного влияния
73;Каков платежный баланс?;Отношение фактических платежей страны в иностранной валюте к ее поступлениям из других стран;Соотношение требований и обязательств страны перед зарубежными странами;Только соотношение платежей и поступлений, связанных с международным кредитом, фактически произведенным;Соотношение между ценой золотовалютных резервов и ценой золотовалютных резервов
74;Найдите тип рынка, который является частью международного и национального финансового рынка, на котором кредитные и долговые операции осуществляются в евро?;рынок евро;рынок рублей;рынок юаня;рынок сума
75;Что представляет собой выпуск ценных бумаг на основании данного кредитного обеспечения?;секьюритизация кредита;несекьюритизация кредита;секьюритизация валюты;секьюритизация займа
76;Является ли в международной практике стандартным видом лизинга, когда компания, сдающая оборудование в лизинг, в дальнейшем выкупает его полностью по остаточной стоимости?;Финансовый лизинг;нефинансовый лизинг;Долговой лизинг;Форфейтинговый  лизинг
77;Показать наиболее невыгодный аспект аккредитива для импортера;Оплата производится заранее, возможности проверить качество товара мало;Нет недостатка;Документы бенефициара приходят с опозданием;Банк действует от собственного имени
78;Укажите недостаток, характерный для документированного аккредитива;Размер комиссии высок;Сложно контролировать качество товара;Оплата не гарантирована;Оплата гарантирована
79;Какой банк отвечает за своевременную оплату по документарному инкассо?;Ни один банк не несет ответственности;Один банк несет ответственности;Два банка не несут ответственности;Пять банков не несут ответственности
80;Количественные методы регулирования внешней торговли;технические барьеры, санитарные нормы, внутренние налоги, госзакупки местных товаров;тарифная квота, ввозная пошлина;субсидия, демпинг, кредитование;квота, лицензирование, КЭЧ
81;Что такое концессионные соглашения?;это договоры, заключенные на добычу и использование природных ресурсов и некоторых полезных ископаемых.;контракты, направленные на финансирование инвестиционных проектов;договоры на осуществление лизинговых операций;договоры купли-продажи валютных активов
82;Демпинг –;Это финансовый метод торговой политики, который заключается в экспорте товаров на внешний рынок по ценам ниже обычных цен, существующих в стране.;является производной формой любого финансового рычага.;Учетная ставка — процентная ставка по кредитам, выдаваемым Центральным банком коммерческим банкам путем пересчета находящихся в их распоряжении векселей.;относится к политике государственных органов по влиянию на курс национальной валюты путем продажи или покупки иностранной валюты.
83;Активный платежный баланс -;в платежном балансе сумма доходов превышает сумму платежей.;в платежном балансе сумма платежей превышает сумму поступлений.;в платежном балансе сумма поступлений равна сумме платежей.;сумма экспортной выручки не учитывается в торговом балансе.
84;Каковы принципы международного кредита?;возвратность, зрелость, платежеспособность, материальная обеспеченность, целеустремленность;зрелость, платежеспособность, материальная обеспеченность, целеустремленность;возвратность, своевременность, материальное обеспечение, целеустремленность;возвратность, срок погашения, платежеспособность, материальное обеспечение
85;Сколько функций выполняет международный кредит?;3;2;4;5
86;Пассивный платежный баланс -;сумма поступлений равна сумме платежей.;сумма импортной выручки не учитывается в торговом балансе;сумма выплат равна сумме поступлений.;Все ответы верны
87;Спекулянты –;участники, которые намерены получить прибыль от разницы курсов финансовых инструментов.;участники, которые намерены получить прибыль от разницы курсов финансовых инструментов.;операции, по которым валюта поступает в течение двух рабочих дней после заключения валютной сделки.;компании, основная компания которых принадлежит столице одной страны, а филиалы разбросаны по всему миру.
88;Когда Узбекистан стал членом Азиатского банка развития (АБР)?;1995 г.;1993 г.;1994 г.;1992 г.
89;Когда Узбекистан стал членом Европейского банка реконструкции и развития (ЕБРР)?;1992 г.;1993 г.;1994 г.;1991 г.
90;Внешнеэкономическая деятельность означает -;Под совокупными практическими усилиями государственных органов, юридических и физических лиц Республики Узбекистан, направленными на установление взаимовыгодного сотрудничества и развитие такого сотрудничества с зарубежными странами, их юридическими и физическими лицами и международными организациями.;экономическое, общественно-политическое и культурное объединение стран на основе развития устойчивых отношений между национальными хозяйствами и разделения труда.;процесс регулирования взаимных финансовых отношений национальных экономик;процесс введения ограничений на отношения между странами, связанные с движением товаров, услуг и капитала
91;Показать основной правовой документ, регулирующий внешнеэкономическую деятельность Республики Узбекистан;Закон «О внешнеэкономической деятельности».;Закон «О валютном регулировании».;Закон «Об иностранных инвестициях».;"Закон ""О тарифах""."
92;Когда Республика Узбекистан стала членом Международного валютного фонда?;1992 г. 21 сентября;1984 г. 21 ноября;1989 г. 21 октября;1999 г. 25 декабря
93;Квота - это государственное ограничение экспорта - импорта...;количеством и суммой;Пошлинами;антимонопольным регулированием;налогами
94;Наибольшая степень интернационализации характерна для -;товарного производства;Торговли;сферы услуг;финансовой сферы.
95;Для современной мировой практики характерна тенденция:;к удлинению сроков международных кредитов;сохранению сроков международных кредитов на сложившемся уровне;непредсказуемых колебаний сроков международных кредитов.;сокращению сроков международных кредитов
96;Признаком наступления кризиса внешней задолженности обычно служит …;нарушение графика погашения кредитов и займов;превышение объема импорта над экспортом;девальвация национальной валюты;количество взятых кредитов
97;Спекулятивные операции на мировом финансовом рынке:;увеличивают его ликвидность и ценовую стабильность;уменьшают его ликвидность и ценовую стабильность;увеличивают его ликвидность и уменьшают ценовую стабильность;уменьшают его ликвидность и увеличивают ценовую стабильность.
98;В условиях финансовой глобализации взаимозависимость стран мира:;Растет, изменяется непредсказуемым образом.;снижается;остается неизменной;нарастет
99;В условиях финансовой глобализации устойчивость финансовых рынков развивающихся стран:;увеличивается;остается неизменной;уменьшается;изменяется непредсказуемым образом.
100;Первым ввел в употребление термин “глобализация” …;Т.Левит;В.Жириновский;Ф.Энгельс;К.Маркс
101;Последствиями финансовой глобализации для мирового финансового рынка являются:;диверсификация обращающихся на рынке инструментов;повышение роли биржевого рынка;увеличение числа участников;рост затрат на обслуживание корпоративной задолженности
102;В условиях финансовой глобализации конкуренция на внутренних рынках финансовых услуг:;изменяется непредсказуемым образом.;увеличивается;уменьшается;остается неизменной
103;В условиях экономической глобализации доля финансовых инвестиций в общем объеме мировых инвестиций:;снижается;Остается неизменным;изменяется непредсказуемым образом.;растет
104;К последствиям глобализации относятся все перечисленные, кроме…;сокращения наукоемкого производства;углубления международного разделения труда и специализации под воздействием международной конкуренции;увеличения производства на предприятиях ТНК;ускорения внедрения новых технологий 
105;Показателем степени экономической глобализации является:;доля глобальных телекоммуникаций в общем объеме мировых телекоммуникаций;все перечисленное.;доля англоязычных материалов в общем объеме печатной продукции;доля международной торговли в мировом ВВП
106;В условиях современной финансовой глобализации наибольшими темпами растут обороты:;рынка производных финансовых инструментов.;кредитного рынка;рынка акций;рынка облигаций
107;В условиях экономической глобализации доля прямых иностранных инвестиций в общем объеме мировых инвестиций:;растет;снижается;изменяется непредсказуемым образом.;Остается неизменным
108;Валютный своп-это;комбинация двух противоположных конверсионных сделок на одинаковую сумму с разными датами валютирования;комбинация  более двух противоположных конверсионных сделок на одинаковую сумму с разными датами валютирования;комбинация двух противоположных конверсионных сделок на разную  сумму с одинаковыми  датами валютирования;комбинация двух противоположных конверсионных сделок на разную  сумму с разными датами валютирования
109;Датой валютирования применительно к споту называют;дата исполнения более близкой сделки;дата исполнения более удаленной по сроку обратной сделки;датой окончания свопа;датой начала  более удаленной по сроку обратной сделки
110;Увеличение кредитного рейтинга страны ведет: ;снижению процентных ставок по кредитам, предоставляемым резидентам данной страны;сохранению процентных ставок по кредитам, предоставляемым резидентам данной страны;непредсказуемым изменениям процентных ставок по кредитам, предоставляемым резидентам данной страны.;к росту процентных ставок по кредитам, предоставляемым резидентам данной страны
111;1 долл. = 30 сум. Это:;косвенная котировка сума и доллара;прямая котировка сума и доллара;прямая котировка сума и косвенная доллара;прямая котировка доллара и косвенная сума.
112;Валютный курс выражает:;пропорцию обмена данной валюты на другие;полезность валюты;покупательную способность валюты;некоторую социальную условность.
113;Аббревиатурой ОТС обозначается:;текущий валютный рынок.;срочный валютный рынок;биржевой валютный рынок;внебиржевой валютный рынок
114;Для прогнозирования валютных курсов в долгосрочной перспективе эффективнее:;все три метода равно эффективны.;графический анализ;анализ трендов;фундаментальный анализ
115;Валютный риск, возникающий на международном валютном рынке, определяется;вероятностью неблагоприятного изменения валютных курсов.;вероятностью неблагоприятного изменения валютных рисков.;финансового рейтинга данного финансового института ;Нет правильного ответа
116;Наибольшим уровнем риска характеризуются операции сле¬дующей категории участников международного финансового рынка:;спекулянты-трейдеры;арбитражеры;посредники;хеджеры.
117;Для оценки финансовых рисков международного финансового рынка исключительно важен такой показатель, как ;как ожидаемый возврат инвестированного капитала ;как ожидаемый доход инвестированного капитала ;как ожидаемый приход инвестированного капитала ;Нет правильного ответа
118;Какое из нижеперечисленных понятий означает физическое или юридическое лицо, уплачивающее денежные (страховые) взносы и имеющее право по закону или на основе договора получить денежную сумму  при наступлении страхового случая?; Страхователь;Застрахованный;Страховой случай;Страховщик
119;При усилении инфляционных ожиданий в Узбекистане  курс нац. валюты к ведущим мировым валютам:;возрастет;уменьшится;не изменится;изменится непредсказуемым образом.
120;Какая из нижеперечисленных категорий представляет собой страховую премию, которую страхователь сразу уплачивает страховщику за весь период страхования вперед?; Годичный взнос;Текущий взнос;Единовременный взнос;Натуральная премия
121;Какая из нижеперечисленных экономических категорий представляет собой совокупность особых замкнутых перераспределительных отношений между его участниками по поводу формирования за счет денежных взносов целевого страхового фонда, предназначенного для возмещения возможного ущерба, нанесенного субъектам хозяйствования, или выравнивания потерь в семейных доходах в связи с последствиями происшедших страховых случаев?; Страхование;Финансы;Налоги;Бюджет
122;Наибольшим уровнем риска характеризуются операции сле¬дующей категории участников международного финансового рынка:;больше, чем у опосредованных;меньше, чем у опосредованных;такие же, как у опосредованных;непредсказуемым образом отличаются от затрат опосредо¬ванных.
123;При оценке финансовых рисков по группам, возникающим в конкретном секторе международного финансового рынка, одно из первых мест по степени рискованности занимают?;риски на между¬народном валютном рынке.;риски на между¬народном валютном фонде.;риски на между¬народном валовым рынке.;риски на между-народном внутренем рынке.
124;В каком виде определяется долгосрочное финансирование международной компании?;от инвесторов (через покупку ими акций и облигаций), от кредиторов (в форме банковского кредита или размещения долгосрочных ценных бумаг — облигаций;от лизингадателов (в форме банковского лизинга или размещения долгосрочных ценных бумаг — облигаций).;обеспечивает органическую связь между страховщиком и страхователем;нету правильного ответа
125;К основным критериям ООН, по которым предприятию присваивается статус ТНК (транснациональная корпорация), относится то, что …;годовой оборот должен быть не менее 1 млрд. долл. США ;филиалы должны располагаться не менее чем в трех странах мира;годовой оборот должен быть не менее 10 млрд. долл. США;наличие внешнеэкономических связей должно быть не менее чем с двумя странами мира
126;К способам регулирования деятельности ТНК (транснациональная корпорация) не относятся… ;регулирование мер миграционной политики в стране;разработка законов об иностранных инвестициях;общие правила инвестирования, разработанные комиссией ООН;регулирование мер антиинфляционной политики в стране
127;К характерным чертам ТНК (транснациональная корпорация) не относятся ... ;рассредоточение производства;управление инвестиционными потоками в условиях эффективного планирования и прогнозирования ;вынесение сбытовой деятельности за пределы страны базирования головной компании;преобладание внефирменных каналов перемещения рабочей силы, капитала, информации
128;Причинами расширения масштабов функционирования ТНК (транснациональная корпорация) на международных рынках не являются…;отсутствие налоговых льгот ;использование сравнительных преимуществ страны базирования;наличие высокого уровня занятости;наличие конкурентных преимуществ у своих компаний
129;Внутрифирменное краткосрочное финансирование представляет собой взаимно-предоставление займов различным подразделениям компании, а также предоставление кредитов материнской фирмой своим дочерним компаниям и наоборот. Такие займы предоставляются в виде:;все ответы верны;параллельного внутрифирменного кредита;компенсационного внутрифирменного кредита;прямого международного фирменного кредита
130;Основными организационными формами зарубежных филиалов ТНК являются … ;дочерние компании ;дипломатические представительства;ассоциированные компании;представительства по продаже товаров
131;В каком виде определяется долгосрочное финансирование международной компании?;от инвесторов (через покупку ими акций и облигаций), от кредиторов (в форме банковского кредита или размещения долгосрочных ценных бумаг — облигаций);от лизингов в форме банковского лизинга или размещения долгосрочных ценных бумаг — облигаций);непредсказуемым образом отличаются от рисков по многосторонним кредитам;нету правильного ответа
132;Основу господства ТНК (транснациональная корпорация) на мировом рынке составляют …;заемный капитал;портфельные инвестиции;ссудный капитал;прямые инвестиции
133;Для получения сверхприбыли ТНК (транснациональная корпорация) чаще всего используют...;международное разделение труда;специфику национальных внутренних рынков;абсолютные преимущества стран;диверсификацию производственных мощностей и сервисных центров в различных регионах мира 
134;Какие из перечисленных мер способствуют ограничению международного движения спекулятивного капитала:;расширение состава обязательной отчетности банков в части международных финансовых операций;введение налога на валютообменные операции;завышение национальных процентных ставок;все вышеперечисленное.
135;Политическая ситуация в стране способствует:;ослаблению интеграции национального финансового рынка в мировой;усилению интеграции национального финансового рынка в мировой;сохранению степени интеграции национального финансового рынка в мировой на неизменном уровне;непредсказуемым изменениям степени интеграции нацио-нального финансового рынка в мировой.
136;Укажите основное определение СЭЗ (свободная экономическая зона) .;зоны, концентрирующие банковское и страховое обслуживание на льготных условиях и зоны многофункционального характера, сочетающие различные направления деятельности;зоны, предусматривающие специальную юрисдикцию регистрации и функционирования иностранных компаний на льготных налоговых условиях, но запрещающие им какую-либо производственную деятельность;территориальная зона, где сочетается исследовательская и производственно-техническая деятельность вокруг крупных университетов или научных центров;зоны, где сосредоточены наиболее развитые наукоемкие отрасли
137;Интеграции национального финансового рынка в мировой способствует:;либерализация законодательства о движении капитала;повышение налоговых ставок в стране;стабилизация политического положения в стране;переход к экспансионистской денежно-кредитной политике
138;Соглашение об образовании SDR впервые было принято? ;Октябрь 1969 года.;Ноябрь 1969 года;Ноябрь 1965 года;Ноябрь 1967 года
139;Какие формы зарубежного инвестирования выделяют в мировой практике? ;среднесрочные и долгосрочные международные кредиты и займы ссудного капитала промышленным и торговым корпорациям, банкам и другим финансовым учреждениям.;среднесрочные и долгосрочные международные кредиты;конвертные, или финансовые, инвестиции;косвенные, или реальные, инвестиции
