Savol;Javob1;Javob2;Javob3;Javob4
Hisobot davrida foydalaniladigan, lekin yopiladigan Moliyaviy natijalar to‘g‘risidagi hisobotda aks ettiriladigan hisobot davri oxiriga qoldiqqa ega bo‘lmaydigan daromadlar va xarajatlarning vaqtinchalik schyotlari - bu...?.;tranzit schyotlardir;doimiy schyotlardir ;balansdan tashqari schyotlardir ;kontr passiv schyotlardir
Boshlang‘ich hisob xujjatlarga qachon yozuvlar qilinadi?.;operatsiyalar amalga oshirilayotganda yoki amalga oshirilgandan so‘ng ;operatsiyalar amalga oshirilgandan so‘ng ;operatsiyalar amalga oshirilayotganda;operatsiyalar amalga oshirishdan avval yoki amalga oshirilgandan so‘ng
Buxgalteriya hisobi registrining nechta majburiy rekvizitlari mavjud?. ;5 ;7;8;6
Buxgalteriya hisobi registrlariga tasdiqlanmagan tuzatishlar kiritiladimi? ;yo‘l qo‘yilmaydi ;rahbar qaroriga bog‘liq ;hisob siyosatiga bog‘liq ;tuzatilishi mumkin
Korxona kassasidagi pul mablag‘larining naqdligi va xarakati to‘g‘risidagi axborotlarni umumlashtirish uchun nechta schyotlarda amalga oshiriladi?. ;2 ;4 ;6 ;8 
Kassa operatsiyalari uchun qaysi jurnal-order shakli qo‘llaniladi?;1-Jurnal-order ;2-jurnal -order ;3-Jurnal-order ;4-Jurnal-order
Ish haqining qanday turlari mavjud?;asosiy ish haqi va qo‘shimcha ish haqi;qo‘shimcha ish haqi va ishbay ish haqi;vaqtbay ish haqi va asosiy ish haqi ;asosiy ish haqi va ishbay ish haqi
Ish haqining qanday shakllarini bilasiz?;vaqtbay ish haqi va ishbay ish haqi;asosiy ish haqi va ishbay ish haqi ;ish haqi va ishbay ish haqi ;asosiy ish haqi va ishbay ish haqi
Tovar-moddiy zaxiralar buxgalteriya balansining qaysi bo‘limida aks etiriladi?;Joriy aktivlar;Uzoq muddatli aktivlar;Kapital ;Majburiyatlar
Tovar-moddiy zaxiralar kirimga olinganda qanday usulda baholanadi?;Donalab baholash, FIFO va o‘rtacha qiymat usulida;Donalab baholash, LIFO va o‘rtacha qiymat usulida;Donalab baholash, AVEKO va o‘rtacha qiymat usulida ;Donalab baholash, NIFO va o‘rtacha qiymat usulida
Asosiy vositalarning guruhlarga bo‘lishning tasnif belgilarini aniqlang?;bajaradigan vazifasi, ob'ektlardan foydalanish darajasi va natural-moddiy tarkibiga ko‘ra;ob'ektlardan foydalanish darajasi va natural-moddiy tarkibiga ko‘ra;xizmat muddati va natural-moddiy tarkibiga ko‘ra ;bajaradigan vazifasi, xizmat muddatiga ko‘ra
Moddiy xarajatlar nechta elementdan iborat bo‘ladi?;5;4;6 ;7
Xo‘jalik operatsiyalari ta'sirida buxgalteriya balansida necha hil o‘zgarish sodir bo‘ladi?;4;5;6 ;7
Xodimlarga ish haqqi berilsa bu balansdagi qaysi o‘zgarishga tegishli bo‘ladi?;4 o‘zgarish;3 o‘zgarish;1 o‘zgarish ;2 o‘zgarish
Hisob-kitob schyotidan ish haqi uchun naqd pul olib kelindi, provodkasini aniqlang?;Дт 5010 Кт 5110;Дт 6710 Кт 5010;Дт 5110 Кт 6710 ;Дт 5110 Кт 5010
Ustav kapitalini hisobga oluvchi schyotni aniqlang?;8300 ;8400;8500 ;8600
Moliyaviy hisobotning amaliyotda nechta shaklidan foydalaniladi? ;4 ;2;3 ;5
Mol yetkazib beruvchilarga pul mablag‘lari o‘tkazib berilganda 6010 schyotning qaysi tomoniga yozuv qilinadi? ;debet ;keredit ;boshlang‘ich sal'do ;oxirgi sal'do
Majburiyatlar balansda necha turga bo‘linadi? ;2;3 ;4 ;5
Asosiy vositalarga amortizasiya hisoblashning necha hil usullari mavjud?;4. ;5. ;3. ;6.
Pul oqimlari haqidagi hisobot moliyaviy hisobotlarning nechanchi shakli hisoblanadi?;4-shakl ;5-shakl;2-shakl ;1-shakl
Xususiy kapital to‘g‘risidagi hisobot hisobot moliyaviy hisobotlarning nechanchi shakli hisoblanadi?.;5-shakl ;4-shakl;2-shakl ;1-shakl
Аvtomashinaga 150000 so'mlik amortizatsiya hisoblangan. Buxgalteriya provodkasini aniqlang?;Debet 9420 Kredit 0260;Debet 9420 Kredit 0220;Debet 9410 Kredit 0230;Debet 9430 Kredit 0250
«Oddiy aktsiyalar» buxgaltеriya hisobida qaysi hisob-varag’ida hisobga olinadi? ;8310 ;8320 ;8410;8510
4-BHMSga muvofiq buxgalteriya balansining “Tovar- moddiy zaxiralari” satrida qaysi schotlar birlashtirilgan? ;1000, 1100, 1500, 1600, 2000, 2100, 2300, 2500, 2600, 2700, 2800, 2900 ;2600, 2700, 2800, 2900 ;1000, 1100, 1500, 1600, 2800, 2900;1000, 2000, 2100, 2800, 2900
Asosiy ishlab chiqarishda band bo’lgan ishchilarga ish haqi hisoblandi. Ushbu muomala qanday provodka bilan aks ettiriladi?;Debet 2010 Kredit 6710;Debet 2010 Kredit 6810 ;Debet 2010 Kredit 6910;Debet 2010 Kredit 6510
Asosiy ishlab chiqarishda band ishchilar mehnat haqiga nisbatan yagona ijtimoiy to‘lov hisoblandi. Ushbu muomalaga qanday provodka beriladi? ;Debet 2010 Kredit 6520;Debet 2310 Kredit 6520 ;Debet 6520 Kredit 2010;Debet 2510 Kredit 6520
Asosiy ishlab chiqarishda ortib qolgan benzin omborga qaytarilsa qanday provodka beriladi? ;Debet 1030 Kredit 2010 ;Debet 2010 Kredit 1030;Debet 2010 Kredit 2310 ;Debet 1010 Kredit 2510
Asosiy ishlab chiqarishdagi stanoklarga eskirish hisoblandi. Ushbu muomalaga qanday provodka beriladi?;Debet 2010 Kredit 0230 ;Debet 0230 Kredit 2010;Debet 0130 Kredit 2510 ;Debet 0230 Kredit 2810
Asosiy ishlab chiqarishga benzin sarflandi, qanday provodka beriladi? ;Debet 2010 Kredit 1030;Debet 2310 Kredit 1030;Debet 1030 Kredit 2030 ;Debet 2810 Kredit 1030
Asosiy ishlab chiqarishga materiallar sarf qilindi. Ushbu muomalaga qanday provodka beriladi?;Debet 2010 Kredit 1010;Debet 2310 Kredit 1010;Debet 2510 Kredit 1010;Debet 2910 Kredit 1010
Asosiy ishlab chiqarishga yarim tayyor mahsulot berildi, ushbu muomalaga qanday provodka beriladi?;Debet 2010 Kredit 1020 ;Debet 2310 Kredit 1020 ;Debet 2510 Kredit 1020 ;Debet 2610 Kredit 1020
Asosiy vosita operativ ijaraga olganda qanday provodka beriladi?;Kirim 001 ;Kirim 010 ;Debet 0120 Kredit 6010 ;Debet 0820 Kredit 6010
Asosiy vositalar 5-BHMSga asosan qaysi baholarda baholanadi? ;dastlabki baho, tugatish qiymati va qoldiq qiymat;faqat sotish bahosi va tiklash qiymati;faqat tugatish qiymati ;qoldiq diymati
Asosiy vositalar amortizatsiyasi sintetik hisobi qaysi schyotda aks ettiriladi? ;0210-0299 ;0810-0819 ;0110-0199 ;0310-0399
Asosiy vositalar ishlab chiqarishga qatnashishi nuqtai nazaridan qanday turlarga bo’linadi? ;ishlab chiqarishga taalluqli asosiy vositalari va noishlab chiqarishga taalluqli asosiy vositalar ;ishlab chiqarishga taalluqli asosiy vositalari va nomoddiy aktivlar ;noishlab chiqarishga taalluqli asosiy vositalar ;ishlab chiqarishga taalluqli asosiy vositalar
Asosiy vositalar korxona o’z hisobidan qurilganda yoki sotib olinganda qaysi schyotlarda aks ettiriladi? ;Debet 0810-0820 Kredit 5110 ;Debet 0100, Kredit 9110;Debet 0110-0190 Kredit 0810-0820;Debet 0200, Kredit 9110
Asosiy vositalar moliyaviy ijaraga berilganda amartizatsiyani qaysi tomon hisobga oladi?;Ijaraga oluvchi ;Ijaraga beruvchi ;Asosiy vositani sotuvchi ;bank muassasasida
Brak mahsulotni tuzatishga ketgan xarajatlar mahsulot tannarxiga o‘tkazildi, qanday provodka beriladi? ;Debet 2010 Kredit 2610 ;Debet 2310 Kredit 2610 ;Debet 2510 Kredit 2610 ;Debet 2810 Kredit 2610
Auditorlik xizmatlariga haq to‘lash qaysi xarajat turiga kiritiladi? ;boshqa operasion xarajatlar;ishlab chiqarish x'arajatlari ;boshqaruv xarajatlari ;moliyaviy xarajatlar
Asosiy vositalarning dastabki qiymatini o’zgartirish nimaga asoslanadi?;hukumat qarori bilan;bosh buxgalter ko’rsatmasiga asosan ;tabiy eskirish va ma’naviy eskirishdir ;firma rahbari hohishi bilan
Bayram kuni ishlaydigan sub’eklarga qanday ish haqi to’lanadi?;ish vaqtiga qaraganda 2 barobardan kam bo’lmagan ;ish vaqtiga qaraganda 1 barobardan kam bo’lmagan;ish vaqtiga qaraganda 1,2 barobardan kam bo’lmagan ;ish vaqtiga qaraganda 1,5 barobardan kam bo’lmagan
Buxgalterga oylik hisoblandi. Provodkada aka ettiring?;Debet 9420 Kredit 6710 ;Debet 9430 Kredit 6710;Debet 6710 Kredit 9420 ;Debet 6710 Kredit 5010
Buxgalteriya balansining aktivida xozirgi paytda asosiy vositalarga tegishli bo’lgan ma'lumot keltiriladi bular qaysilar? ;asosiy vositalarning balans qiymati, ularning shu sanaga bo’lgan eskirish summasi va qoldiq qiymati ;asosiy vositalarning balans qiymati, ularning shu sanaga bo’lgan eskirish summasi va qoldiq qiymati ;asosiy vositalarning balans qiymati, umumiy summasi ;saldosi haqida
Chakana savdoda sotilgan tovar tannarxi hisobdan chiqarildi. Provodkada aks ettiring?;Debet 9120 Kredit 2920;Debet 9220 Kredit 2920 ;Debet 9420 Kredit 2920;Debet 9520 Kredit 2920
Chet el valyutasini Markaziy bank kursi bo’yicha valyuta schyotidan o’tkazilishi qanday aks ettiriladi?;Debet 5500 Kredit 5200 ;Debet 5600 Kredit 5200;Debet 5800 Kredit 5200;Debet 5900 Kredit 5200
Chet el valyutasini MB kursidan yuqori bahoda sotilganda sotilgan chet el valyutasinining  so’mdagi ekvivalentini kirim qilinishi qanday aks ettiriladi?;Debet 5100 Kredit 5500, 9540;Debet 5100, Kredit 5500, 9620 ;Debet 5100, 9620 Kredit 5500 ;Debet 4010 Kredit 6230
Davr хarajatlari tarkibini aniqlang? ;tijоrat, umumхo’jalik va bоshqaruv хarajatlardan ;hisоbоt davrida buхgaltеriya hisоbining schеtlarida yig’ilgan ishlab chiqarish хarajatlaridan ;umumtsех хarajatlaridan ;ustama хarajatlari
Debet 8610 Kredit 5110 provodkasining ma’nosi nima?;Hisob kitob schyotidan pul o‘tkazish orqali xususiy oddiy aksiyalar sotib olingan ;Aksiyalarni sotishdan tushgan daromad ;Hisob kitob schyotidan pul o‘tkazish orqali xususiy imtiyozli aksiyalar sotib olingan ;Hisob kitob schyotidan pul o‘tkazish orqali xususiy aksiyalar sotib olingan
Chet el valyutasini MB kursidan past bahoda sotilganda sotilgan chet el valyutasining so’mdagi ekvivflentini hisob-kitob schyotiga kirim qilinishi? ;Debet 5100 Kredit 5500, 9620 ;Debet 5100 Kredit 5200, 9640 ;Debet 5100 Kredit 5500, 9900 ;Debet 5100 Kredit 5500, 9640
Firmaning taqsimlanmagan foydasi hisobot davri oxirida qaysi schyotga o’tkaziladi? ;Debet 9910 Kredit 8710 ;Debet 4010 Kredit 5110;Debet 5110 Kredit 4110 ;Debet 8710 Kredit 9910
Hisobot davri oxirida sotilgan mahsulotning haqiqiy tannarxi yakuniy moliyaviy natijaga o`tkazilishi qanday aks ettiriladi?;Debet 9910 Kredit 9110 ;Debet 9110 Kredit 9910 ;Debet 9910Kredit 9120 ;Debet 9910 Kredit 9010
Ko’rgazmadan оmbоrga tayyor mahsulоtlarning kirim qilinishi qanday aks ettiriladi?;Debet 2810  Kredit 2820 ;Debet 2810  Kredit 2010 ;Debet 2810 Kredit 2610 ;Debet 2810 Kredit 2310
Konsignatsiyaga berilgan tovarlar nima? ;tovarni vaqtinchalik boshqa omborda saqlashimiz ;sifatsiz mahsulotni qayta ishlashga berishimiz ;sotilmay qolgan tovarni ehtiyot qismlariga ajratish ;texnik tekshiruvga berilgan tovarlar
MCHJ ustav kapitaliga ilgari kiritilgan ta’sis ulushining qaytarilishidan olingan tovarlar kirim qilindi. Provodkani aniqlang?;Debet 2910, Kredit 4890;Debet 2910, Kredit 6610;Debet 2910, Kredit 4610;Debet 4610, Kredit 2910
Pul mablag‘lar xarakati to‘g‘risidagi hisobotning tarkibiy qismini aniqlang? ;Operasion, investision va moliyaviy;moliyaviy va operasion;investision va moliyaviy;operasion va moliyaviy
Sof foydani shakllantirishda "Daromad (foyda) solig‘i to‘langunga qadar umumiy moliyaviy natija (foyda yoki zarar)" nechanchi bosqichda aniqlanadi? ;4;5 ;3 ;2
Buxgalteriya hisobi milliy standartlarini ishlab chiqish va tasdiqlash qaysi organ zimmasiga yuklatilgan? ;O‘zR Moliya vazirligi;O‘zR Oliy majlisi onunchilik palatasi;O‘zR Vazirlar Mahkamasi;O‘zbekiston buxgalterlar va auditorlar milliy assotsiatsiyasi
2022-yil 1-yanvardan boshlab lombardlar uchun aylanmadan olinadigan soliqning stavkasi necha foiz miqdorida belgilandi?;25 foiz miqdorida;5 foiz miqdorida ;13 foiz miqdorida ;8 foiz miqdorida
Buxgalteriya hujjatlari maqsadli tayinlanishiga qarab qanday tasniflanadi?;faqat buxgalteriya rasmiylashtiruvchi;to’lov talabnoma va to’lov topshirig’i ;farmoyish, isbotlovchi, rasmiylashtiruvchi va aralash ;farmoyish va isbotlovchi
Doimiy farq – bu.... ;Soliqqa tortiluvchi bazaga qaytadan qo’shiladi ;Hisobot oyida soliqqa tortiladigan bazaga qo’shiladi, kelgusi yillarda esa bazadan chegiriladi ;Hisobot oyi foydasini hisoblashda hisobga olinmaydi ;Davr harajatlarida hisobga olinadi
Doimiy inventarizatsiya komissiyasi tarkibiga kimilar kiradi?;korxona rahbari yoki uning yordamchisi, ishchi;korxona ish boshqaruvchisi va bosh buxgalter ;korxona rahbari yoki uning yordamchisi, bosh buxgalter;faqat korxona rahbari
Hisob siyosati nima? ;bu buxgalteriya hisobini yuritish va moliyaviy hisobot tuzish uchun xo’jalik yurituvchi sub’ekt qo’llaydigan usullarning jamlanmasi;bu buxgalter hisobotda ko’rsatadigan ma’lumotlar jamlanmasi;bu buxgalteriyada sodir bo’ladigan operatsiyalar yig’indisi;bu operativ hisob ma'lumotlai bazasi
Hisobning jurnal-order shaklida tayyor mahsulotning analitik hisobi nechanchi qaydnomada yuritiladi? ;16-qaydnomada ;17-qaydnomada ;18-qaydnomada ;19-qaydnomada
Idish va idish materiallari nima?;Turli materiallar va mahsulotlarni o’rash, tashish, saqlash uchun;Xo’jalik ehtiyojlari ucuun ishlatiladigan buyumlar;Xo’jalik ehtiyojlari, texnologik maqsadlar, ishlab chiqarish jarayoniga ;Texnologik maqsadlar uchun zarur bo'lgan material
Investitsiya - bu . . .;ma`lum davr davomida iqtisodiy foyda ko’rish maqsadida boshqa sub'ektning faoliyatiga qo’yilgan kapital ;mol etkazib beruvchilarning schyotiga tegishli tuzilgan shartnoma;qisqa muddatli majburiyat kabi hisoblanadigan va aktiv schyotlardagi mavjud bo’lgan debit qoldiqdan yuqori bulmagan summa;bu ma'lum muddat ichida ma'lum summani to’lash bo’yicha yozma majburiyatdir
Ishlab chiqarish zaxiralari nima? ;Xo’jalik yurituvchi sub’ektda keyinchalik qayta ishlashga yonaltirilgan sotib olingan yoki mustaqil ravishda tayyorlangan buyumlar ;Ishlab chiqarish jarayonida hosil bo’lgan va birlamchi xom-ashyo va materiallar ;Tayyor mahsulot ga aylantirilishi ularning keyin- chalik qayta ishlanishini talab etadigan  predmetlar ;Ishlab chiqarish jarayonida kerakli xom-ashyo va materiallar
Keladigan materiallarni ro’yxatga olish jurnaliga qaysi hujjat asosida qaydlar qilinadi?;transport yuk hujjatlari, tmzlarni qabul qilish dalolatnomalari, kirim orderlari;kirim orderlari ;tmzlarni qabul qilish dalolatnomalari. kirim orderlari ;schyot faktura
Konsignatsiya shartnomasi bo’yicha chetdan keltirilgan tovarlar konsignatorning buxgalteriya hisobida qaysi schyotda aks ettiriladi?;004;005 ;006 ;007
Konsignatsiyaga berilgan tovarlar hisobi qaysi hisobvaraqda yuritiladi? ;2930;2830 ;2730;2810
Korxona hisob siyosatining mohiyati O`zbekiston Respublikasi buxgalteriya hisobining qaysi milliy standartida bayon etilgan? ;BHMS №1 ;BHMS №2;BHMS №3;BHMS №4
Korxona ustav kapitalining 15% idan kam bo'lmaslik sharti quyidagilardan qaysi biriga xos?;Rеzеrv kapitaliga ;Taqsimlanmagan foydaga ;Qo’shilgan kapitalga ;Xususiy kapitalga 
Korxonaga tegishli asosiy vositalar balansning qaysi tomonida ko’rsatiladi?;mablag’ turi balansning aktiv tomonida ;mablag' manbai, balans aktiv tomonida ;mablag' turi balansning passiv tomonida ;mablag manbai balansning passiv tomonida
Korxonalarning xo’jalik aloqalari orqali qanday jarayonlar amalga oshadi? ;taminot, ishlab chiqarish, mahsulotlarni jo’natish va sotish ;taminot, ishlab chiqarish, mahsulotlarni jo’natish;taminot, ishlab chiqarish ;ishlab chiqarish, sotish
Maqsadli tushumlar balansning qaysi tomonida aks ettiriladi?;passivda ;aktivda ;aktiv va passivda ;balansdan tashqarida
Materiallarni bir ombordan boshqasiga jo’natish uchun qanday hujjat zarur bo’ladi? ;yuk xati ;ishonchnoma ;limit kartasi;to’lov talabnimasi
Me’yoriy-huquqiy hujjatlarga binoan, qanday hollarda tasdiqlangan hisob siyosatiga o’zgartirishlar kiritish mumkin? ;davlat qonunlari o’zgarganda; hisobni olib borishining yangi shakllari va usullari joriy etilganda ;korxona qayta tashkil etilganda, ya’ni, qo’shilganda yoki ajralib chiqqanda; mulk egalari o’zgarganda ;korxona qayta tashkil bo’lganda ;rahbar hohlaganda
Moliyaviy hisobotlar qanday asosiy identifikatsion rekvizitlarni o’z ichiga oladi?;korxonaning nomi, mulkchilik shakli, yuridik manzili, bo’ysunishi, identifikatsion raqami va korxonani bilish uchun kerak bo’lgan boshqa rekvizitlar;faqat alohida korxonalarni yoki korxonalar guruhining moliyaviy hisobotlari qamrab olishi, ya'ni bu hisobot jamlangan yoki yagona bo’lishi kerak;xo’jalik yurituvchi sub'ektning moliyaviy hisoboti va hisob siyosati asoslari uchi turli asosiy muomalalar va hodisalarni tanlagani va qo’llanilgani to’g'risida ma'lum taqdim etish ;hisobot jamlangan yoki yagona bo’lishi kerak
Ombordagi tayyor mahsulotlar qanday baholarda baholanadi?;haqiqiy va reja tannarx ;reja tannarx ;haqiqiy tannarx ;erkin baho
Oxirgi narxlari bo’yicha baholash usulini ko’rsating?;Lifo ;Aveco ;Fifo ;Nifo
Byudjеtga daromad solig’i to’lansa qanday buxgaltеriya provodkasi bеriladi? ;Debet 6410 Kredit 5110 ;Debet 6510 Kredit 5110;Debet 9810 Kredit 6410 ;Debet 6520 Kredit 5110
Dastgoh ustav kapitaliga ulush sifatida kiritildi. Provodkada aks ettiring? ;Debet 0130, Kredit 4610  ;Debet 0160, Kredit 4610 ;Debet 0170, Kredit 4610;Debet 0180, Kredit 4610
Hisobot davri oxirida ko'rsatilgan xizmatlarning haqiqiy tannarxi yakuniy moliyaviy natijaga o’tkazilishi qanday aks ettiriladi?;Debet 9910 Kredit 9130 ;Debet 9110 Kredit 9910 ;Debet 9010 Kredit 9910 ;Debet 9910 Kredit 9020
Ijaraning qanday turlari mavjud?;operativ, moliyaviy ;Operativ, o’rta muddatli ;Moliyaviy, qisqa muddatli ;qisqa muddatli, o’rta muddatli
Inventarizatsiya natijasida aniqlangan ortiqcha tayyor mahsulotlar qanday provodka bilan kirim qilinadi?;Debet 2810 Kredit 9390 ;Debet 2810 Kredit 9110;Debet 2810 Kredit 9210 ;Debet 2810 Kredit 2010
Kalkulyatsiya birligi – bu...?;kalkulyatsiya ob’ekti o`lchovidir ;mahsulotlar turlariga muvofiq ularning nomi ;mahsulotlar turlariga muvofiq ularning yog`lilik darajasi qaraladi ;mahsulotlar turlariga muvofiq idishning turiga qaraladi
Moliyaviy natijalarni shakllantirish foydaning qaysi ko’rsatkichi bilan ifodalanadi?;soliq to’langunga qadar olingan foyda va sof foyda bilan;mahsulotni sotishdan olingan yalpi foyda bilan ;asosiy faoliyatdan olingan foyda bilan;xo’jalik faoliyatidan olingan foyda bilan
Nomoddiy aktivlar - . . .;xo’jalik yurituvchi sub’ektning mulki hisoblangan uzoq muddatli moddiy ko'rinishga ega bo'lmagan aktivlardir ;bu qabul qilingan va ro'yxatga olingan alohida yuridik huquqdir ;bu adabiyot va musiqa asarlarining, darsliklarning, ixtiro qilingan san’at asarlarining va boshqalarning mualliflariga qonun tomonidan beriladigan himoyaning bir shaklidir;bu kompaniyalarga, mahsulot va xizmatlarga beriladigan nomlar, belgilar va boshqa identifikatsiyalarni aniqlovchilardir
Nomoddiy aktivlarning sintetik hisobi qaysi schyotlarda yuritiladi? ;0400, 0500 ;0100, 0200 ;0600, 0800;0900, 1500
Patent - bu …;bu mahsulotlarni seriyali ishlab chiqarish va boshqalardan himoyalash uchun beriladigan huquq ;xo’jalik yurituvchi sub’ektning mulki hisoblangan uzoq muddatli aktivlarning asosiy qismi ;ma’lum davr davomida iqtisodiy foyda ko'rish maqsadida boshqa sub’ektning faoliyatiga qo’yilgan kapital ;bu ma’lum muddat ichida ma’lum summani to’lash bo’yicha yozma majburiyat
Obligatsiyalar qachon nominal qiymatida chiqariladi? ;bozor stafkasi bilan sharlnoma stafkasi teng bo’lganda ;bozor stafkasi shartnoma stafkasidan 5%ga yuqori bo’lganda ;bozor stafkasi shartnoma stafkasidan 2%ga yuqori bo’lganda;obligatsiyalar har doim nominal qiymatida chiqariladi
Obligatsiyalardan qanday daromad olinadi? ;Foiz ko’rinishidagi daromad ;Divident ko’rinishidagi daromad ;Daromad olinmaydi, chunki ular qarz majburiyati hisoblanadi ;Foiz olinadi, lekin bu daromad sifatida tan olinmaydi
Daromad solig'idan imtiyozlar nimani ko’zda tutadi? ;soliqdan to’laligicha ozod etilish, qisman soliq miqdorini kamaytirish ;qisman soliq miqdorini kamaytirish ;soliqni to’lash uchun budjetdan yordam puli olish ;umuman soliqlarni to’lamaslik
Firmaning sof foydasi hisobot davri oxirida qaysi schyotga o`tkaziladi? ;Debet 9910 Kredit 8710;Debet 4010 Kredit 5110  ;Debet 5110 Kredit 4110 ;Debet 8710 Kredit 9910
Goodwill xizmat muddatini belgilang? ;20 yil ;25 yil  ;35 yil ;45 yil
Gudvilga amortizatsiya hisoblandi, provodkada aks ettiring? ;Debet xarajatlarni hisobga oluvchi schotlar, Kredit 0480;Debet 0590, Kredit 0480 ;Debet xarajatlarni hisobga oluvchi schotlar, Kredit 0590 ;Debet 0590, Kredit 0410
Kechiktirilgan xarajatlar - bu…? ;bu aktivni ishlatish bo’yicha bir tomondan ikkinchi tomonga beriladigan huquq ;bu xizmat ko’rsatish uchun xozirgi davrda sarflangan va kelajakdagi daromadlarning paydo bo'lishiga olib keladigan sarflardir ;bu tashkilotning faoliyatini tashkil qilish paytida sarflangan xarajatlardir ;bu qabul qilingan va ro'yxatga olingan alohida yuridik huquqdir
Kompaniya so'ndirish muddati 5 yil bo'lgan obligatsiya sotib oldi, provodkada aks ettiring? ;Debet 0610 Kredit 5110 ;Debet 4020 Kredit 5110;Debet 4020 Kredit 5010 ;Debet 5810 Kredit 5110
Korxonada ichki (segmentar) hisobotlarni ........................asoslanib tuzadi ;buxgalter boshqaruv hisobi ma’lumotlariga;tashqi foydalanuvchilarning ma’lumotlariga ;investrlarning ma’lumotlariga ;bankning ma’lumotlariga
Korxonaning ustav kapitaliga ulushlari ta`sischilarning mehnat haqidan ushlab qolindi?;Debet 6710 Kredit 4610;Debet 6710 Kredit 8310;Debet 6710 Kredit 8330;Debet 6710 Kredit 9420
Mahsulot (ish va xizmatlar)ni sotishdan sof tushum qaysi schyotda hisobga olinadi?;9010 kreditida ;4010 kreditida ;4010 debetida ;9010 debetida
Matеriallar harakatini rasmiylashtirish uchun Soliq kodеksida qanday hujjat ko’zda tutilgan?;Schyot-faktura ;Naryad ;Yo’q-xati ;Dalolatnoma
Moliyaviy hisobotning tarkibi va mazmunini qaysi davlat organi belgilaydi? ;O‘zR Moliya vazirligi;O‘zR Vazirlar Mahkamasi ;O‘zR Iqtisodiyot vazirligi  ;O‘zR Oliy Majlisi
Nominal qiymat nima? ;qimmatli qog'oz blankasida ko’rsatilgan qiymat ;qimmatli qog'ozlaming bozorda sotiladigan bahosi ;qimmatli qog'ozlar birlamchi joylashtirishdagi sotish narxi bilan blankadagi qiymati orasidagi farqi ;hozirgi vaqtda tashkilotning balansida aks ettiiladigan qiymatdagi summa
Nomoddiy aktivlar tugatish qiymati bu.....? ;nomoddiy aktivlar tugatish qiymatiga ega bo’lmaydi ;jamg'arilgan eskirish chegirilgan boshlang'ich qiymat ;balans qiymati ;joriy qiymat
Qimmatli qog‘ozning nominal qiymati bu... ;qimmatli qog'oz blankasida ko’rsatilgan qiymat ;qimmatli qog’ozlar birlamchi joylashtirishdagi sotish narxi bilan blankadagi qiymati orasidagi farqi ;qimmatli qog’ozlarning bozorda sotiladigan bahosi ;qimmatli qog’oz blankasida ko`rsatilgan qiymat
