Savol;Javob1;Javob2;Javob3;Javob4
Виды рисков по сферам проявления :;Политические риски, Социальные риски, Экологические риски, Коммерческие риски, Профессиональные риски;Техногенные риски, Природные риски, Смешанные риски;Прогнозируемые риски, Непрогнозируемые риски;Внешний, Внутренний 
Виды рисков по возможности предвидения:;Прогнозируемые риски, Непрогнозируемые риски;Техногенные риски, Природные риски, Смешанные риски;Политические риски, Социальные риски, Экологические риски, Коммерческие риски, Профессиональные риски;Внешний, Внутренний
Виды рисков по источникам возникновения:;Внешний, Внутренний;Прогнозируемые риски, Непрогнозируемые риски;Техногенные риски, Природные риски, Смешанные риски;Политические риски, Социальные риски, Экологические риски, Коммерческие риски 
Виды рисков по размеру возможного ущерба :;Критический рис, Допустимый риск, Катастрофический риск;Внешний, Внутренний;Прогнозируемые риски, Непрогнозируемые риски;Техногенные риски, Природные риски, Смешанные риски 
Виды рисков по комплексности исследования:;Простой, Сложный;Внешний, Внутренний;Прогнозируемые риски, Непрогнозируемые риски;Техногенные риски, Природные риски, Смешанные риски 
Виды рисков по финансовым последствиям:;Риск, влекущий только экономические потери, несёт только отрицательные последствия. Риск, влекущий упущенную выгоду, характеризует ситуацию, когда предприятие в силу сложившихся объективных и субъективных причин не может осуществить запланированную операцию;Критический рис, Допустимый риск, Катастрофический риск;Внешний, Внутренний;Прогнозируемые риски, Непрогнозируемые риски 
Виды рисков по возможности страхования:;Страхуемые риски, Нестрахуемые риски;Критический рис, Допустимый риск, Катастрофический риск;Внешний, Внутренний;Прогнозируемые риски, Непрогнозируемые риски 
Виды рисков по частоте реализации:;Высокие риски, Средние риски, Малые риски;Критический рис, Допустимый риск, Катастрофический риск;Внешний, Внутренний;Прогнозируемые риски, Непрогнозируемые риски 
Техногенные риски -;это риски, связанные с хозяйственной деятельностью человека (например, загрязнение окружающей среды).;это риски, не зависящие от деятельности человека (например, землетрясение).;это риски, представляющие собой события природного характера, но связанные с хозяйственной деятельностью человека;это риски, представляющие собой какие-либо неприятности 
Природные риски -;это риски, не зависящие от деятельности человека (например, землетрясение).;это риски, связанные с хозяйственной деятельностью человека (например, загрязнение окружающей среды);это риски, представляющие собой события природного характера, но связанные с хозяйственной деятельностью человека;это риски, представляющие собой какие-либо неприятности 
Политические риски -;это риски прямых убытков и потерь или недополученные прибыли из-за неблагоприятных изменений политической ситуации в государстве или действий местной власти.;это риски, связанные с хозяйственной деятельностью человека (например, загрязнение окружающей среды);это риски, представляющие собой события природного характера, но связанные с хозяйственной деятельностью человека;это риски, представляющие собой какие-либо неприятности
Социальные риски -;это риски, связанные с социальными кризисами.;это риски, связанные с хозяйственной деятельностью человека (например, загрязнение окружающей среды);это риски, представляющие собой события природного характера, но связанные с хозяйственной деятельностью человека;это риски, представляющие собой какие-либо неприятности 
Экологические риски -;это риски, связанные с вероятностью наступления гражданской ответственности за нанесение ущерба окружающей среде, а также жизни и здоровью третьих лиц.;это риски, связанные с социальными кризисами.;это риски, связанные с хозяйственной деятельностью человека (например, загрязнение окружающей среды);это риски, представляющие собой события природного характера, но связанные с хозяйственной деятельностью человека
Коммерческие риски -;это риски экономических потерь, возникающие в любой коммерческой, производственно- хозяйственной деятельности.;это риски, связанные с социальными кризисами.;это риски, связанные с хозяйственной деятельностью человека (например, загрязнение окружающей среды);это риски, представляющие собой события природного характера, но связанные с хозяйственной деятельностью человека 
Профессиональные риски -;это риски, связанные с выполнением профессиональных обязанностей;это риски, связанные с социальными кризисами.;это риски, связанные с хозяйственной деятельностью;это риски, представляющие собой события природного характера 
Прогнозируемые риски -;это риски, которые связаны с циклическим развитием экономики, сменой стадий конъюнктуры финансового рынка, предсказуемым развитием конкуренции и т.п.;это риски, отличающиеся полной непредсказуемостью проявления.;это риски, связанные с хозяйственной деятельностью;это риски, представляющие собой события природного характера 
Непрогнозируемые риски -;это риски, отличающиеся полной непредсказуемостью проявления.;это риски, которые связаны с циклическим развитием экономики, сменой стадий конъюнктуры финансового рынка, предсказуемым развитием конкуренции и т.п.;это риски, отличающиеся полной непредсказуемостью проявления.;это риски, связанные с хозяйственной деятельностью 
Внешний (систематический или рыночный) риск -;это риск, не зависящий от деятельности предприятия.;это риски, отличающиеся полной непредсказуемостью проявления.;это риски, связанные с хозяйственной деятельностью;это риски, представляющие собой события природного характера
Внутренний (несистематический или специфический) риск -;это риск, зависящий от деятельности конкретного предприятия.;это риск, не зависящий от деятельности предприятия.;это риски, отличающиеся полной непредсказуемостью проявления.;это риски, связанные с хозяйственной деятельностью 
Допустимый риск -;это риск, потери по которому не превышают расчётной суммы прибыли по осуществляемой операции.;это риск, потери по которому не превышают расчётной суммы валового дохода по осуществляемой операции.;это риск, потери по которому определяются частичной или полной утратой собственного капитала;это риски, которые могут быть переданы в порядке внешнего страхования соответствующим страховым организациям.
Критический риск -;это риск, потери по которому не превышают расчётной суммы валового дохода по осуществляемой операции.;это риск, потери по которому не превышают расчётной суммы прибыли по осуществляемой операции;это риск, потери по которому определяются частичной или полной утратой собственного капитала;это риски, которые могут быть переданы в порядке внешнего страхования соответствующим страховым организациям.
Катастрофический риск?;это риск, потери по которому определяются частичной или полной утратой собственного капитала;это риск, потери по которому не превышают расчётной суммы валового дохода по осуществляемой операции.;это риск, потери по которому не превышают расчётной суммы прибыли по осуществляемой операции;это риски, которые могут быть переданы в порядке внешнего страхования соответствующим страховым организациям.
Страхуемые риски -;это риски, которые могут быть переданы в порядке внешнего страхования соответствующим страховым организациям.;это риски, по которым отсутствует предложение соответствующих страховых продуктов на страховом рынке;это риск, потери по которому определяются частичной или полной утратой собственного капитала;это риск, потери по которому не превышают расчётной суммы валового дохода по осуществляемой операции.
Не страхуемые риски -;это риски, по которым отсутствует предложение соответствующих страховых продуктов на страховом рынке;это риски, которые могут быть переданы в порядке внешнего страхования соответствующим страховым организациям.;это риск, потери по которому определяются частичной или полной утратой собственного капитала;это риск, потери по которому не превышают расчётной суммы валового дохода по осуществляемой операции.
Высокие риски -;это риски, для которых характерна высокая частота наступления ущерба.;это риски, для которых характерна малая вероятность наступления ущерба;это риски, для ко-торых характерна средняя частота нанесения ущерба.;это риски, для которых характерна минимальная частота нанесения ущерба.
Средние риски -;это риски, для которых характерна средняя частота нанесения ущерба.;это риски, для которых характерна малая вероятность наступления ущерба;это риски, для которых характерна частота нанесения ущерба.;это риски, для ко-торых характерна минимальная частота нанесения ущерба.
Малые риски -;это риски, для которых характерна малая вероятность наступления ущерба;это риски, для которых характерна средняя частота нанесения ущерба.;это риски, для которых характерна оптимальная частота нанесения ущерба.;это риски, для которых характерна нереальная частота нанесения ущерба.
Инфляционный риск--;денежные доходы обесцениваются;это риски, для которых характерна средняя частота нанесения ущерба.;это риски, для которых характерна оптимальная частота нанесения ущерба.;это риски, для которых характерна нереальная частота нанесения ущерба.
Дефляционный риск -;это риск того, что при росте дефляции происходит падение уровня цен, ухудшение экономических условий предпринимательства и снижение доходов;это риск того, что при росте инфляции, получаемые денежные доходы обесцениваются с точки зрения реальной покупательной способности быстрее, чем растут.;денежные доходы обесцениваются ;это риски, для которых характерна средняя частота нанесения ущерба.
Риски ликвидности -;это риски, связанные с возможностью потерь при реализации ценных бумаг или других товаров из-за изменения оценки их качества и потребительной стоимости;это риск того, что при росте дефляции происходит падение уровня цен, ухудшение экономических условий предпринимательства и снижение доходов;это риск того, что при росте инфляции, получаемые денежные доходы обесцениваются с точки зрения реальной покупательной способности быстрее, чем растут.;денежные доходы обесцениваются 
Риск упущенной выгоды -;это риск наступления косвенного (побочного) финансового ущерба (неполученная прибыль) в результате неосуществления какого-либо мероприятия;это риски, связанные с возможностью потерь при реализации ценных бумаг или других товаров из-за изменения оценки их качества и потребительной стоимости;это риск того, что при росте дефляции происходит падение уровня цен, ухудшение экономических условий предпринимательства и снижение доходов;это риск того, что при росте инфляции, получаемые денежные доходы обесцениваются с точки зрения реальной покупательной способности быстрее, чем растут.
Кредитный риск -;это опасность неуплаты заемщиком основного долга и процентов, причитающихся кредитору;это риск наступления косвенного (побочного) финансового ущерба (неполученная прибыль) в результате неосуществления какого-либо мероприятия;это риски, связанные с возможностью потерь при реализации ценных бумаг или других товаров из-за изменения оценки их качества и потребительной стоимости;это риск того, что при росте дефляции происходит падение уровня цен, ухудшение экономических условий предпринимательства и снижение доходов 
Селективные риски -;это риски неправильного выбора способа вложения капитала, вида ценных бумаг для инвестирования в сравнении с другими видами ценных бумаг при формировании инвестиционного портфеля.;это риск наступления косвенного (побочного) финансового ущерба (неполученная прибыль) в результате неосуществления какого-либо мероприятия;это риски, связанные с возможностью потерь при реализации ценных бумаг или других товаров из-за изменения оценки их качества и потребительной стоимости;это риск того, что при росте дефляции происходит падение уровня цен, ухудшение экономических условий предпринимательства и снижение доходов 
Риск страхуемый -;это вероятное событие или совокупность событий, на случай наступления которых проводится страхование;это риск наступления косвенного (побочного) финансового ущерба (неполученная прибыль) в результате неосуществления какого-либо мероприятия;это риски, связанные с возможностью потерь при реализации ценных бумаг или других товаров;это риск того, что при росте дефляции происходит падение уровня цен 
Допустимый риск -;это угроза полной или частичной потери прибыли от реализации того или иного финансового проекта;это вероятное событие или совокупность событий, на случай наступления которых проводится страхование;это риски, связанные с возможностью потерь при реализации ценных бумаг или других товаров;это риск того, что при росте дефляции происходит падение уровня цен 
Как называется документ, действующий до утверждения и регистрации сметы расходов бюджетной организации или получателя бюджетных средств, в котором отражаются бюджетные ассигнования на каждый месяц, предусмотренные для нее (него), с учетом изменений в законодательстве?;временная смета расходов;вспомогательная смета расходов;месячная смета расходов;переменная смета расходов 
К какому блоку расходов Государственного бюджета Республики Узбекистан относятся расходы на научно-технические проекты, реализуемые по грантам в рамках государственных научно-технических программ фундаментальных, прикладных исследований и инновационных работ?;расходы на социальную сферу и социальную поддержку населения;расходы на экономику;расходы на государственную поддержку деятельности негосударственных некоммерческих организаций и других институтов гражданского общества в форме государственных грантов, субсидий и социального заказа;расходы на финансирование централизованных инвестиций 
На какой срок составляется временные сметы расходов бюджетных организаций и получателей бюджетных средств с учётом фактора возможных рисков?;на первый квартал следующего финансового года;на первый месяц следующего финансового года;на срок с 1 января по 25 января следующего финансового года;на срок с 1 января по 10 января следующего финансового года 
Человеческая неопределенность связана …;с невозможностью точного предсказания поведения людей в процессе работы.;с возможностью точного предсказания поведения людей в процессе работы.;с невозможностью работы.;с возможностью работы.
Риск “заимодавца” …;риск не возврата кредита, включающий в себя юридический риск (уклонение от возврата кредита) и кредитный риск (недостаточность обеспечения);с невозможностью точного предсказания поведения людей в процессе работы.;с возможностью точного предсказания поведения людей в процессе работы.;с невозможностью работы.
Риск изменения ценности денежной единицы;вероятность потери средств в результате изменения курса национальной денежной единицы;с невозможностью точного предсказания поведения людей в процессе работы.;с возможностью точного предсказания поведения людей в процессе работы.;с невозможностью работы.
Basle Committee on Banking Supervision;Базельским комитетом по банковскому надзору;Бразильский комитетом по банковскому надзору;Базовый комитетом по банковскому надзору;Базельским комитетом по банковскому надзирательству
Риск потери ликвидности …;риск того, что фирма не сможет в конкретный момент погасить свои обязательства имеющимся капиталом;вероятность потери средств в результате изменения курса национальной денежной единицы;с невозможностью точного предсказания поведения людей в процессе работы.;с возможностью точного предсказания поведения людей в процессе работы.
Операционный риск …;риск, связанный с недостатками в системах и процедурах управления, поддержки и контроля;риск того, что фирма не сможет в конкретный момент погасить свои обязательства имеющимся капиталом;вероятность потери средств в результате изменения курса национальной денежной единицы;вероятность потери средств в результате изменения курса национальной денежной единицы 
Юридический риск …;риск того, что в соответствии с действующим на данный момент законодательством партнер не обязан выполнять свои обязательства по сделке;риск, связанный с недостатками в системах и процедурах управления, поддержки и контроля;риск того, что фирма не сможет в конкретный момент погасить свои обязательства имеющимся капиталом;с невозможностью точного предсказания поведения людей в процессе работы.
Рыночные риски …;это риски, связанные с нестабильностью экономической конъюнктуры: риск финансовых потерь из-за изменения цены товара, риск снижения спроса;риск того, что в соответствии с действующим на данный момент законодательством партнер не обязан выполнять свои обязательства по сделке.;риск, связанный с недостатками в системах и процедурах управления, поддержки и контроля;риск того, что фирма не сможет в конкретный момент погасить свои обязательства имеющимся капиталом
Юридические риски …;это риски потерь, связанных с тем, что законодательство или не было учтено вообще, или изменилось в период сделки; риск несоответствия законодательств разных стран; риск некорректно составленной документации, в результате чего контрагент в состоянии не выполнять условия договора и пр.;это риски, связанные с нестабильностью экономической конъюнктуры: риск финансовых потерь из-за изменения цены товара, риск снижения спроса;риск того, что в соответствии с действующим на данный момент законодательством партнер не обязан выполнять свои обязательства по сделке.;риск, связанный с недостатками в системах и процедурах управления, поддержки и контроля
Технико-производственные риски …;риск нанесения ущерба окружающей среде (экологический риск); риск возникновения аварий, пожаров, поломок; риск нарушения функционирования объекта вследствие ошибок при проектировании;это риски потерь, связанных с тем, что законодательство или не было учтено вообще, или изменилось в период сделки; риск несоответствия законодательств разных стран;это риски, связанные с нестабильностью экономической конъюнктуры: риск финансовых потерь из-за изменения цены товара, риск снижения спроса;риск того, что в соответствии с действующим на данный момент законодательством партнер не обязан выполнять свои обязательства по сделке.
Фискально-монетарный риск …;представляет собой риски, связанные с государственным регулированием экономики, и включает себя изменения в проводимой налоговой и кредитно-денежной политике государства, а также факторы стимулирования деловой активности отраслей и фирм и т.д.;это риски потерь, связанных с тем, что законодательство или не было учтено вообще, или изменилось в период сделки; риск несоответствия законодательств разных стран;это риски, связанные с нестабильностью экономической конъюнктуры: риск финансовых потерь из-за изменения цены товара, риск снижения спроса;риск того, что в соответствии с действующим на данный момент законодательством партнер не обязан выполнять свои обязательства по сделке.
Социально-политический риск …;нестабильность политического режима, внешние конфликты, коррупция, гражданские беспорядки;это риски потерь, связанных с тем, что законодательство или не было учтено вообще, или изменилось в период сделки; риск несоответствия законодательств разных стран;это риски, связанные с нестабильностью экономической конъюнктуры: риск финансовых потерь из-за изменения цены товара, риск снижения спроса;риск того, что в соответствии с действующим на данный момент законодательством партнер не обязан выполнять свои обязательства по сделке.
Валютные риски …;вероятность возникновения убытков от изменения обменных курсов в процессе внешнеэкономической деятельности, инвестиционной деятельности в других странах;вероятность возникновения убытков в случае изменения процентных ставок по финансовым ресурсам;влияние различных макро- и микроэкономических факторов на активы предпринимателя или инвестора;влияние различных макроэкономических факторов на активы предпринимателя или инвестора 
Процентные риски …;вероятность возникновения убытков в случае изменения процентных ставок по финансовым ресурсам;вероятность возникновения убытков от изменения обменных курсов в процессе внешнеэкономической деятельности, инвестиционной деятельности в других странах;влияние различных макро- и микроэкономических факторов на активы предпринимателя или инвестора;влияние различных факторов на активы предпринимателя или инвестора 
Портфельные риски …;влияние различных макро- и микроэкономических факторов на активы предпринимателя или инвестора;влияние различных микроэкономических факторов на активы предпринимателя или инвестора;вероятность возникновения убытков от изменения обменных курсов в процессе внешнеэкономической деятельности, инвестиционной деятельности в других странах;вероятность возникновения убытков в случае изменения процентных ставок по финансовым ресурсам
Коммерческий риск …;вероятность потерь, неполучения или недополучения определенного результата вследствие осуществления мероприятий;влияние различных микроэкономических факторов на активы предпринимателя или инвестора;вероятность возникновения убытков от изменения обменных курсов в процессе внешнеэкономической деятельности, инвестиционной деятельности в других странах;вероятность возникновения убытков в случае изменения процентных ставок по финансовым ресурсам 
Торговый риск …;вероятность потерь вследствие воздействия различных факторов неопределенности, связанных с задержкой платежей, неоплатой продукции, непоставки товара, изменением цен на готовую продукцию; вероятность потерь, неполучения или недополучения определенного результата вследствие осуществления мероприятий;влияние различных микроэкономических факторов на активы предпринимателя или инвестора;вероятность возникновения убытков от изменения обменных курсов в процессе внешнеэкономической деятельности, инвестиционной деятельности в других странах 
Риски клиентов …;связаны с неплатежеспособностью потребителей, каналами сбыта, отказа заказчика от приема продукции;вероятность потерь, неполучения или недополучения определенного результата вследствие осуществления мероприятий;влияние различных микроэкономических факторов на активы предпринимателя или инвестора;вероятность возникновения убытков от изменения обменных курсов 
Риски поставщиков …;связаны с факторами неопределенности рынков входящих ресурсов и включают: риск невыполнения договоров поставок, нарушения графиков поставок, банкротства предприятий-контрагентов, роста цен на доставку;связаны с неплатежеспособностью потребителей, каналами сбыта, отказа заказчика от приема продукции;вероятность потерь, неполучения или недополучения определенного результата вследствие осуществления мероприятий;влияние различных микроэкономических факторов на активы предпринимателя или инвестора 
Деловой риск …;определяется такими факторами, как организационно-технический потенциал субъекта экономики, эффективность производственной, научной (инновационной) и инвестиционной деятельности, устойчивость финансового положения, эффективность системы управления;связаны с факторами неопределенности рынков входящих ресурсов и включают: риск невыполнения договоров поставок, нарушения графиков поставок, банкротства предприятий-контрагентов, роста цен на доставку;связаны с неплатежеспособностью потребителей, каналами сбыта, отказа заказчика от приема продукции;вероятность потерь, неполучения или недополучения определенного результата вследствие осуществления мероприятий 
Инновационный риск …;выступает в качестве основного фактора риска в инновационных фирмах и представляет собой вероятность потери, по крайней мере, части своих ресурсов, недополучения либо потери запланированных прибыли, доходов от инновационного проекта;определяется такими факторами, как организационно-технический потенциал субъекта экономики, эффективность производственной, научной (инновационной) и инвестиционной деятельности, устойчивость финансового положения, эффективность системы управления;связаны с факторами неопределенности рынков входящих ресурсов и включают: риск невыполнения договоров поставок, нарушения графиков поставок, банкротства предприятий-контрагентов, роста цен на доставку;связаны с неплатежеспособностью потребителей, каналами сбыта, отказа заказчика от приема продукции 
Передача риска (трансферт)…;Предприятие может вовлечь других субъектов в процесс управления риском, в частности передавая им риск еще до наступления события.; связаны с факторами неопределенности рынков входящих ресурсов и включают: риск невыполнения договоров поставок, нарушения графиков поставок, банкротства предприятий-контрагентов, роста цен на доставку;связаны с неплатежеспособностью потребителей, каналами сбыта, отказа заказчика от приема продукции;каналы сбыта, отказа заказчика от приема продукции 
Хеджирование представляет собой …;форму страхования от возможных потерь (ценового риска по сделкам на бирже) путем заключения уравновешивающей сделки (проведения противоположных операций с фьючерсными контрактами) и, как следствие, переноса риска изменения цены с одного лица на другое;резервирование, самострахование, внутреннее страхование, принятие риска на себя);связаны с неплатежеспособностью потребителей, каналами сбыта, отказа заказчика от приема продукции;каналы сбыта, отказа заказчика от приема продукции
Компенсация …;резервирование, самострахование, внутреннее страхование, принятие риска на себя);форму страхования от возможных потерь (ценового риска по сделкам на бирже) путем заключения уравновешивающей сделки;связаны с неплатежеспособностью потребителей, каналами сбыта, отказа заказчика от приема продукции;каналы сбыта, отказа заказчика от приема продукции 
Процентный риск …;риск возникновения финансовых потерь у банка в связи с изменением процентных ставок по финансовым инструментам;форму страхования от возможных потерь (ценового риска по сделкам на бирже) путем заключения уравновешивающей сделки;связаны с неплатежеспособностью потребителей, каналами сбыта, отказа заказчика от приема продукции;каналы сбыта, отказа заказчика от приема продукции 
VaR является … оценки рисков; критерий;методом;примером;видом
Какая модель не относится к VaR?;Бальные методы;Историческая модель;метод Монте-Карло;Параметрическая модель 
Точность статистических методов оценки увеличится, если;Использовать большое количество статистических данных;Упростить модель до примитивного;Агрегировать и группировать данные за периоды;Использовать VaR 
Какой метод используется, если проведение реальных экспериментов затратной или невозможно?;Имитационное моделирование; Дерево решений;Бальный метод;Метод оценки вероятности исполнения 
К какому типу методов относится анализ чувствительности модели?;Аналитический метод;Статистический метод;Бальный метод;Метод оценки вероятности исполнения
К какому типу методов относится метод Монте-Карло?;Математический;Аналитический метод;Бальный метод;Метод оценки вероятности исполнения 
К какому типу методов относится метод Роза и спираль?; Экспертные методы;Статистические методы;Аналитические методы;Рейтинговые методы
Рейтинговые методы;Вероятностно-теоретические методы;Статистические методы;Аналитические методы;Рейтинговые методы 
Процентной ставкой называют-;обещанную (promised) ставку доходности по заимствованным средствам.;минимальный процент, под который коммерческие банки могут взять кредит в Центробанке.;процент от суммы займа выплачивается в конце вместе с основной суммой.;ставку по которой рассчитывается ежемесячное вознаграждение. 
В зависимости от финансового инструмента, доход может начисляться:;B и С;с использованием сложных процентов;с использованием простых процентов;от продажи недвижимого имущества, транспортных средств 
PV (present value) –;текущая стоимость, приведенная стоимость, или начальная сумма на вашем счете.;процентная ставка, которая обычно выражается в процентах в год.;количество лет, на протяжении которых будут начисляться проценты.;первоначальные инвестиции. 
Формулы для расчета простых процентов;FV = PV x (1 + n x i);S = (P x I x t / K) / 100;FV = PV x (1 + 12 x n x (i/12));FV = PV x (1 + i)n 
Формула для расчета сложных процентов :;FV = PV x (1 + i)n;FV = PV x (1 + n x i);FV = PV x (1 + 12 x n x (i/12));S = (P x I x t / K) / 100 
Будущая стоимость- это …;сумма, которой будут равняться инвестированные деньги к определенной дате с учетом начисления сложных процентов.;сумма, указанная в процентном выражении к сумме кредита, которую платит получатель кредита за пользование им в расчёте на определённый период (месяц, квартал, год);сумма средств, которую банк принимает от клиента на определенный или неопределенный срок.;затраты, величина которых зависит от объёма выпуска продукции. 
i (interest rate) –;процентная ставка, которая обычно выражается в процентах в год.;текущая стоимость, приведенная стоимость, или начальная сумма на вашем счете.;это минимальная сумма денег, необходимая для открытия счета в финансовом учреждении, таком как банк или брокерская фирма.;это стоимость, которая меняется в зависимости от изменения количества производственных единиц. 
Факторы, влияющие на общий уровень процентных ставок:;политика правительства; денежная масса; ожидания относительно будущей инфляции.;время до погашения финансовых обязательств;ликвидность финансовых обязательств;риск невыполнения обязательств;
Дюрация- это…;это эффективный срок до погашения облигации.;инвестирование средств в разные активы с целью снижения рисков.;это определённый процент от суммы кредита (вклада), который платит заёмщик (банк) за пользование кредитом (вкладом) в течение одного года.;это договор на покупку или продажу базового актива в определенный период по заранее установленной цене.
Кредитный риск это …;вероятность убытков из-за неспособности должника произвести платежи по любому типу долга. Управление рисками – это практика уменьшения потерь за счет понимания достаточности собственного капитала и резервов на покрытие убытков по ссудам в любой момент времени – процесс, который долгое время был проблемой для финансовых организаций.;невозможность исполнить обязательства по контракту. Это влечет начисление пени, потерю залогового имущества, судебные разбирательства, негативные отметки в персональной истории займов.;специалист изучает качественные исходные данные, такие как отзывы коллег, сообщества, поставщиков, у которых в прошлом были экономические отношения с потенциальным клиентом, а также объективные исходные данные – историю его взаимодействия с банками, предыдущую экономическую деятельность.;это способность погасить долг на основе прогнозируемого профиля доходов и расходов (включая прочие задолженности). Ключевые показатели, используемые при оценке кредитоспособности: отношение долга к доходу, текущий доход, стаж работы, стабильность дохода.
Сколько видов кредитного риска существует?;4;2;5;6
Риск концентрации кредитного риска это…;Отраслевой риск возникает из-за чрезмерного воздействия на какую-либо одну отрасль или сектор;Связан с нарушением юридической структуры или организации, которая контролирует договор между кредитором и должником;Политический кризис в стране, коррупция влияют на финансовый портфель кредитуемых;Стагнация экономики, экономический кризис, дефляция, связанная с упадком в хозяйственных отраслях 
Политический вид кредитного риска это…;Политический кризис в стране, коррупция влияют на финансовый портфель кредитуемых;Связан с нарушением юридической структуры или организации, которая контролирует договор между кредитором и должником;Связан с нарушением юридической структуры или организации, которая контролирует договор между кредитором и должником;Стагнация экономики, экономический кризис, дефляция, связанная с упадком в хозяйственных отраслях 
