Fan nomi (uz, ru);Savol;JT;Javob1;Javob2;Javob3;Javob4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'aime �.. fleur.;0;la;la;leurs;mes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'aime �.. soeurs.;0;mes;ma;mon;ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'aime �.. oncle.;0;mon;ma;la;mes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'aime �.. grand-pere.;0;mon;mes;leurs;la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'aime �.. grande-mere.;0;ma;mon;mes;leurs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. fleur.;0;la;les;mes;le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. soeurs.;0;mes;leur;mon;ma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. livre.;0;le;la;un;une;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �..frere;0;mon;ma;leurs;tes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �..freres.;0;mes;mon;ma;leurs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. fleurs;0;les;mon;ma;le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. soeure.;0;ma;mon;mes;les;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. soeurs.;0;tes;ta;ton;sa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. grande-mere;0;ma;mon;mes;ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. oncle.;0;mon;ma;ta;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. etudiants.;0;mes;mon;ma;ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. professeurs.;0;mes;mon;ma;ta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. stylos.;0;les;le;la;un;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. stylos.;0;mes;ma;mon;ta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'adore �.. stylo. ;0;le;les;tes;leurs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. livres.;0;des;ton;sa;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. cahiers.;0;tes;ton;ta;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. livre.;0;un;tes;les;sez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. livres.;0;mes;mon;ma;ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. crayons.;0;mes;mon;ta;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. crayons.;0;tes;ton;sa;ta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. crayons.;0;ses;son;sa;ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. crayons.;0;leurs;son;mon;ta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. portable.;0;mon;mes;leurs;ses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. portable.;0;ton;tes;leurs;ses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. portable.;0;son;ses;tes;mes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Sur la table il y a �.. fleurs.;0;leurs;mon;sa;ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'ai �. soeur.;0;une;un;le;des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'ai �. frere. ;0;un;une;des;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'ai �. soeurs.;0;des;un;une;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'ai �. freres.;0;des;un;du;une;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : tu as �. freres.;0;des;du;un;une;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : tu as �. soeurs.;0;des;une;du;un;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : tu as �. frere.;0;un;une;des;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : tu as �. soeur.;0;une;un;des;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : tu as �. mere.;0;une ;un;des;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : tu as �. pere.;0;un;une;du;des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : tu as �. ami.;0;un;une;des;un;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : tu as  �. amie.;0;une;un;des;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : il a �. freres.;0;des;du;un;une;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : il a �. soeurs.;0;des;une ;un;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : il a �. ami.;0;un;une;des;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : il a �. amie.;0;une;un;des;le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : il a �. frere.;0;un;des;une;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Mettez ? la forme convenable : il a �. amis.;0;des;un;une;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : il a �.. soeur.;0;une;un;des;au;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : Nous avons �� grande maison.;0;une;un;le;au;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : vous avez �.. ami ?;0;un;une;la ;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : vous avez �.. amie?;0;une;un;des;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : vous avez �.. freres.;0;des;un;une;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : vous avez �.. soeurs.;0;des;un;une;le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mettez ? la forme convenable : vous avez �.. soeur.;0;une;un;des;le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Vous avez �. amis.;0;des;un;une;le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Vous avez �. livre.;0;un;des;les;aux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Vous avez �. livres.;0;des;le;un;une;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Vous avez �. fleur.;0;une;le;la ;des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Vous avez �. fleurs.;0;des;une;le;la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Vous �.. une maison.;0;avez;as;avons;ai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Tu �.  un  livre.;0;as;avez;avons;ai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: J'  �. un ami.;0;ai;as;avons;a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: il �. un  livre.;0;a;as;ai;avons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: elle �. une fleur.;0;a;as;ai;avons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Nous  �. des questions.;0;avons;avez;as;ai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: mon ami �. 22 ans;0;a;ai;as;avons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: moi et mon ami �.  20 ans;0;avons;avez;ont;as;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Bakhtiyor et Nozima �. 21 ans;0;ont;avez;avons;sont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Nicole et Cathrine �. 21 ans. ;0;ont;a;as;ai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Vous  �. du temps pour apprendre le francais;0;avez;avons;ont;as;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: mon pere �.  44 ans.;0;a;as;ai;ont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Je  �. etudiant.;0;suis;es;est;sont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Je  �. ouzbek.;0;suis;es;est;sommes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Tu �.  russe.;0;es;est;suis;sont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: il �. americain.;0;est;es;suis;sont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: elle �. japonaise;0;est;suis;es;sommes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: mon pere �.  ing?nieur.;0;est;es;sont;suis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Chaque jour je vais �. Universit?.;0;? l';au;de la;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Chaque hiver avec mes amis, nous allons �. Montagnes;0;aux;au;du;de la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Tu va �.. mus?e.;0;au;? la;aux;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  Il va �. place.;0;? la;au;aux;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Chaque dimanche elle va �. cin?ma.;0;au;? la;aux;de la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: En ?t? nous allons �. campagne(n.f.);0;? la;au;aux;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Est-ce que vous allez �.. cin?ma ?;0;au;aux;? la;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Je viens �.. mus?e.;0;du;de la;des;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: je viens �.. maison.(n.f.);0;de la;du;des;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: je viens �. mongtagnes.;0;des;du;de la;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: tu � du  mus?e.;0;viens;vient;venons;venez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: il � de la maison.;0;vient;viens;venons;venez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: elle  � de la montagne;0;vient;vien;venons;venez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: nous � de la maison.;0;venons;venez;vient;viens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: vous � de l'Universit?.;0;venez;vient;viens;venons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Ils � de l'Institut.;0;viennent;venons;venez;viens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Elles � du mus?e.;0;viennent;venez;vient;viens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Bonjour je �.. Antoin.;0;m'appelle;t'appelles;s'appelle;nous appellons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Bonjour,  � m'appelle Antoin.;0;je;tu;il;elle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Toi, tu � Nicolas ?;0;t'appelles;m'appelle;s'appelle;nous appellons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: comment elle � ? Cathrenne ?;0;s'appelle;m'appelle;t'appelle;nous appellons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Ah, � s'appelle Natalie.;0;elle;il;tu;je;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: � t'appelles Karim.;0;tu;je;il;elle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est mon ami Nicolas. Il est � .;0;francais;francaise;francaises;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est mon ami Natalie. Elle est � .;0;francaise;francais;francaises;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Ce sont mes amis. Ils viennent de France. Ils sont � .;0;francais;francaise;francaises;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: Ce sont mes amies. Elles viennent de France. Elles sont � .;0;francaises;francais;francaise;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est mon ami James. Il vient des Etats-Unis. Il est � .;0;americain;americaine;americainne;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Choisissez la bonne r?ponse: C""est mon amie Yoko. Elle  vient de Japon.";0;japonaise;japonais;americainne;allemande;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est Fatima Chaibi. Elle est � .;0;tunisienne;tunisien;japonais;allemand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est monsieur Sergui. Il vient de Russie. Il est � .;0;russe;allemande;japonais;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est madamme Galina. Elle vient de Russie. Elle est � .;0;russe;allemande;japonais;chinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  Je m'appelle Qui Yong. Je vient de Chine. Je suis � .;0;chinois;allemande;japonais;russe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est ma collegue Pierrette Legrand. Elle est � .;0;francaise;francais;japonais;allemand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est mon ami Franz Muller. Il vient d'Allemand. Il est � .;0;autrichien;autrichienne;japonais;russe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: C'est ma collegue Sofia. Elle est � .;0;americainne;americain;japonais;allemand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse:  1997;0;mille neuf cent quatre vingt dix neuf;mille neuf cent quatre vingt neuf; neuf cent quatre vingt dix neuf;dix neuf cent quatre vingt dix neuf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: 17;0;dix-sept;diz- sept;septieme;sept-dix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choisissez la bonne r?ponse: 39;0;trente neuf;trent-neuf;tois neuf;treiz neuf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
