Savol;Javob1;Javob2;Javob3;Javob4
Поступление денег на расчетный счет от покупателей реализации продукции (товаров, работ, услуг), основных средств и прочих активов:;дебет 5110, кредит 4010;дебет 5110, кредит 5010;дебет 5110, кредит 5710;дебет 5110, кредит 5510;
Возвращен на расчетный счет ранее выданный аванс выданные поставщикам и подрядчикам:;дебет 5110, кредит 4310-4330;дебет 5110, кредит 5810;дебет 5110, кредит 5210;дебет 5110, кредит 5010;
Поступление на расчетный счет эмиссионного дохода от продажи акций по цене выше номинала:;дебет 5110, кредит 8410;дебет 5110, кредит 4010;дебет 5110, кредит 5210;дебет 5110, кредит 5530;
В каком разделе баланса отражаются задолженности перед бюджетом?;краткосрочные обязательства;оборотные активы;долгосрочные обязательства;капитал и резервы
Выкуп собственных акций, перечислены денежные средства с расчетного счета:;дебет 8610, 8620, кредит 5110;дебет 5010, кредит 4010;дебет 5010, кредит 5210;дебет 5110, кредит 5530;
Погашена задолженность перед поставщиками и подрядчиками, перечислен денежное средство с расчетного счета:;дебет 6010, кредит 5110;дебет 5010, кредит 5110;дебет 6310, кредит 5210;дебет 5510, кредит 5110;
Перечислены суммы задолженности по платежам в бюджет с расчетного счета:;дебет 6410, кредит 5110;дебет 5010, кредит 5110;дебет 5210, кредит 5110;дебет 5530, кредит 5110;
Нематериальные активы на учет принимаются по … стоимости.;первоначальной;Рыночной;Остаточной;Восстановительной
Погашение краткосрочных кредитов и займов, денежные средства с расчетного счета:;дебет 6810-6840, кредит 5110;дебет 6110, кредит 5110;дебет 6120, кредит 5110;дебет 5010, кредит 5110;
Начислены суммы оплаты труда рабочим основного производства:;дебет2010, кредит 6710;дебет 6110, кредит 5110;дебет 6120, кредит 5110;дебет 5010, кредит 5110;
Погашена задолженность по начисленным процентам с расчетного счета:;дебет 6920, кредит 5110;дебет 6010, кредит 5110;дебет 4010, кредит 5110;дебет 5010, кредит 5110;
Простой называется бухгалтерская проводка, в которой производится запись хозяйственной операции:;по дебету одного и кредиту другого счета;два счета по дебету и два по кредиту;один счет по дебету и два по кредиту;по дебету (или кредиту) одного счета
Сложной называется бухгалтерская проводка, в которой производится запись хозяйственной операции:;по дебету (кредиту) нескольких счетов и кредиту (дебету) одного счета;по дебетовым и кредитовым оборотам;по дебету одного и кредиту другого счета;по дебету (или кредиту) одного счета
Оборотная ведомость является способом обобщения:;бухгалтерских проводок;первичной документации;плана счетов;аналитический учет
Транзитным является счет:;Cчета учета доходов и расходов в формировании финансовых результатов;«Расчетный счет»;«Расчеты по краткосрочным кредитам и займам»;«Счета учета износа»
Счета, предназначенные для учета источников хозяйственных средств, называются;пассивными;активными;транзитными;забалансовыми
Получены от поставщиков материалы и оприходован на склад:;дебет 1010, кредит 6010;дебет 0820, кредит 6010;дебет 2010, кредит 6010;дебет 2310, кредит 6010;
Приобретение нематериальных активов учитывается на счете:;0830;0820;0120;0410
Как определить производственную фактическую себестоимость выпущенной готовой продукции (выполненных работ, услуг)?;Затраты в производство на начало месяца плюс затраты за месяц и минус затраты в незавершенное производство на конец месяца;Затраты в производство на начало месяца плюс затраты в незавершенное производство на конец месяца минус затраты за месяц;Затраты в производство на начало месяца минус затраты в незавершенное производство на конец месяца;Затраты в производство на конец месяца плюс затраты за месяц и минус затраты в незавершенное производство на начало месяца
К доходам от обычных видов деятельности относят …;выручку от продажи продукции, товаров, выполненных работ, услуг;суммы дооценки активов;курсовые разницы;поступления от продажи основных средств
Нематериальные активы на учет принимаются по … стоимости.;первоначальной;договорной;остаточной;рыночной
Амортизация основных средств начисляется в течение;срока их полезного использования;12 лет;20 лет;Нет верного ответа
Бухгалтерский учет дает информацию об объектах бухгалтерского учета в ... выражении:;Денежном;Натуральном;натурально-стоимостном;Трудовом
Бухгалтерский учет по валютным счетам ведется;в сумах на основании пересчета по курсу Центрального Банка РУз;в иностранной валюте;в сумах на основании пересчета по курсу банка, в котором открыт валютный счет;в иностранной валюте по курсу ЦБ
В активе баланса отражаются;задолженность покупателей за продукцию;долги поставщикам за товары и услуги;уставный капитал;поступления от кредиторов
Двойная запись — это способ;отражения хозяйственных операций;группировки объектов учета;обобщения данных бухгалтерского учета;нет правильного ответа
С позиции собственника наиболее важным является показатель;Чистой прибыли;Валовой прибыли;Прибыли от продаж;Прибыли до налогообложения
Величина чистых активов определяется по данным;бухгалтерского баланса;отчета об изменениях капитала;отчета о при былях и убытках;отчета об изменениях капитала
В каком форме отражается отчет о собственном капитале;Форма №5;Форма №2;Форма №3;Все ответы верны
В каком форме отражается отчёт о денежных потоках;Форма №4;Форма №1 и Форма №2;Форма №3;Нет правильного ответа
В каком форме отражается отчёт о финансовых результатах;Форма №2;Форма №5;Форма №3;Форма №4
Бухгалтерский баланс представляет собой таблицу, состоящую из;актива и пассива;дебета и кредита;доходов и расходов;прибылей и убытков
Кто является плательщиком НДФЛ?;Физические лица - резиденты Узбекистана, а также нерезиденты, получающие доходы от источников в Узбекистане;Все граждане Узбекистана;Только физические лица, работающие по трудовым договорам;Только физические лица - резиденты Узбекистана
Коллективным договором установлено, что пенсионерам, проработавшим на предприятии более 15 лет, но продолжающим работать, ежемесячно доплачивается сумма в размере одной базовой расчетной величины (БРВ). Установленный месячный оклад пенсионера составляет 1 900 тыс. сум. Чему равен доход пенсионера в виде оплаты труда, если БРВ составляет 300 тыс. сум.?;2 200 тыс. сум;1 900 тыс. сум;300 тыс. сум;920 000 сум.
Какой бухгалтерской проводкой отражается социальный налог, начисленный с оплаты труда персонала, занятого реализацией продукции предприятия?;Дт 9410 «Расходы по реализации» Кт 6520 «Платежи в государственные целевые фонды;Дт 9110 «Себестоимость реализованной готовой продукции» Кт 6520 «Платежи в государственные целевые фонды»;Дт 9430 «Прочие операционные расходы» Кт 6520 «Платежи в государственные целевые фонды»;Дт 9430 «Прочие операционные расходы» Кт 6410 «Платежи в государственные целевые фонды
Основное средство введено в эксплуатацию 15 августа. С какой даты начинается начисление амортизации?;С 1 сентября;С 15 августа;С 1 августа;Амортизация по ОС не начисляется
Что из перечисленного НЕ влияет на амортизируемую стоимость основного средства?;Рыночная стоимость.;Первоначальная (восстановительная) стоимость.;Ликвидационная стоимость.;Остаточная стоимость
Основное средство использовалось 1 год и списано 10 мая. С какой даты прекращается начисление амортизации?;С 1 июня;С 10 мая;С 1 мая;С 1 июля
В каком случае из перечисленных амортизация по основным средствам НЕ начисляется?;Если амортизируемая стоимость основного средства полностью погашена;Если по результатам деятельности предприятием получен убыток;Если основное средство было получено на безвозмездной основе;Нет верного ответа
Как называется стоимость основного средства, которая исчисляется по формуле: первоначальная (восстановительная) стоимость минус предполагаемая ликвидационная стоимость?;Амортизируемая стоимость;Остаточная стоимость;Текущая стоимость;Рыночная стоимость
Предприятие А передает оборудование в счет своего вклада в уставный капитал предприятия Б. Какой бухгалтерской проводкой предприятие А отразит списание амортизации, начисленной по выбывающему оборудованию?;Дт 0230 «Износ машин и оборудования» Кт 9210 «Выбытие основных средств»;Дт 0230 «Износ машин и оборудования» Кт 9320 «Прибыль от выбытия прочих активов;Дт 0230 «Износ машин и оборудования» Кт 4610 «Задолженность учредителей по вкладам в уставный капитал;Нет верного ответа
Колбасный цех приобрел новую линию по упаковке колбасной продукции. Какой проводкой отражается начисление амортизации по новому оборудованию?;Дт 2010 "Основное производство" Кт 0230 "Износ машин и оборудования;Дт 0230 "Износ машин и оборудования" Кт 2010 "Основное производство";Дт 9400 "Расходы периода" Кт 0230 "Износ машин и оборудования;Нет верного ответа
Когда был принят Закон РУз «О бухгалтерском учете» в новой редакции?;13 апреля 2016 года №ЗРУ-404;16 апреля 2016 года №ЗРУ-403;19 апреля 2017 года №ЗРУ-279;30 августа 1996 года №ЗРУ-404
Определите активные счета.;Инвестиции, денежные средства, покупатели;основные средства, заработная плата, нематериальные активы;материалы, готовая продукция, налоги;основные средства, материалы, кредиты.
Определите счета Пассива баланса.;Кредиторы, платежи и резервы в бюджет, заработная плата;социальное страхование и нематериальные активы;денежные средства, задолженность поставщикам и подрядчикам,;прибыль, материалы и товары
Какие расчеты по кредитам и займам подлежат погашению в течение года?;краткосрочные;долгосрочные;периодические;среднесрочные
Что отражает вступительный баланс?;активы организации и ее обязательства в начале ее деятельности;имущество ликвидированной организации;имущество организации в отчетном периоде;имущество организации на конец года
Когда и кем был основан метод двойной записи в бухгалтерском учете?;Лука Пачоли. Венеция. 1494 г.;Франческо, Италия, 1395 год.;Генон. Рим. 1340 г.;Бенедетто Котрули. Италия 1458 год.
Готовая продукция – это продукция:;выпущенная из производства и сданная на склад;отгруженная покупателям;оплаченная покупателями;реализованная в рассрочку
Готовая продукция поступила на склад -;Дебет 2810 Кредит 2010;Дебет 2910 Кредит 2010;Дебет 2110 Кредит 2910;Дебет 1510 Кредит 6010
Выделите наиболее полное определение понятия нематериальных активов:;Это объекты, не имеющие материально-вещественного содержания, используемыe более 1 года ,которые имеют денежную оценку и приносят доход.;Это объекты, которые используются длительное время и приносят доход.;Это объекты, обладающие способностью отчуждения и приносящие доход.;Это объекты, используемые более одного года, имеют денежную оценку и приносят доход.
В состав нематериальных активов включаются:;Патенты, лицензии , ноу-хау, Торговые марки, товарные знаки и промышленные образцы;Деловая репутация , основные средства.;Деловая репутация организации и капитальные вложения;Организационные расходы, деловая репутация организации, инвестиции
По нематериальным активам, по которым невозможно определить срок полезного использования, нормы амортизационных отчислений устанавливаются в расчете:;На 5 лет;На десять лет;На двадцать лет;Амортизация не начисляется
Какие бывают три основные характеристики формы оплаты труда?;Повременная, сдельная, оклад;Договорная, сдельная, повременная;Оклад, сдельная, по соглашению;Сдельная, оклад, договорная
Обязательство – это:;задолженность предприятия;оборотные активы предприятия;счета к получению;активы предприятия, кроме обязательств.
В каком НСБУ регламентирован учет нематериальных активов;НСБУ 7;НСБУ 6;НСБУ 8;НСБУ 9
В каком НСБУ регламентирован учет ОС;НСБУ 5;НСБУ6;НСБУ7;НСБУ 4
Как отразить в бухгалтерском учете списание суммы накопленного износа при безвозмездной передаче автобуса, принадлежащего предприятию на правах собственности?;Дт 0260 «Износ транспортных средств» Кт 9210 «Выбытие основных средств»;Дт 9210 «Выбытие основных средств» Кт 0160 «Транспортные средства»;Дт 9210 «Выбытие основных средств Кт 0260 «Износ транспортных средств;Нет верного ответа
Срок полезного использования оборудования - 8 лет. Чему равен кумулятивный коэффициент (доля) для начисления амортизации кумулятивным методом за 2-й год эксплуатации оборудования?;7/36;2/8;2/36;7/8
Срок полезного использования оборудования равен 5 годам. Чему равен кумулятивный коэффициент 4-го года эксплуатации при начислении амортизации кумулятивным методом?;2/15;4/15;15/2;1/1
Как изменится сумма амортизационных отчислений при прямолинейном методе начисления амортизации в случае увеличения срока полезной службы основного средства?;Уменьшится.;Увеличится;Не изменится;Сначала увеличится, потом уменьшится
В основу какого метода начисления амортизации положена суммарная производительность (выработка) в течение всего срока его службы?;Производственный;Кумулятивный;Удвоенной;прямолинейный
Какие расходы НЕ включаются в первоначальную стоимость приобретенного за плату НМА?;Коммисия банка за перевод средств;Вознаграждение посреднику;Транспортные расходы;Оплата за услуги консультанта
По какой стоимости принимаются к учету НМА, приобретенные за плату?;По сумме фактических затрат на приобретение;По стоимости оценочной организации;По рыночной стоимости;Выберите один ответ:
На какие виды делятся обязательства;Краткосрочные и долгосрочные;Краткосрочные и текущие;Долгосрочные и текущие;Текущие и среднесрочные
При объявлении уставного фонда (при регистрации учредительных документов в регистрирующем органе) должна быть сделана следующая проводка:;Дт 4610 Кт 8300;Дт 8300 Кт 4610;Дт 1010 Кт 4610;Дт 8710 Кт 8300
Счет 8530 называется;Безвозмездно полученное имущество;Резервный капитал;Акци;Уставной капитал
НРП может быть использована предприятием в зависимости от его организационно- правовой формы на:;Все ответы верны;Формирование резервного капитала;Выплату дивидендов;Увеличение УК
Ставка налога на дивиденды для резидентов РУЗ;5%;10%;15%;12%
Ставка налога на дивиденды для нерезидентов;10%;5%;12%;15%
К прочим доходам от основной деятельности относятся;Все ответы верны;Доходы от выбытия ОС;Доходы от предоставления имущества в оперативную аренду;Прочие операционные доходы
К расходам периода относятся;Все ответы верны;Административные расходы;Расходы по реализации;Прочие операционные расходы
Валовая прибыль это;Чистая выручка от реализации-себестоимость реализованной продукции;Прибыль от основной деятельности-расходы периода;Прибыль до уплаты налога-чрезвычайная прибыль;Нет верного ответа
Амортизация не начисляется по;Все ответы верны;земельным участкам;продуктивному скоту;музейным предметам;
Как часто проводится инвентаризаци ОС;Не реже 1 раза в 2 года;1 раз в 5 лет;Не реже 1 раза в 3 года;Каждый год
Как часто проводится инвентаризация библиотечных фондов;1 раз в 5 лет;Не реже 1 раза в 3 года;Каждый год;Не реже 1 раза в 2 года
Укажите состав пользователей учетной информации с косвенным финансовым интересом:;аудиторские фирмы, арбитраж, общественные профессиональные организации бухгалтеров и аудиторов, органы статистики, брокеры, дилеры, фондовые биржи;менеджеры, работающие на предприятии;специалисты, работающие на предприятии;руководители организации
При расчете отпусков в расчет берется;6 дневная рабочая неделя;5 дневная рабочая неделя;7 дней;Нет верного ответа
Размер пособий по временной нетрудоспособности со стажем до 8 лет составляет;60% среднего заработка;80% среднего заработка;70 % среднего заработка;100% среднего заработка
Размер пособий по временной нетрудоспособности со стажем свыше 8 лет составляет;80% среднего заработка;60% среднего заработка;70 % среднего заработка;100% среднего заработка
При использовании какого из перечисленных видов рабочего времени оплата труда производится не в полном размере?;Неполное рабочее время;Сокращенная продолжительность рабочего времени;Нормальная продолжительность рабочего времени;Нет верного ответа
К операциям, приводящим к изменению первоначальной стоимости относятся: …Выберите наиболее полный ответ;Переоценка ОС, достройка, реконструкция;Частичная ликвидация;Достройка, безвозмездное получение;переоценка, частичная ликвидация
Списана первоначальная стоимость выбывающего ОС. Дайте проводки;Дт9210 Кт 0100;Дт 0100 Кт 9210;Дт 9220 Кт 0200;Дт 0200 Кт 0100
Дайте проводку на чистую прибыль предприятия;Дт9910 Кт 8710;Дт 8710 Кт 9910;Дт 8710 Кт 9010;Дт 9910 Кт 9010
Оборотные активы организации представлены в учете?;товарно-материальными запасами, материальными оборотными средствами, денежными средствами, краткосрочными финансовыми вложениями и средствами в расчетах;уставной капитал;добавленный капитал;задолженность обязательства по оплате труда, расчеты с соцстрахом, расчеты с банком, расчеты с поставщиками
Вне оборотные долгосрочные активы организации представлены в учете:;нематериальными активами, основными средствами, незавершенным строительством, доходными вложениями в материальные ценности, долгосрочными финансовыми вложениями, отложенными налоговыми активами, прочими вне оборотными активами;незавершенное производства;уставный капитал, добавленный капитал, резервный капитал и нераспределенная прибыль предприятия;денежное средство, товары, готовая продукция, сырьё и материалы;
Получение наличных денег в кассу для выплаты заработной платы работникам основного производства отражается бухгалтерской записью;Дт 5010 «Касса» — Кт 5110 «Расчетный счет»;Дт 6710 «Расчеты с персоналом по оплате труда» — Кт 5010 «Касса»;Дт 6110 «Расчеты с персоналом по оплате труда» — Кт 5110 «Расчетный счет;Дт 2010 «Вспомогательное производство» — Кт 5110 «Расчетный счет».
Результат по аннулированию акций эмитент выявляет на счете;8610 «Выкупленные собственные акции»;8710 «Нераспределенная прибыль (непокрытый убыток)»;9910 «Конечный финансовый результат»;8400 «Добавленный капитал»;
Используемые возвратные отходы оцениваются по ценам;возможного использования;исходя из стоимости исходного сырья;рыночным;учетным;
Недостача и порча материалов, выявленные на складах, списываются записью по кредиту счета 1010 «Материалы» и дебету счета;5910 «Недостачи и потери от порчи ценностей»;9430 «Прочие операционные расходы»;3100 «Расходы будущих периодов»;9910 «Конечный финансовый результат».
Использование запасных частей на ремонт станков отражается записью;Дт сч. 2510 «Общепроизводственные расходы» — Кт сч. 1040 «Запасные части»;Дт сч. 2010 «Основное производство» — Кт сч. 1040 «Запасные части»;Дт сч. 2310 «Вспомогательное производство» — Кт сч. 1040 «Запасные части»;Дт сч. 8910 «Резервы предстоящих расходов и платежей» — Кт сч. 1040 «Запасные части».
Отпуск материалов на исправление брака отражается записью по кредиту счета 1010 «Материалы» и дебету счета;2610 «Брак в производстве».;2010 «Основное производство»;2310 «Вспомогательные производства»;2510 «Общепроизводственные расходы»;
Отпуск материалов на общехозяйственные нужды отражается записью по кредиту счета 1010 «Материалы» и дебету счета;9430 «Прочие операционные расходы».;2010 «Основное производство»;2310 «Вспомогательные производства»;2510 «Общепроизводственные расходы»;
Списание отклонений фактической себестоимости от учетной оценки на израсходованные в производстве материалы отражается записью;Дт сч. 2010 «Основное производство» — Кт сч. 1610 «Отклонение в стоимости материальных ценностей»;Дт сч. 2510 «Общепроизводственные расходы» — Кт сч. 1010 «Материалы»;Дт сч. 9430 «Прочие операционные расходы» — Кт сч. 1610 «Отклонение в стоимости материальных ценностей».;Дт сч. 1610 «Отклонение в стоимости материальных ценностей» — Кт сч. 2010 «Основное производство».
Запись «Дт сч. 2010 "Основное производство" — Кт сч. 1010 "Материалы"» означает отпуск материалов на;технологические цели;обслуживание основных средств цехового назначения;текущий ремонт основных средств.;общепроизводственные расходы.
Поступление материалов от учредителей в качестве вклада в уставный капитал отражается записью по дебету счета 1010 «Материалы» и кредиту счета;4610 «Задолженность учредителей по вкладам в уставный капитал»;6010 «Счета к оплате поставщикам и подрядчикам»;8300 «Уставный капитал»;8500 «Добавленный капитал»;
Безвозмездное получение материалов от других организаций отражается записью;Дт сч. 1010 «Материалы» — Кт сч. 8500 «Резервный капитал»;Дт сч. 1010 «Материалы» — Кт сч. 8300 «Уставный капитал»;Дт сч. 1010 «Материалы» — Кт сч. 8710 «Нераспределенная прибыль».;Дт сч. 1010 «Материалы» — Кт сч. 9390 «Прочие операционные доходы».
Списание превышения фактических затрат на приобретение материалов над их учетной оценкой отражается записью;Дт сч. 1610 «Отклонение в стоимости материальных ценностей» — Кт сч. 1510 «Заготовление и приобретение материальных ценностей»;Дт сч. 1510 «Заготовление и приобретение материальных ценностей»—Кт сч. 1610«Отклонение в стоимости материальных ценностей»;Дт сч. 1610 «Отклонение в стоимости материальных ценностей» — Кт сч. 6010 «Счета к оплате поставщикам и подрядчикам».;Дт сч. 1610 «Отклонение в стоимости материальных ценностей» — Кт сч. 2010 «Основное производство».
Сумма налога на добавленную стоимость по поступившим ценностям отражается записью;Дт сч. 4410 «Авансовые платежи по налогам и сборам в бюджет (по видам)» — Кт сч. 6010«Счета к оплате поставщикам и подрядчикам»;Дт сч. 4410 «Авансовые платежи по налогам и сборам в бюджет (по видам)» — Кт сч. 6410 «Задолженность по платежам в бюджет (по видам)»;Дт сч. 6410 «Задолженность по платежам в бюджет (по видам)»—Кт сч. 4410 «Авансовые платежи по налогам и сборам в бюджет (по видам)».;Дт сч. 6010 «Счета к оплате поставщикам и подрядчикам»— Кт сч. 4410 «Авансовые платежи по налогам и сборам в бюджет (по видам)».
Получение предоплаты отражается записью:;Дт сч. 6310«Авансы, полученные от покупателей и заказчиков»—Кт сч. 6010 «Счета к оплате поставщикам и подрядчикам»;Дт сч. 4010 «Счета к получению от покупателей и заказчиков» — Кт сч. 5110 «Расчетные счета»;Дт сч. 6010 «Счета к оплате поставщикам и подрядчикам»—Кт сч. 1010 «Материалы»;Дт сч. 5110 «Расчетный счет»—Кт сч. 6310 «Авансы, полученные от покупателей и заказчиков»
При передаче организацией основных средств своим филиалам, имеющим отдельные балансы, делается запись:;Дт сч. 9210 «Выбытие основных средств» — Кт сч. 0100 «Основные средства»;Дт сч. 6110 «Счета к оплате обособленным подразделениям» — Кт сч. 0100 «Основные средства»;Дт сч. 0100 «Основные средства»—Кт сч. 4110 «Счета к получению от обособленных подразделений»;Дт сч. 6110 «Счета к оплате обособленным подразделениям» — Кт сч. 9210 «Выбытие основных средств»
Суммы уплаченных организацией штрафов, пени, неустоек отражаются записью по кредиту счетов учета денежных средств и дебету счета:;9330 «Взысканные пени, штрафы, неустойки»;8710 «Нераспределенная прибыль (непокрытый убыток)»;9400 «Расходы периода»;9910 «Конечный финансовый результат»
Удержание у подотчетного лица, не возвращенного в срок аванса отражается записью:;Дт сч. 6710 «Расчеты с персоналом по оплате труда»—Кт сч. 5910 «Недостачи и потери от порчи ценностей»;Дт сч. 5010 «Денежные средства в кассе» — Кт сч. 5110 «Расчетный счет»;Дт сч. 5010 «Денежные средства в кассе» — Кт сч. 6410 «Задолженность по платежам в бюджет (по видам)»;Дт сч. 4220 «Авансы, выданные на служебные командировки» — Кт сч. 5010«Денежные средства в кассе»
Погашение задолженности перед поставщиком за счет краткосрочного кредита отражается записью:;Дт сч. 6010 «Счета к оплате поставщикам и подрядчикам»—Кт сч. 6810 «Краткосрочные банковские кредиты»;Дт сч. 6010 «Счета к оплате поставщикам и подрядчикам» — Кт сч. 5110 «Расчетный счет»;Дт сч. 6810 «Краткосрочные банковские кредиты» — Кт сч. 6010 «Счета к оплате поставщикам и подрядчикам»;Дт сч. 5110 «Расчетный счет» — Кт сч. 6810«Краткосрочные банковские кредиты»
